name,terminal,airside,categories,lat,lon,phone,website,opening_hours,floor_level,wheelchair,takeaway,description,verified_status,osm_id
Bistrot Benoit,Terminal 1,Airside,"Bar, Restaurant",,,,,,,,,Traditional French bistrot with classic dishes and wines in the T1 departure lounge.,OPEN — on official CDG website,
Brioche Dorée,Terminal 1,Landside,Fast Food,,,,,,,,,French bakery chain with freshly baked pastries savoury snacks and sandwiches.,OPEN — on official CDG website,
Exki,Terminal 1,Airside,"Restaurant, Fast Food",,,,,,,,,Belgian healthy fast-casual chain with fresh sandwiches salads and hot dishes.,OPEN — on official CDG website,
Kirei,Terminal 1,Airside,Restaurant,,,,,,,,,Japanese restaurant serving sushi and traditional Japanese dishes.,OPEN — on official CDG website,
McDonald's,Terminal 1,Landside,Fast Food,,,,,,,,,Classic burgers fries and breakfast served all day.,OPEN — on official CDG website,
Paul,Terminal 1,Airside,"Bakery, Coffee",,,,,,,,,French artisan bakery with breads pastries sandwiches and coffee.,OPEN — on official CDG website,
Starbucks Coffee,Terminal 1,Airside,Coffee,,,,,,,,,Customised coffee handcrafted beverages sandwiches and snacks.,OPEN — on official CDG website,
Sushi Shop,Terminal 1,Airside,"Restaurant, Fast Food",,,,,,,,,Fresh sushi rolls maki and Japanese bites to eat in or take away.,OPEN — on official CDG website,
Brioche Dorée,Terminal 3,Landside,Fast Food,,,,,,,,,French bakery chain with freshly baked pastries savoury snacks and sandwiches.,OPEN — on official CDG website,
Paul,Terminal 3,Landside,"Bakery, Coffee",,,,,,,,,French artisan bakery with breads pastries sandwiches and coffee.,OPEN — on official CDG website,
Pret A Manger,Terminal 3,Airside,"Coffee, Fast Food",,,,,,,,,Freshly made sandwiches salads and organic coffee.,OPEN — on official CDG website,
Brioche Dorée,Terminal 2A,Landside,Fast Food,,,,,,,,,French bakery chain with freshly baked pastries savoury snacks and sandwiches.,OPEN — on official CDG website,
Exki,Terminal 2A,Airside,"Restaurant, Fast Food",,,,,,,,,Belgian healthy fast-casual chain with fresh sandwiches salads and hot dishes.,OPEN — on official CDG website,
McDonald's,Terminal 2A,Landside,Fast Food,49.0032,2.5644,,,,,,,Classic burgers fries and breakfast served all day.,OPEN — on official CDG website,1545172979
Starbucks Coffee,Terminal 2A,Airside,Coffee,49.0027,2.5618,,,,,,,Customised coffee handcrafted beverages sandwiches and snacks.,OPEN — on official CDG website,5858256885
Carl's Jr,Terminal 2B,Airside,Fast Food,49.0041,2.5651,,,,,,,American fast-food chain with charbroiled burgers and hand-breaded chicken tenders.,OPEN — on official CDG website,11101603905
La Table de Michel Roth,Terminal 2B,Airside,Restaurant,49.0046,2.5649,,,,,,,Fine dining from Michelin-starred chef Michel Roth with classic French cuisine.,OPEN — on official CDG website,11080258226
Paname Tap House,Terminal 2B,Airside,"Bar, Pub",49.0044,2.5648,,,,,,,Craft beer bar with rotating French and international draught beers and bar food.,OPEN — on official CDG website,11080258224
Paul,Terminal 2B,Airside,"Bakery, Coffee",49.0044,2.5648,,,,,,,French artisan bakery with breads pastries sandwiches and coffee.,OPEN — on official CDG website,11080258223
Pret A Manger,Terminal 2B,Airside,"Coffee, Fast Food",49.0041,2.5638,,,,,,,Freshly made sandwiches salads and organic coffee.,OPEN — on official CDG website,11525100769
Starbucks Coffee,Terminal 2B,Airside,Coffee,49.0045,2.5643,,,,,,,Customised coffee handcrafted beverages sandwiches and snacks.,OPEN — on official CDG website,11080315476
Strada by It,Terminal 2B,Airside,Restaurant,49.0045,2.5649,,,,,,,Italian trattoria with fresh pasta pizza and traditional Italian dishes.,OPEN — on official CDG website,11522293880
Sūshi,Terminal 2B,Airside,Restaurant,49.0044,2.5647,,,,,,,Japanese sushi restaurant with a wide selection of nigiri rolls and bento boxes.,OPEN — on official CDG website,11522010169
Brioche Dorée,Terminal 2C,Landside,Fast Food,,,,,,,,,French bakery chain with freshly baked pastries savoury snacks and sandwiches.,OPEN — on official CDG website,
McDonald's,Terminal 2C,Landside,Fast Food,49.0035,2.5739,,,,,,,Classic burgers fries and breakfast served all day.,OPEN — on official CDG website,7256721985
Paul,Terminal 2C,Landside,"Bakery, Coffee",,,,,,,,,French artisan bakery with breads pastries sandwiches and coffee.,OPEN — on official CDG website,
Brioche Dorée,Terminal 2D,Airside,Fast Food,,,,,,,,,French bakery chain with freshly baked pastries savoury snacks and sandwiches.,OPEN — on official CDG website,
Carl's Jr,Terminal 2D,Airside,Fast Food,,,,,,,,,American fast-food chain with charbroiled burgers and hand-breaded chicken tenders.,OPEN — on official CDG website,
La Table de Michel Roth,Terminal 2D,Airside,Restaurant,,,,,,,,,Fine dining from Michelin-starred chef Michel Roth with classic French cuisine.,OPEN — on official CDG website,
Paname Tap House,Terminal 2D,Airside,"Bar, Pub",,,,,,,,,Craft beer bar with rotating French and international draught beers and bar food.,OPEN — on official CDG website,
Paul,Terminal 2D,Airside,"Bakery, Coffee",,,,,,,,,French artisan bakery with breads pastries sandwiches and coffee.,OPEN — on official CDG website,
Pret A Manger,Terminal 2D,Airside,"Coffee, Fast Food",,,,,,,,,Freshly made sandwiches salads and organic coffee.,OPEN — on official CDG website,
Starbucks Coffee,Terminal 2D,Airside,Coffee,,,,,,,,,Customised coffee handcrafted beverages sandwiches and snacks.,OPEN — on official CDG website,
Strada by It,Terminal 2D,Airside,Restaurant,,,,,,,,,Italian trattoria with fresh pasta pizza and traditional Italian dishes.,OPEN — on official CDG website,
Sūshi,Terminal 2D,Airside,Restaurant,,,,,,,,,Japanese sushi restaurant with a wide selection of nigiri rolls and bento boxes.,OPEN — on official CDG website,
