name,cuisine,airport_code,airport_name
Bottega Bar,Italian,AUH,Abu Dhabi International
Culto Cafe,"Coffee, Italian, Café",AUH,Abu Dhabi International
Levito: Pizza – Pasta,"Italian, Pizza, Pasta",AUH,Abu Dhabi International
Operation Falafel,"Middle Eastern, Street Food",AUH,Abu Dhabi International
Pana,"Bar, Café, International",AUH,Abu Dhabi International
Patamar,"Indian, Asian",AUH,Abu Dhabi International
Patamar To Go,"Indian, Asian",AUH,Abu Dhabi International
Pier D,"Bar, International",AUH,Abu Dhabi International
Shawa,"Lebanese, Middle Eastern",AUH,Abu Dhabi International
Taste of India,Indian,AUH,Abu Dhabi International
The Daily,"Café, International",AUH,Abu Dhabi International
The Majilis,"Middle Eastern, International",AUH,Abu Dhabi International
The Meat District,"American, Burgers",AUH,Abu Dhabi International
Todd English Market & Pub,"International, Bar",AUH,Abu Dhabi International
VIT,"Juices, Café",AUH,Abu Dhabi International
Yasamin,"International, Café, Bar",AUH,Abu Dhabi International
Amsterdam Bread Co.,,AMS,Amsterdam Schiphol
Birra Moretti Bar,,AMS,Amsterdam Schiphol
Bread!,,AMS,Amsterdam Schiphol
Bubbles Seafood & Winebar,,AMS,Amsterdam Schiphol
Café Comunal,,AMS,Amsterdam Schiphol
Café Rembrandt,,AMS,Amsterdam Schiphol
Crossroads,,AMS,Amsterdam Schiphol
Dammer's Tap,,AMS,Amsterdam Schiphol
Douwe Egberts Coffee Bar,,AMS,Amsterdam Schiphol
Dutch Kitchen Bar & Cocktails,,AMS,Amsterdam Schiphol
East Bar & Bites,,AMS,Amsterdam Schiphol
Ancho,,ATH,Athens Eleftherios Venizelos
Artisan-Taf,,ATH,Athens Eleftherios Venizelos
Barbadimos,,ATH,Athens Eleftherios Venizelos
Bistrot Attica Athens / Lukumades,,ATH,Athens Eleftherios Venizelos
Bufala Gelato,,ATH,Athens Eleftherios Venizelos
Coffee Berry,,ATH,Athens Eleftherios Venizelos
Cultivos,,ATH,Athens Eleftherios Venizelos
EASY grab-n-go,,ATH,Athens Eleftherios Venizelos
Eat Greek,,ATH,Athens Eleftherios Venizelos
Ergon Greek Cuisine,,ATH,Athens Eleftherios Venizelos
Everest,,ATH,Athens Eleftherios Venizelos
Everest Exclusive,,ATH,Athens Eleftherios Venizelos
Flocafe Espresso Room,,ATH,Athens Eleftherios Venizelos
Green Veneti 1948,,ATH,Athens Eleftherios Venizelos
Gregory's,,ATH,Athens Eleftherios Venizelos
Holy Burger,,ATH,Athens Eleftherios Venizelos
Kayak,,ATH,Athens Eleftherios Venizelos
Koi Sushi Bar,,ATH,Athens Eleftherios Venizelos
Koulourades,,ATH,Athens Eleftherios Venizelos
La Pasteria - Flocafe,,ATH,Athens Eleftherios Venizelos
Mailo's The Pasta Project,,ATH,Athens Eleftherios Venizelos
Mon Kooloor,,ATH,Athens Eleftherios Venizelos
The Beer House,,ATH,Athens Eleftherios Venizelos
To Go,,ATH,Athens Eleftherios Venizelos
Veneti,,ATH,Athens Eleftherios Venizelos
