Total unique cuisines: 714
Total restaurants with a cuisine: 2051

Count    Cuisine
--------------------------------------------------
59       Coffee Shop
40       Korean
39       Italian
35       Grab & Go
33       Craft Beer Bar
33       Bar
32       Mexican
30       Japanese
27       Burgers
24       Japanese Sushi
22       Thai
21       Specialty Coffee
20       International
20       Japanese Ramen
19       American
19       Pizza
17       Cocktail Bar
15       Food Hall
14       Indian
14       Bakery & Cafe
14       Wine Bar
14       Ice Cream
13       Juice Bar
13       Chinese
13       American Bar
13       Café
12       Japanese Tonkatsu
11       Cafe
11       British Pub
11       Irish Pub
11       Sports Bar
11       Cantonese
10       Middle Eastern
10       Lounge
10       Market & Deli
10       French Bakery
10       Vietnamese
10       Coffee
9        Fast Food
9        Mediterranean
9        American Bar & Grill
9        Taiwanese
8        International Bar
8        Indian Street Food
8        South Indian
8        Vending
8        Chinese Noodles
8        Sandwiches
8        Italian Pizza
7        Lebanese
7        Coffee Bar
7        Deli
7        Asian
7        Indian & International
7        Coffee & Tea
7        Healthy & Fresh
7        Spanish
7        Italian Cafe
7        Asian Noodles
7        Spanish Tapas
7        German Bakery
7        Malaysian
7        Bar & Lounge
7        Gourmet Burgers
6        Italian Bar
6        International Cafe
6        Greek
6        Seafood
6        American Grill
6        Texas BBQ
6        Irish & International
6        German
6        Korean Street Food
6        Peruvian
6        Chinese Dumplings
6        Filipino Bakery
5        Latin American
5        Coffee Kiosk
5        American BBQ
5        Healthy & Organic
5        Chocolate & Desserts
5        Italian Wine Bar
5        German Cafe
5        Bar & Snacks
5        Market & Grab & Go
5        Korean Noodles
5        Japanese Izakaya
5        Gourmet Market
5        Filipino Café
5        Singaporean
4        Coffee & Cafe
4        Bakery
4        American Pub
4        Italian Deli
4        American Bistro
4        Belgian Cafe
4        Steakhouse
4        Tea & Coffee
4        French Crepes
4        American Sports Bar
4        South Asian
4        Bar & Grill
4        Snack Bar
4        Coffee & Bar
4        Hong Kong Cafe
4        French Patisserie
4        Bagels & Deli
4        Korean Soups
4        Pan-Asian
4        Caribbean
4        Italian American
4        Portuguese Coffee
4        Spanish Bakery
4        Australian
4        Convenience & Snacks
4        Deli & Café
4        Mexican Tacos
4        Filipino Canteen
4        Chinese Filipino
4        Milk Tea
4        Bavarian Biergarten
4        Japanese Café
4        Japanese Teppanyaki
4        Healthy Café
4        Artisan Bakery
4        Singapore Kopitiam
4        Bubble Tea
4        Swiss International
4        Swiss Café
3        Healthy & Cafe
3        Greek Fast Food
3        Bar & Cafe
3        Greek Bakery
3        Indian Vegetarian
3        Healthy & Salads
3        Bakery & Desserts
3        French Cafe
3        Bakery & Coffee
3        American Steakhouse
3        Gourmet Deli
3        Jewish Deli
3        Desserts & Cafe
3        Turkish
3        Street Food
3        Gulf Arabic
3        Fried Chicken
3        International Bistro
3        Italian Bakery
3        Brazilian Bar
3        Healthy Bowls
3        Shanghainese
3        Tea Bar
3        Korean BBQ
3        Korean Bakery
3        Korean Fried Chicken
3        Turkish Cafe
3        Cocktail Lounge
3        Bagels
3        Healthy & Juices
3        Confectionery
3        Japanese Udon
3        Japanese Curry
3        Japanese Seafood
3        Malaysian & International
3        Hawaiian Poke
3        American Cafe
3        British Bar
3        American Diner
3        Spanish Charcuterie
3        Australian Cafe
3        Café Bar
3        Cuban
3        Neapolitan Pizza
3        Filipino
3        Filipino Snacks
