name,cuisine,airport_count,airports,example_airport
Starbucks,coffee_shop,105,"ATH, AUH, BHX, BKK, BOS, BRU, CAN, DEL, DEN, DOH, DUB, DXB, FRA, IAH, ICN, IST, JFK, KUL, LAS, LAX, LGA, LGW, LHR, LIM, LIS, MAD, MAN, MIA, MNL, MUC, ORD, PKX, SEA, SIN, TPE, YVR, YYZ, ZRH",LGW
McDonald's,,51,"BHX, BKK, CAN, CDG, DEL, DEN, DFW, FRA, GIG, IST, JFK, KIX, KUL, LIM, LIS, MAD, MEL, MEX, MNL, MUC, ORD, PKX, SEA, SIN, SYD, TPE, ZRH",BHX
Burger King,,39,"AMS, ATH, AUH, BHX, BKK, BOM, BRU, CAN, CMB, DEL, DOH, DUB, FRA, GIG, HKG, ICN, IST, KUL, LAS, LAX, LOS, MAD, MIA, MNL, ORD, SIN, TPE, ZRH",BHX
Subway,sandwich,30,"BKK, DEL, DFW, GIG, IST, LAS, MEL, MEX, MIA, MUC, NRT, ORD, SIN, SYD, TPE, WLG, YVR, YYZ",IST
KFC,,27,"CAN, DEL, DOH, GIG, ICN, KUL, LAX, LIM, LIS, LOS, MAN, MIA, MNL, PKX, SIN, SYD, ZRH",MAN
Pret A Manger,sandwich,21,"ATH, BHX, CDG, DUB, DXB, JFK, LGW, LHR, MAD, MAN, ZRH",LGW
Chili's,tex-mex,14,"DFW, DXB, IAH, LAS, MNL, ORD, SEA",DXB
Dunkin',"donut, coffee_shop",14,"BOS, ICN, JFK, LGA, MIA, ORD, SIN",JFK
Shake Shack,burger,14,"DEN, DFW, ICN, IST, JFK, LAS, LGA, LGW, MNL, NRT, SIN",LGW
Chick-fil-A,chicken,13,"DEN, DFW, IAH, LAS, LAX, MIA, ORD",LAX
Auntie Anne's,pretzel,12,"DFW, IAH, JFK, LAS, LGA, ORD, SIN",JFK
Starbucks Coffee,,12,"CDG, GIG, MEX",CDG
Tim Hortons,coffee_shop,12,"DEL, JFK, YVR, YYZ",JFK
Costa Coffee,"Coffee, Café",11,"AUH, BOM, DEL, DOH, DXB, KUL, SEA",AUH
Paul,,11,"CDG, DXB, LIS, MAD, SIN",CDG
Farmer's Fridge,,10,"BOS, JFK, ORD",JFK
Jamba Juice,juice,10,"DEN, IAH, ICN, LAS, LGA, ORD",ICN
Krispy Kreme,donut,10,"AUH, BKK, KUL, LGW, MEX, MNL, SYD",LGW
Wendys,,10,"DFW, IAH, LAS, LGA, MIA, MNL, SEA, YVR, YYZ",MNL
Exki,,9,"BRU, CDG",CDG
Brioche Dorée,,8,"AUH, CDG",CDG
Costa,,8,"BHX, DXB, LHR, MAN",LHR
Einstein Bros. Bagels,bagel,8,"DEN, DFW, IAH, LAS, LAX, MIA",LAX
TGI Fridays,"American, Bar",8,"AUH, DFW, GIG, IAH, LIM",AUH
Lotteria,burger,7,"ICN, SIN",SIN
Panda Express,chinese,7,"DEN, DFW, IAH, LAX",LAX
Pizza Hut,pizza,7,"BOM, DFW, GIG, LIM, LIS, PKX, SIN",SIN
Brioche Doree,,6,ORD,ORD
Camden Food Co.,"Sandwiches, Café",6,"ATH, AUH, BKK, BOS, JFK, SEA",AUH
Carl's Jr,,6,"CDG, IST, LAX, MEX",CDG
Dunkin' Express,"donut, coffee_shop",6,"JFK, LAS, ORD",JFK
Giraffe,"international, burger",6,"BHX, DXB, LGW, LHR, MAN",LGW
Manchu Wok,,6,"IAH, MIA, ORD, SEA",IAH
Peet's Coffee,coffee_shop,6,"BOS, DEN, JFK, LAX",JFK
ستاربكس,coffee_shop,6,"DXB, TPE",DXB
ANGELINUS,,5,ICN,ICN
Arabica,Coffee & Café,5,"AUH, HKG, ICN, KUL, SIN",AUH
Baskin-Robbins,ice_cream,5,"BOM, DFW, ICN, JFK",JFK
CIBO Express Gourmet Markets,,5,LGA,LGA
Dunkin' Donuts,"donut, coffee_shop",5,"KUL, LIM, SIN",SIN
Krispy Kreme Doughnuts,donut,5,ICN,ICN
Luckin Coffee,coffee_shop,5,"CAN, HKG, PKX, SIN",SIN
Pappasito's Cantina,,5,"DFW, IAH",DFW
Paris Baguette,,5,"ICN, MNL, SIN",SIN
Popeyes,,5,"BHX, IST, LAS, MNL, SIN",BHX
Upper Crust,,5,"BKK, DUB, GIG, MAN, YYZ",MAN
7 Eleven,,4,MEX,MEX
Cafeccino,,4,"BOM, DEL",DEL
Caffè Nero,coffee_shop,4,"BHX, DXB, IST, LGW",LGW
Café Versailles,,4,MIA,MIA
CIBO Express Gourmet Market,,4,"IAH, YYZ",IAH
Cinnabon,,4,"ATH, IAH, MEX, MNL",MNL
COFFEE@WORKS,coffee_shop,4,ICN,ICN
Dominos,,4,"BOM, DEL",DEL
Evolvending Vending Machine,,4,BOS,BOS
Freshii,,4,"DFW, LGA, YVR, YYZ",DFW
GONG CHA,tea,4,"ICN, NRT",ICN
Great American Bagel Company,,4,ORD,ORD
Hard Rock Cafe,,4,"DXB, KUL, SIN",SIN
Meyer Deli Coffee Kitchen,,4,FRA,FRA
Mount Comfort Coffee,,4,BOS,BOS
Nuts on Clark,,4,ORD,ORD
PASCUCCI,coffee_shop,4,ICN,ICN
QUICKER's,,4,FRA,FRA
Reggio's Chicago Style Pizza,,4,ORD,ORD
Sbarro,pizza,4,"IST, MEX",IST
Taco Bell,mexican,4,"BKK, ICN, KUL",BKK
The Coffee Bean & Tea Leaf,coffee_shop,4,"DEN, ICN, LAS, SIN",SIN
Urban Food Market,"Café, International",4,"AUH, DEL",AUH
Wagamama,asian,4,"DOH, LGW, LHR",LGW
Wahlburgers,,4,"BOS, YYZ",BOS
Wings,,4,MEX,MEX
A&W,burger,3,"SIN, YVR, YYZ",SIN
AMORE,,3,"ATH, FRA",FRA
Au Bon Pain,,3,MIA,MIA
Banh Shop,,3,"DFW, YVR",DFW
Beerhive,,3,"IAH, YYZ",IAH
Black Sheep Coffee,coffee_shop,3,"LGW, LHR",LGW
Bo'S Coffee,,3,MNL,MNL
Brew'd,,3,"FRA, MAN",MAN
Butlers Chocolate Café,"Cafe, Chocolates",3,"AUH, DUB",AUH
Cafe Espresso,,3,DEL,DEL
Caffe Nero,,3,LHR,LHR
Carlo's Bake Shop Express,,3,"MIA, ORD",MIA
Chatime,,3,"MNL, TPE",TPE
Curry Kitchen,,3,"BOM, DEL",DEL
Dazbog Coffee,,3,DEN,DEN
Dickey's Barbecue Pit,,3,DFW,DFW
Din Tai Fung,taiwanese,3,"KUL, SIN, TPE",SIN
Dunkin' by Hudson,,3,BOS,BOS
Eataly,italian,3,"AMS, FCO, JFK",JFK
Evolvending Vending Machines,,3,BOS,BOS
Farm2Air Market,,3,MIA,MIA
Fresh Attractions,,3,"LAS, MCO",LAS
Fresh Market On The Go,,3,"LAS, ORD",LAS
Garabatos,,3,MEX,MEX
Garrett Popcorn Shops,,3,ORD,ORD
Gloria Jeans,,3,KUL,KUL
Grab & Fly,,3,"BRU, DEL, LIS",DEL
Greggs,,3,"BHX, LGW, MAN",LGW
Harry's,,3,SIN,SIN
Hudson News,,3,LAS,LAS
Hwangsaengga Kalguksu,korean,3,ICN,ICN
itsu,asian,3,"BRU, LGW, LHR",LGW
Jamba,juice,3,"IAH, JFK, LAX",JFK
Joe & The Juice,,3,"DOH, LGW, MAN",LGW
Jollibee,,3,"HKG, MNL",HKG
Kabod Coffee,,3,DEN,DEN
Kamps,,3,FRA,FRA
Krispy Kreme Kiosk,,3,DEL,DEL
La Tapenade Mediterranean Cafe,,3,ORD,ORD
Maison Kayser,,3,MEX,MEX
Mi Casa Cantina,mexican,3,"JFK, LGA, SEA",JFK
Natoo,,3,"FRA, LIM",FRA
Nescafe,,3,DEL,DEL
Panos,,3,BRU,BRU
PappaRich,malaysian,3,"SIN, SYD",SIN
Potato Corner,,3,"BKK, MNL, SIN",SIN
Qdoba Mexican Eats,,3,"DEN, SEA",DEN
Quiznos Sub,,3,"LAS, MEX",LAS
Saboten,japanese,3,"ICN, PKX, SIN",SIN
Snack and Drink Vending Machine,,3,MCO,MCO
Taste of Thai,thai,3,SYD,SYD
Texas Chicken,"Fried Chicken, Fast Food",3,"AUH, DXB, SIN",AUH
Theobroma,,3,DEL,DEL
Toby's Estate,,3,SYD,SYD
Tortas Frontera by Rick Bayless,,3,ORD,ORD
Tous Les Jours,,3,ICN,ICN
Urban Crave,,3,"IAH, YVR, YYZ",IAH
Wolfgang Puck Express,italian,3,"LAS, LAX, ORD",LAX
YO!,,3,LHR,LHR
YO! Sushi,"Japanese, Sushi",3,"DOH, IST, SYD",DOH
Yoshinoya,japanese,3,"CAN, NRT, TPE",CAN
È PRONTO,,3,KIX,KIX
1915 Lanzhou Beef Noodles,chinese,2,SYD,SYD
@café,,2,DEL,DEL
A Nature-Inspired Korean Food,korean,2,ICN,ICN
AJISEN RAMEN,ramen,2,"HKG, PKX",PKX
Anton & Anni,,2,FRA,FRA
Asian Street Kitchen,asian,2,"DXB, SIN",SIN
Aviano Coffee,,2,DEN,DEN
B.GOOD,,2,BOS,BOS
Bar Festiv,,2,BRU,BRU
BARista,,2,"CMB, SYD",SYD
Beecher's Handmade Cheese,,2,"LAX, SEA",LAX
Bellota-Bellota,,2,CDG,CDG
Bento Sushi,sushi,2,"JFK, YYZ",JFK
BHC Chicken,chicken,2,"ICN, SIN",SIN
Big Bowl,,2,"DEN, ORD",DEN
Bizeun,,2,ICN,ICN
Boost Juice,,2,"KUL, MEL",MEL
Booster Juice,,2,YYZ,YYZ
Broth Kitchen,korean,2,ICN,ICN
Buffalo Wild Wings,wings,2,"JFK, SEA",JFK
Built Custom Burgers,,2,"LAX, YYZ",LAX
Bunsik Gotgan,korean,2,ICN,ICN
Burger Station,burger,2,ICN,ICN
BuzzFeed,,2,LGA,LGA
BYULMI BUNSIK,korean,2,ICN,ICN
Cafe Descartes,,2,ORD,ORD
Caffe D'arte,,2,SEA,SEA
Caffe Tonino,,2,DEL,DEL
Caffè Vergnano,,2,"FCO, MUC",FCO
Café Flor,"Cafe, Snacks",2,"AMS, AUH",AUH
Café Ritazza,"Coffee, Café",2,"AUH, BOM",AUH
California Pizza Kitchen,pizza,2,"DFW, LAX",LAX
Caribou Coffee,,2,DEN,DEN
Carluccio's,italian,2,"AMS, IST",IST
Carnatic Café,,2,DEL,DEL
Casa Ávila,,2,MEX,MEX
Chaayos,,2,DEL,DEL
CHAGEE,,2,"HKG, SIN",SIN
Chai Point,,2,"BOM, DEL",DEL
Cheers,,2,BOS,BOS
Chi Life Market,,2,ORD,ORD
CHICHA San Chen,,2,"HKG, SIN",SIN
Chilim Balam,,2,MEX,MEX
China Wok,chinese,2,"DXB, LIM",DXB
Chipotle,,2,BOS,BOS
Chowking,,2,MNL,MNL
Ciao Gourmet Market,,2,ORD,ORD
CIRCULO K,,2,MEX,MEX
Classic Noodles,,2,ICN,ICN
Coffee & More,,2,"BOM, BRU",BOM
Coffee Bean,coffee_shop,2,"CMB, ICN",ICN
Coffee Fellows,,2,"FRA, MUC",FRA
Comptoir Libanais,"Lebanese, Middle Eastern",2,"DOH, DXB",DOH
Cosmic Candy,,2,JNB,JNB
Cousin's Bar-B-Q,,2,DFW,DFW
Cozy Kitchen,,2,MNL,MNL
Crafted Bar,,2,LAS,LAS
Crispy Pork Cutlet,korean,2,ICN,ICN
Crystal Jade La Mian Xiao Long Bao,chinese,2,"HKG, SIN",SIN
Culinary Square,,2,ICN,ICN
Day2Day Eats,"International, Café",2,DOH,DOH
Dhaba,pakistani,2,"DEL, DXB",DXB
Dilli Streat,,2,DEL,DEL
Dos Toros Taqueria,mexican,2,"JFK, LGA",JFK
Dosa factory & Noodle,,2,DEL,DEL
Dunkin Donut,,2,MNL,MNL
Dunkin Donuts & Baskin-Robbins,,2,MCO,MCO
El Fogoncito,,2,MEX,MEX
El Globo,,2,MEX,MEX
El Gran Pastor,,2,MEX,MEX
Eric Kayser,,2,"CDG, LOS",CDG
Ex Tea,,2,CMB,CMB
Falafel Express,,2,"BOM, DEL",DEL
Farmers Market,,2,"ORD, YYZ",ORD
Five Guys,burger,2,"DXB, LHR",LHR
FLO Café,"Greek, Coffee, Café",2,DOH,DOH
FOOD GARDEN,korean,2,"ICN, KUL",ICN
Freshens Fresh Food Studio,,2,DEN,DEN
Fujiya Restaurant,,2,"DXB, NRT",DXB
Full Bar,,2,LAS,LAS
Get Your FIX,coffee_shop,2,DXB,DXB
Gloria Jean's Coffees,coffee_shop,2,"BKK, MEX",BKK
GODIVA Café,,2,"HKG, NRT",HKG
GONGPYEONG-DONG GIANT CUTLET,korean,2,ICN,ICN
Goose Island Beer Company,,2,ORD,ORD
GOPIZZA,pizza,2,"ICN, SIN",SIN
Grand Cru,,2,"GIG, SYD",GIG
Green Market,,2,ORD,ORD
Gujrati Svado,,2,DEL,DEL
Gusto Pasta Bar,pasta,2,"MEL, SYD",SYD
H & H Bagels,,2,JFK,JFK
Half Moon Empanadas,,2,"DEN, ORD",DEN
Haneulmaru Cafe,,2,ICN,ICN
Heberer's Traditional Bakery,,2,FRA,FRA
Heineken,,2,"DXB, ICN",DXB
Heineken Bar,,2,"BOM, DEL",DEL
Heirloom Bakery Cafe,,2,YYZ,YYZ
Henlin,,2,MNL,MNL
Hermann's Mobile,,2,FRA,FRA
HEYTEA,,2,"PKX, SIN",SIN
Hissho Sushi,,2,BOS,BOS
HOLLYS,coffee_shop,2,ICN,ICN
Home Run Inn Pizza,,2,ORD,ORD
Hudsons Coffee,coffee_shop,2,"MEL, SIN",SIN
