name,terminal,airside,floor_level,lat,lon,address,phone,website,cuisine,categories,description,opening_hours,wheelchair,takeaway,halal,vegetarian_options,vegan_options,verified_status,osm_id,logo_url
Arabica,Terminal A,Airside,,,,,+ 971 2 650 6777,https://arabicacoffee.ae,Café,Coffee & Café,% Arabica is a Japanese specialty coffee brand celebrated for its minimalist aesthetic and high-quality single-origin pour-overs and espresso drinks served globally.,24 hours,,,,,,OPEN — on official Zayed International Airport website,,https://img.logo.dev/arabica.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Bottega Bar,Terminal A,,,,,,+971 2 805 8457,,"Italian, Bar","Bar, Pastas, Wine","An Italian bar offering antipasti, wine, and light bites with a focus on Italian ingredients and regional flavors.",24 hours,,,yes,yes,,OPEN — on official Zayed International Airport website,,https://img.logo.dev/pizzerietorino.it?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Brioche Dorée,Terminal A,,,,,,+971 2 805 8442,,"Bakery, Café, French, European","Fast Food, Bakery, Coffee","Brioche Dorée is a French bakery café chain found widely in airports and shopping centres, serving freshly baked croissants, sandwiches, and coffee.",24 hours,,,yes,yes,yes,OPEN — on official Zayed International Airport website,,https://img.logo.dev/briochedoree.fr?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Burger King,Terminal A,,,,,,+971 2 805 8024,,Fast Food,"Fast Food, Burgers",Burger King is a global American fast food chain best known for the flame-grilled Whopper burger and its 'Have It Your Way' customisation philosophy.,24 hours,,,yes,,,OPEN — on official Zayed International Airport website,,https://img.logo.dev/bk.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Butlers Chocolate Café,Terminal A,,,,,,+971 2 805 8024,,"Café, Desserts","Café, Chocolates, Coffee","Butlers Chocolate Café is an Irish chocolatier and café chain offering premium handcrafted chocolates, truffles, and indulgent hot chocolate drinks.",24 hours,,,,,,OPEN — on official Zayed International Airport website,,https://img.logo.dev/butlerschocolates.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Café Flor,Terminal A,,,,,,+971 2 805 8443,,"Café, French, European","Café, Juices, Light Bites","Café Flor is a casual café concept offering coffee, light meals, and pastries in a Parisian café style, found in airports and urban settings.",,,,,,OPEN — on official Zayed International Airport website,,,
Caffè Ritazza,Terminal A,,,,,,+971 2 805 8024,,Café,"Coffee & Drinks, Sandwiches","Caffè Ritazza is an international café chain operated by SSP Group, commonly found in airports and travel hubs, serving espresso drinks, teas, and light food.",24 hours,,,yes,yes,yes,OPEN — on official Zayed International Airport website,,https://img.logo.dev/ritazza.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Camden Food Co.,Terminal A,,,,,,+971 2 805 8024,,"Café, Sandwiches & Deli","Café, Sandwiches, Salads, Vegan","Camden Food Co. is a British café and deli concept found predominantly in UK airports and train stations, offering fresh sandwiches, salads, and hot drinks.",24 hours,,,yes,yes,yes,OPEN — on official Zayed International Airport website,,https://img.logo.dev/camdenfoodco.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Costa Coffee,Terminal A,Airside,,,,,+ 971 56 526 5395,,Café,"Coffee & Drinks, Sandwiches, Baked Goods","Costa Coffee is a British multinational coffeehouse chain, the UK's largest, serving handcrafted coffees, teas, and food in a warm and welcoming atmosphere.",24 hours,,,yes,yes,yes,OPEN — on official Zayed International Airport website,,https://img.logo.dev/costa.co.uk?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Culto Cafe,Terminal A,,,,,,+971 56 524 6053,,Café,"Coffee, Pastries, Italian","A cafe serving espresso drinks, pastries, and light Italian-style snacks in a casual setting.",24 hours,,,yes,yes,yes,OPEN — on official Zayed International Airport website,,https://img.logo.dev/cultocafe.uy?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Häagen-Dazs,Terminal A,,,,,,,,Desserts,"Ice Cream, Coffee, Desserts","Häagen-Dazs is a premium American ice cream brand offering rich, dense ice cream, gelato, sorbet, and bars made with simple, high-quality natural ingredients.",24 hours,,,,,,OPEN — on official Zayed International Airport website,,https://img.logo.dev/haagendazs.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Jones the Grocer,Terminal A,,,,,,+971 2 805 8458,,"Sandwiches & Deli, Café","Coffee & Drinks, Deli, Cheese, Fine Foods","Jones the Grocer is an Australian premium deli and café brand offering artisan cheeses, charcuterie, fine groceries, and café dining in a sophisticated setting.",24 hours,,,yes,yes,yes,OPEN — on official Zayed International Airport website,,https://img.logo.dev/jonesthegrocer.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Krispy Kreme,Terminal A,,,,,,+971 2 805 8024,,"Bakery, Desserts","Doughnuts, Coffee, Snacks","Krispy Kreme is an American multinational donut company and coffeehouse chain renowned for its original glazed yeast doughnuts, freshly made and served hot from the oven.",24 hours,,,,,yes,OPEN — on official Zayed International Airport website,,https://img.logo.dev/krispykreme.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Levito: Pizza – Pasta,Terminal A,,,,,,+971 2 805 8024,,Italian,"Pizza, Pasta, Italian",An Italian restaurant specializing in hand-tossed pizzas and freshly made pasta dishes.,24 hours,,,yes,yes,yes,OPEN — on official Zayed International Airport website,,
Operation Falafel,Terminal A,,,,,,+971 2 805 8024,,Middle Eastern,"Shawarma, Falafel, Hummus, Salads","A Middle Eastern street food spot serving falafel wraps, shawarma, hummus, and other Levantine snacks.",24 hours,,,yes,yes,yes,OPEN — on official Zayed International Airport website,,https://img.logo.dev/operationfalafel.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Pana,Terminal A,,,,,,+971 2 805 8456,,"Café, International","Breakfast, Café, Bar","A bar and cafe offering international light bites, sandwiches, and beverages including coffee and cocktails.",24 hours,,,,,,OPEN — on official Zayed International Airport website,,
Patamar,Terminal A,,,,,,+971 2 805 8024,,"Indian & South Asian, Asian","Biryani, Curries, Indo-Asian","An Indian and Asian restaurant serving curries, rice dishes, and other South and Southeast Asian specialties.",24 hours,,,yes,yes,yes,OPEN — on official Zayed International Airport website,,https://img.logo.dev/patamar.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Patamar To Go,Terminal A,Landside,,,,,,,"Indian & South Asian, Asian","Indo-Asian Food, Takeaway","A grab-and-go counter offering Indian and Asian ready-to-eat meals, snacks, and beverages.",24 hours,,,yes,yes,yes,OPEN — on official Zayed International Airport website,,
Pier D,Terminal A,Airside,,,,,,,"Bar, International","Sports Bar, Gourmet, Bar","A bar and international dining spot serving a broad menu of light meals, snacks, and drinks.",,,,,,,,OPEN — on official Zayed International Airport website,
Puro Gusto,Terminal A,,,,,,,,"Café, Italian",Italian,Puro Gusto is an Italian espresso bar and café concept serving traditional Italian coffee culture with premium espresso drinks and light bites.,"An Italian restaurant offering a range of classic Italian dishes, from pasta to pizza, in a vibrant setting.",24 hours,,,yes,yes,yes,OPEN — on official Zayed International Airport website,
Shawa,Terminal A,,,,,,+971 2 805 8562,,Middle Eastern,"Shawarma, Grilled Meats, Lebanese","A Lebanese and Middle Eastern eatery serving shawarma, mezze, grilled meats, and traditional flatbreads.",24 hours,,,yes,yes,yes,OPEN — on official Zayed International Airport website,,
SO! Coffee,Terminal A,Airside,,,,,+971 54 717 3271,,Café,"Coffee & Café, Sandwiches, Pastries","SO! Coffee is a Turkish café chain offering specialty coffees, cold drinks, and a selection of light bites in modern, stylish locations across Turkey.",24 hours,,,yes,yes,yes,OPEN — on official Zayed International Airport website,,
Starbucks,Terminal A,,,,,,+971 2 492 6570,,Café,"Coffee & Drinks, Snacks","Starbucks is the world's largest coffeehouse chain, offering handcrafted espresso beverages, Frappuccinos, teas, and seasonal drinks alongside food items and merchandise.",24 hours,,,yes,yes,yes,OPEN — on official Zayed International Airport website,,https://img.logo.dev/starbucks.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Taste of India,Terminal A,,,,,,+971 2 805 8454,,Indian & South Asian,"Indian, Dosas, Curries","An Indian restaurant offering curries, tandoor dishes, biryanis, and classic subcontinental comfort food.",24 hours,,,yes,yes,yes,OPEN — on official Zayed International Airport website,,
Church's Texas Chicken,Terminal A,,,,,,+971 2 805 8024,,"Fast Food, Steak, Grill Chicken & BBQ","Fast Food, Fried Chicken","Church's Texas Chicken is an American fast food chain serving Southern-style fried chicken, honey-butter biscuits, and classic sides since 1952.",24 hours,,,yes,,,OPEN — on official Zayed International Airport website,,https://img.logo.dev/churchstexaschicken.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
TGI Fridays,Terminal A,,,,,,+971 2 805 8024,,American,"Bar, Restaurant, Burgers, Steaks","TGI Fridays is an American casual dining restaurant chain inspired by New York bar culture, serving burgers, ribs, cocktails, and American comfort food since 1965.",24 hours,,,,,,OPEN — on official Zayed International Airport website,,https://img.logo.dev/tgifridays.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
The Daily,Terminal A,,,,,,+971 2 805 8436,,"Café, International","Breakfast, Coffee, Sandwiches, Juices","A casual international cafe serving breakfast items, sandwiches, salads, and coffee throughout the day.",,,,,,OPEN — on official Zayed International Airport website,,,
The Majilis,Terminal A,,,,,,+971 54 725 4180,,Middle Eastern,"Coffee, Tea, Middle Eastern, Sandwiches",A Middle Eastern and international restaurant offering Arabic-inspired dishes alongside global comfort food in a lounge-style setting.,24 hours,,,yes,yes,yes,OPEN — on official Zayed International Airport website,,
The Meat District,Terminal A,,,,,,+971 50 874 5690,,American,"Burgers, Hotdogs, International, Milkshakes","An American-style burger and grill restaurant serving burgers, steaks, and hearty meat-focused dishes.",24 hours,,,,,,OPEN — on official Zayed International Airport website,,
Todd English Market & Pub,Terminal A,Airside,,,,,+971 54 725 3918,https://www.instagram.com/toddenglishauh/,International,"Bar, Pub, Sushi, Pizza, Steaks, International","Celebrity chef Todd English's first airport restaurant, offering an eclectic menu of sushi, homemade pizza, pasta, rotisserie chicken, gourmet steaks, and Chinese classics.",24 hours,,,,,,OPEN — on official Zayed International Airport website,,
Urban Food Market,Terminal A,,,,,,+971 2 805 8434,,"Café, Grab & Go","Breakfast, Coffee, Sandwiches, Juices","Urban Food Market is an airport food market concept offering a variety of fresh grab-and-go meals, artisan snacks, and beverages.",24 hours,,,yes,yes,yes,OPEN — on official Zayed International Airport website,,
VIT,Terminal A,,,,,,+971 2 805 8443,,Healthy,"Fresh Juices, Sandwiches, Healthy","A juice bar and cafe specializing in fresh-pressed juices, smoothies, and light cafe snacks.",24 hours,,,yes,yes,yes,OPEN — on official Zayed International Airport website,,
Yasamin,Terminal A,,,,,,+971 50 924 4789,,"Café, International","Breakfast, Coffee, Middle Eastern, European, Asian, Bar","An international cafe and bar offering a varied menu of drinks, light meals, and snacks for travelers.",24 hours,,,,,,OPEN — on official Zayed International Airport website,,
