name,terminal,airside,categories,lat,lon,phone,website,opening_hours,floor_level,wheelchair,takeaway,description,verified_status,osm_id,cuisine,logo_url
Caffè Nero,Main Terminal,Landside,Coffee,52.4532,-1.7328,,https://caffenero.com/uk/stores/birmingham-airport-t1-landside,,,,,"Caffè Nero is a British coffeehouse chain with an Italian-inspired approach to coffee, serving handcrafted espresso drinks, food, and a popular loyalty programme.",OPEN — on official BHX website,3319937893,Café,https://img.logo.dev/caffenero.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Costa Coffee,Main Terminal,Landside,Coffee,52.4508,-1.7339,,,,,,,"Costa Coffee is a British multinational coffeehouse chain, the UK's largest, serving handcrafted coffees, teas, and food in a warm and welcoming atmosphere.",OPEN — on official BHX website,5053127523,Café,https://img.logo.dev/costa.co.uk?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Greggs,Main Terminal,Landside,"Fast Food, Coffee",52.4520,-1.7332,,,,,,,"Greggs is Britain's largest bakery chain, beloved for its sausage rolls, steak bakes, and freshly filled sandwiches at accessible prices across the UK.",OPEN — on official BHX website,3319937918,Bakery,https://img.logo.dev/greggs.co.uk?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
McDonald's,Main Terminal,Landside,Fast Food,,,,,,,,yes,"McDonald's is the world's largest fast food chain, serving billions of customers daily with iconic menu items including the Big Mac, McChicken, and golden french fries.",OPEN — on official BHX website,,Fast Food,https://img.logo.dev/mcdonalds.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
All Bar One,Main Terminal,Airside,"Bar, Restaurant",52.4533,-1.7330,,https://www.allbarone.co.uk/national-search/midlands/all-bar-one-birmingham-airport,,,,,"All Bar One is a British bar and restaurant chain offering a wide range of cocktails, wines, and casual food in a relaxed, sociable atmosphere across the UK.",OPEN — on official BHX website,3319937878,Bar,https://img.logo.dev/allbarone.co.uk?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Aspire Lounge,Lounges,Airside,Lounge,52.4523,-1.7340,,https://www.aspirelounge.com/lounges/birmingham/,,,,,"A premium airport lounge offering a buffet of hot and cold food, alcoholic drinks, and comfortable seating for eligible travelers.",OPEN — verified,6173274312,Bar,https://img.logo.dev/aspirelounges.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Aspire Lounge South,Lounges,Airside,Lounge,52.4511,-1.7325,,https://www.aspirelounge.com/lounges/birmingham/,,,,,"A second Aspire Lounge location offering food, drinks, and relaxation facilities for lounge access holders.",OPEN — verified,5996416911,Bar,
Bottega Prosecco Bar,Main Terminal,Airside,Bar,,,,,,,,,"A prosecco and Italian wine bar serving Bottega sparkling wines, Aperol spritzes, and light Italian snacks.",OPEN — on official BHX website,,Bar,
Burger King,Main Terminal,Airside,Fast Food,52.4535,-1.7331,,https://locations.burgerking.co.uk/birmingham/main-airport-terminal-(airside),,,,,Burger King is a global American fast food chain best known for the flame-grilled Whopper burger and its 'Have It Your Way' customisation philosophy.,OPEN — on official BHX website,3319937892,Fast Food,https://img.logo.dev/bk.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Chaiiwala,Main Terminal,Airside,"Restaurant, Fast Food",,,,,,,,,"A halal Indian street food cafe serving karak chai (spiced tea), masala chips, samosas, wraps, and an English-style breakfast with Indian flavors.",OPEN — on official BHX website,,"Indian & South Asian, Fast Food",https://img.logo.dev/chaiiwala.co.uk?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Clubrooms by No. 1,Lounges,Airside,"Lounge, Bar",52.4533,-1.7350,,https://no1lounges.com/service/airport-lounges/clubrooms/birmingham,,,,,"A premium lounge offering food, beverages, and business amenities for qualifying travelers.",OPEN — verified,6600905417,Bar,
Costa Coffee,Main Terminal,Airside,Coffee,52.4522,-1.7334,,,,,,,"Costa Coffee is a British multinational coffeehouse chain, the UK's largest, serving handcrafted coffees, teas, and food in a warm and welcoming atmosphere.",OPEN — on official BHX website,3220591984,Café,https://img.logo.dev/costa.co.uk?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
The Emirates Lounge,Lounges,Airside,Lounge,52.4533,-1.7351,,,,,,,"The dedicated Emirates airline lounge offering complimentary food, premium beverages, and full lounge services for business and first-class passengers.",OPEN — verified,6600905418,Bar,
The Factory Bar and Kitchen,Main Terminal,Airside,"Bar, Pub, Restaurant",52.4538,-1.7327,,https://www.jdwetherspoon.com/pubs/all-pubs/england/west-midlands/wetherspoons-birmingham-airport,,,,,"A bar and kitchen serving casual British pub food including burgers, sharing plates, and drinks.",OPEN — on official BHX website,3319937924,Bar,
Giraffe World Kitchen,Main Terminal,Airside,Restaurant,52.4536,-1.7330,,,,,,,"Giraffe World Kitchen is a British casual dining chain offering a globally inspired menu of dishes from around the world in a fun, vibrant, family-friendly atmosphere.",OPEN — on official BHX website,4465391585,"American, International",https://img.logo.dev/giraffe.net?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Indian Brewery,Main Terminal,Airside,"Bar, Restaurant",,,,,,,,,A Birmingham craft brewery bar serving their own-brewed Indian-inspired ales and lagers alongside bar snacks.,OPEN — on official BHX website,,Bar,https://img.logo.dev/indianbrewery.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
No. 1 Traveller Lounge,Lounges,Airside,Lounge,52.4536,-1.7341,,,,,,,"A premium independent airport lounge offering complimentary food, drinks, and relaxation for travelers.",OPEN — on official BHX website,2451316609,Bar,
Popeyes,Main Terminal,Airside,Fast Food,52.4538,-1.7331,,https://popeyesuk.com/restaurants/birmingham-airport,,,,,"Popeyes is an American fast food chain founded in New Orleans, famous for its Louisiana-style Cajun-spiced fried chicken, buttermilk biscuits, and bold Cajun flavours.",OPEN — on official BHX website,13090568815,"Fast Food, Steak, Grill Chicken & BBQ",https://img.logo.dev/popeyes.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Pret A Manger,Main Terminal,Airside,"Coffee, Fast Food",52.4534,-1.7339,,,,,,,"Pret A Manger is a British-born multinational sandwich and café chain known for its freshly made, handcrafted sandwiches, salads, and organic coffees.",OPEN — on official BHX website,3319937916,"Sandwiches & Deli, Café",https://img.logo.dev/pret.co.uk?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Shelby and Co,Main Terminal,Airside,"Bar, Restaurant",,,,,,,,,"A Peaky Blinders-themed bar and kitchen serving all-day British pub classics and Birmingham-inspired dishes including fish and chips, eggs Benedict, and hearty breakfast baps.",OPEN — on official BHX website,,European,
SOHO Coffee,Main Terminal,Airside,Coffee,52.4535,-1.7337,,https://www.birminghamairport.co.uk/at-the-airport/eating-and-drinking/soho-coffee-co/,,,,,"SOHO Coffee is a British specialty coffee chain offering artisanal coffees, teas, and freshly prepared food in a warm, neighbourhood café atmosphere.",OPEN — on official BHX website,11772335585,Café,https://img.logo.dev/sohocoffee.co.uk?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Starbucks,Main Terminal,Airside,Coffee,52.4537,-1.7332,,,,,,,"Starbucks is the world's largest coffeehouse chain, offering handcrafted espresso beverages, Frappuccinos, teas, and seasonal drinks alongside food items and merchandise.",OPEN — on official BHX website,11772335584,Café,https://img.logo.dev/starbucks.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
