name,terminal,amenity_type,airside,floor_level,cuisine,lat,lon,address,phone,website,opening_hours,wheelchair,takeaway,brand,osm_id,osm_type
Aj 1881,Terminal 2,restaurant,,,,,,,,,,,,,,
All Good Deli,Terminal 2,restaurant,,,,,,,,,,,,,,
Amcha Katta,Terminal 1,restaurant,,,,,,,,,,,,,,
Amreli,Terminal 2,restaurant,,,,,,,,,,,,,,
Amul Ice Cream Lounge,Terminal 2,restaurant,,,,,,,,,,,,,,
Asia 7,Terminal 2,restaurant,,,,,,,,,,,,,,
Baker Street,Terminal 2,restaurant,,,,,,,,,,,,,,
Balaji,Terminal 2,restaurant,,,,,,,,,,,,,,
Bar Fly,Terminal 2,restaurant,,,,,,,,,,,,,,
Baskin Robbins,Terminal 2,restaurant,,,,,,,,,,,,,,
Bira 91 Taproom,Terminal 1,restaurant,,,,,,,,,,,,,,
Black Dog Bar,Terminal 1,restaurant,,,,,,,,,,,,,,
Blackberry,Terminal 1,restaurant,,,,,,,,,,,,,,
Boarding Bite,Terminal 2,restaurant,,,,,,,,,,,,,,
Budweiser Bar,Terminal 2,restaurant,,,,,,,,,,,,,,
Burger King,Terminal 2,restaurant,,,,,,,,,,,,,,
Burger Taco Co,Terminal 1,restaurant,,,,,,,,,,,,,,
Café Ritazza,Terminal 2,restaurant,,,,,,,,,,,,,,
Cafeccino,Terminal 1,restaurant,,,,,,,,,,,,,,
Ccd,Terminal 1,restaurant,,,,,,,,,,,,,,
Chaipoint,Terminal 2,restaurant,,,,,,,,,,,,,,
Chef café,Terminal 2,restaurant,,,,,,,,,,,,,,
Clink Bar,Terminal 2,restaurant,,,,,,,,,,,,,,
Coffee & More,Terminal 1,restaurant,,,,,,,,,,,,,,
Coffee Bean & Tea Leaf (CBTL),Terminal 1,restaurant,,,,,,,,,,,,,,
Costa Coffee,Terminal 2,restaurant,,,,,,,,,,,,,,
Curry Kitchen,Terminal 1,restaurant,,,,,,,,,,,,,,
Domino's,Terminal 1,restaurant,,,,,,,,,,,,,,
Donna Italia,Terminal 1,restaurant,,,,,,,,,,,,,,
Dosa Plaza,Terminal 2,restaurant,,,,,,,,,,,,,,
Falafel Express,Terminal 2,restaurant,,,,,,,,,,,,,,
Flurys,Terminal 2,restaurant,,,,,,,,,,,,,,
Foody's,Terminal 2,restaurant,,,,,,,,,,,,,,
Fresco,Terminal 2,restaurant,,,,,,,,,,,,,,
Good Flippin' Burgers,Terminal 2,restaurant,,,,,,,,,,,,,,
Haldiram's,Terminal 1,restaurant,,,,,,,,,,,,,,
Heineken Bar,Terminal 2,restaurant,,,,,,,,,,,,,,
Hoegaarden Bar,Terminal 2,restaurant,,,,,,,,,,,,,,
Idli.com,Terminal 1,restaurant,,,,,,,,,,,,,,
Irish house,Terminal 2,restaurant,,,,,,,,,,,,,,
Jumbo King,Terminal 1,restaurant,,,,,,,,,,,,,,
Kailash Parbat,Terminal 2,restaurant,,,,,,,,,,,,,,
Mad Over Donuts,Terminal 1,restaurant,,,,,,,,,,,,,,
Madras Coffee House,Terminal 1,restaurant,,,,,,,,,,,,,,
Manis Cafe,Terminal 2,restaurant,,,,,,,,,,,,,,
Masala Twist,Terminal 2,restaurant,,,,,,,,,,,,,,
Messo,Terminal 2,restaurant,,,,,,,,,,,,,,
Mint & Mirchi,Terminal 2,restaurant,,,,,,,,,,,,,,
Mitti Café,Terminal 2,restaurant,,,,,,,,,,,,,,
Moti Mahal,Terminal 2,restaurant,,,,,,,,,,,,,,
Mumbai Se,Terminal 1,restaurant,,,,,,,,,,,,,,
Mumbai Snacks,Terminal 1,restaurant,,,,,,,,,,,,,,
Naashto,Terminal 2,restaurant,,,,,,,,,,,,,,
Naturals,Terminal 1,restaurant,,,,,,,,,,,,,,
New York Burrito Company,Terminal 2,restaurant,,,,,,,,,,,,,,
Nourish,Terminal 1,restaurant,,,,,,,,,,,,,,
Ottoman Eats,Terminal 2,restaurant,,,,,,,,,,,,,,
Pasta Station,Terminal 1,restaurant,,,,,,,,,,,,,,
Pizza Hut,Terminal 2,restaurant,,,,,,,,,,,,,,
Raju Omlet,Terminal 1,restaurant,,,,,,,,,,,,,,
Salad Bar,Terminal 1,restaurant,,,,,,,,,,,,,,
Shawarma Shack,Terminal 1,restaurant,,,,,,,,,,,,,,
Shiv Sagar,Terminal 2,restaurant,,,,,,,,,,,,,,
Squeeze Juice,Terminal 2,restaurant,,,,,,,,,,,,,,
Street Foods by Punjab Grill,Terminal 2,restaurant,,,,,,,,,,,,,,
The Cram Bar,Terminal 2,restaurant,,,,,,,,,,,,,,
Third Wave Coffee,Terminal 2,restaurant,,,,,,,,,,,,,,
TIKG (The Indian Kebab Grill) Bar,Terminal 2,restaurant,,,,,,,,,,,,,,
Ultra Bar,Terminal 1,restaurant,,,,,,,,,,,,,,
Vaango,Terminal 2,restaurant,,,,,,,,,,,,,,
Wow Momo,Terminal 2,restaurant,,,,,,,,,,,,,,
Wrapafella,Terminal 2,restaurant,,,,,,,,,,,,,,
Zambar,Terminal 2,restaurant,,,,,,,,,,,,,,
