name,terminal,airside,categories,lat,lon,phone,website,opening_hours,floor_level,wheelchair,takeaway,description,verified_status,osm_id,cuisine,logo_url
The Chocolate Shack by Dominique Persoone,Main Terminal,Airside,"Confectionery, Belgian",,,,,,Gates A,,yes,"A premium Belgian chocolate boutique and tasting bar by master chocolatier Dominique Persoone, offering artisan pralines and hot chocolate.",OPEN — on official BRU website,,"Bakery, Desserts, European",
Panos Sweet Bakery,Main Terminal,Airside,"Bakery, Coffee",,,,,,Gates B,,yes,"The dessert-focused Panos outlet offering Belgian waffles, pastries, cakes, and sweet treats.", croissants and specialty coffees.,OPEN — on official BRU website,"Bakery, Desserts",
Bistrot Bakery,Main Terminal,Airside,"Bakery, Café, Bar",,,,,,Gates B,,yes,"A bakery-cafe serving fresh croissants, breads, sandwiches, and espresso drinks throughout the day.", sandwiches, pastries and a relaxed bar atmosphere.,"Bakery, Café",
Bistrot Bar,Main Terminal,Airside,"Bar, Belgian, Restaurant",,,,,,Gates B,,,"A casual French-Belgian bistro bar serving wines, beers, and light bites in a relaxed setting.", fries, local beers and a full drinks menu.,"Bar, European",
Bar Festiv,Main Terminal,Airside,"Bar, Belgian",,,,,,Gates A,,yes,"Bar Festiv is an airport or travel hub bar concept offering a selection of drinks and light bites in a festive, social atmosphere.", aperitifs and light bites at two airside locations.,OPEN — on official BRU website,Bar,
Bar Festiv,Main Terminal,Airside,"Bar, Belgian",,,,,,Gates T,,yes,"Bar Festiv is an airport or travel hub bar concept offering a selection of drinks and light bites in a festive, social atmosphere.", aperitifs and light bites at two airside locations.,OPEN — on official BRU website,Bar,
Guapa,Main Terminal,Airside,"Café, Smoothies",,,,,,Gates A,,yes,"A Latin-inspired restaurant serving tapas, empanadas, and South American-influenced dishes.", acai bowls and healthy breakfast items.,OPEN — on official BRU website,Latin American,
Coffee & More,Main Terminal,Airside,"Coffee, Café",,,,,,Gates B,,yes,"Coffee & More is a coffee and snack kiosk concept found in airports and transit hubs, offering espresso drinks and a variety of light bites.", sandwiches and light bites in Gates B.,OPEN — on official BRU website,Café,
Le Pain Quotidien,Main Terminal,Landside,"Café, Bakery, Belgian",,,,,,Departure Hall,,,"Le Pain Quotidien is a Belgian bakery café known for its communal wooden tables, organic sourdough bread, open tartines, and wholesome, seasonal menu items.", salads, smoothies and vegan options.,"Bakery, Café, European",https://img.logo.dev/lepainquotidien.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Amo,Main Terminal,Airside,"Restaurant, Pizza, Italian",,,,,,Gates A,,,A modern Belgian restaurant offering local and international dishes in a contemporary setting., pasta, aperitivo and all-day breakfast in Gates A.,"Bar, European",
