name,terminal,amenity_type,airside,floor_level,cuisine,lat,lon,address,phone,website,opening_hours,wheelchair,takeaway,brand,osm_id,osm_type
KFC,Terminal 1,fast_food,,,chicken,,,,,,,,,KFC,,
McDonald's,Terminal 1,fast_food,,,burger,,,,,,,,,McDonald's,,
Burger King,Terminal 1,fast_food,,,burger,,,,,,,,,Burger King,,
Dicos,Terminal 1,fast_food,,,chicken,,,,,,,,,Dicos,,
Starbucks,Terminal 1,cafe,,,coffee_shop,,,,,,,,,Starbucks,,
Pacific Coffee,Terminal 1,cafe,,,coffee_shop,,,,,,,,,Pacific Coffee,,
Luckin Coffee,Terminal 1,cafe,,,coffee_shop,,,,,,,,,Luckin Coffee,,
Tao Tao Ju,Terminal 1,restaurant,,,chinese,,,,,,,,,,,
Guangzhou Restaurant,Terminal 1,restaurant,,,chinese,,,,,,,,,,,
Yoshinoya,Terminal 1,fast_food,,,japanese,,,,,,,,,Yoshinoya,,
Lao Guang Ji,Terminal 2,restaurant,,,chinese,,,,,,,,,,,
Way Yu Lau,Terminal 2,restaurant,,,chinese,,,,,,,,,,,
Master Kong / Meetrice,Terminal 2,restaurant,,,chinese,,,,,,,,,,,
Lanzhou Noodles,Terminal 2,restaurant,,,noodles,,,,,,,,,,,
Ji Xiang Hun Tun,Terminal 2,restaurant,,,chinese,,,,,,,,,,,
Peter Steak House,Terminal 2,restaurant,,,steak,,,,,,,,,,,
Lok Tao,Terminal 2,restaurant,,,chinese,,,,,,,,,,,
Xiao Noodles,Terminal 2,restaurant,,,noodles,,,,,,,,,,,
