name,terminal,amenity_type,airside,floor_level,cuisine,lat,lon,address,phone,website,opening_hours,wheelchair,takeaway,brand,osm_id,osm_type
Barista,Main Terminal,restaurant,Airside,,,,,Departure Transit Area,94-112 252 714,,24 hours,,,,,
Burger King,Main Terminal,restaurant,Airside,,,,,Departure Transit Area,94-112 265 259,,24 hours,,,,,
Café Nescafe,Main Terminal,restaurant,Airside,,,,,Departure Transit Area,94114230530,,24 hours,,,,,
Coffee Bean,Main Terminal,restaurant,Airside,,,,,Departure Transit Area,,,24 hours,,,,,
Ex Tea,Main Terminal,restaurant,Landside,,,,,"Arrival Lobby, Arrival Walkway, Arrival Outer porch area",+94112869986,,24 hours,,,,,
Ex Tea,Main Terminal,restaurant,Airside,,,,,Pier Area,94-114 363 275,,24 hours,,,,,
Palm Strip Bar & Restaurant,Main Terminal,restaurant,Airside,,,,,Departure Transit Area,94-112 264 984,,24 hours,,,,,
Pizza Hut & Delifrance,Main Terminal,restaurant,Airside,,,,,Departure Transit Area,94-112 255 011,,24 hours,,,,,
Relax Inn,Main Terminal,restaurant,Airside,,,,,Departure Transit Area,94-112 251 570,,24 hours,,,,,
S.V.H. SNACKS,Main Terminal,restaurant,Airside,,,,,Departure Public Concourse & Walkway,94-715 902 060,,24 hours,,,,,
Segafredo Caffe,Main Terminal,restaurant,Airside,,,,,Departure Transit Area,+94112260480,,24 hours,,,,,
