name,terminal,amenity_type,airside,floor_level,cuisine,lat,lon,address,phone,website,opening_hours,wheelchair,takeaway,brand,osm_id,osm_type
@café,Terminal 3,restaurant,Landside,,,,,T3 Arrivals,,,,,,,,
@café,Terminal 3,restaurant,Airside,,,,,T3 Departures,,,,,,,,
Costa Coffee,Terminal 2,restaurant,Airside,,,,,T2 Domestic Departure,,,,,,,,
Costa Coffee,Terminal 3,restaurant,Airside,,,,,T3 Departures,,,,,,,,
Costa Coffee,Terminal 3,restaurant,Landside,,,,,T3 International Arrivals,,,,,,,,
Curry Kitchen,Terminal 3,restaurant,Airside,,,,,T3 International Departures,,,,,,,,
Curry Kitchen,Terminal 3,restaurant,Landside,,,,,T3 Domestic Arrivals,,,,,,,,
Dilli Streat,Terminal 3,restaurant,Landside,,,,,T3 Arrivals,,,,,,,,
Dilli Streat,Terminal 3,restaurant,Airside,,,,,T3 Domestic Departures,,,,,,,,
Dominos,Terminal 3,restaurant,Airside,,,,,T3 Domestic Departures,,,,,,,,
Dominos,Terminal 3,restaurant,Landside,,,,,T3 International Arrivals,,,,,,,,
Dominos,Terminal 1,restaurant,Airside,,,,,T1 Departure Food court,,,,,,,,
Idli.com,Terminal 3,restaurant,Airside,,,,,T3 International Departures,,,,,,,,
KFC,Terminal 1,restaurant,Airside,,,,,T1 Departure Food court,,,,,,,,
KFC,Terminal 2,restaurant,Airside,,,,,T2 Domestic Departure,,,,,,,,
KFC,Terminal 3,restaurant,Airside,,,,,T3 Domestic Departures,,,,,,,,
KFC,Terminal 3,restaurant,Landside,,,,,T3 International Arrivals,,,,,,,,
Masala Twist,Terminal 3,restaurant,Airside,,,,,T3 Departures,,,,,,,,
McDonalds,Terminal 3,restaurant,Airside,,,,,T3 Domestic Departures,,,,,,,,
McDonalds,Terminal 1,restaurant,Airside,,,,,T1 Departure Food court,,,,,,,,
Pizza Hut Express,Terminal 2,restaurant,Airside,,,,,T2 Departures,,,,,,,,
Starbucks,Terminal 3,restaurant,Landside,,,,,T3 Domestic Arrivals,,,,,,,,
Starbucks,Terminal 3,restaurant,Airside,,,,,T3 Domestic Departures,,,,,,,,
Starbucks,Terminal 1,restaurant,Airside,,,,,T1 Departure Bus Gates,,,,,,,,
Subway,Terminal 2,restaurant,Airside,,,,,T2 Departures,,,,,,,,
Subway,Terminal 3,restaurant,Landside,,,,,T3 Arrivals,,,,,,,,
Subway,Terminal 3,restaurant,Airside,,,,,T3 Domestic Departures,,,,,,,,
Subway,Terminal 1,restaurant,Airside,,,,,T1 Departure Food court,,,,,,,,
Vaango,Terminal 3,restaurant,Landside,,,,,T3 Domestic Arrivals,,,,,,,,
Ile Bar,Terminal 3,restaurant,Landside,,,,,T3 International Arrivals,,,,,,,,
Ile Bar,Terminal 3,restaurant,Airside,,,,,T3 International Departures,,,,,,,,
Delhi Capitals,Terminal 3,restaurant,Airside,,,,,T3 International Departures,,,,,,,,
Cafeccino,Terminal 1,restaurant,Landside,,,,,T1 Arrivals,,,,,,,,
Cafeccino,Terminal 3,restaurant,Airside,,,,,T3 Departures,,,,,,,,
Cafeccino,Terminal 1,restaurant,Airside,,,,,"T1 Domestic Departure,Gate No 17",,,,,,,,
Punjabi Kulfi,Terminal 3,restaurant,Airside,,,,,T3 Domestic Departures,,,,,,,,
Krispy Kreme Kiosk,Terminal 3,restaurant,Landside,,,,,T3 Arrivals,,,,,,,,
Krispy Kreme Kiosk,Terminal 3,restaurant,Airside,,,,,T3 Departures,,,,,,,,
Krispy Kreme Kiosk,Terminal 1,restaurant,Airside,,,,,"T1 Domestic Departure,Gate No 11",,,,,,,,
The Irish House,Terminal 3,restaurant,Airside,,,,,T3 International Departures,,,,,,,,
Bercos,Terminal 3,restaurant,Airside,,,,,T3 International Departures,,,,,,,,
Flying Bites,Terminal 1,restaurant,Airside,,,,,T1 Domestic Departure,,,,,,,,
Cafe Espresso,Terminal 2,restaurant,Landside,,,,,T2 Arrivals,,,,,,,,
Cafe Espresso,Terminal 2,restaurant,Airside,,,,,T2 Departures,,,,,,,,
Cafe Espresso,Terminal 3,restaurant,Airside,,,,,T3 Domestic Departures,,,,,,,,
Gujrati Svado,Terminal 2,restaurant,Airside,,,,,T2 Departures,,,,,,,,
Gujrati Svado,Terminal 3,restaurant,Landside,,,,,T3 Domestic Arrivals,,,,,,,,
Grab & Fly,Terminal 2,restaurant,Airside,,,,,T2 Departures,,,,,,,,
Urban Food Market,Terminal 2,restaurant,Landside,,,,,T2 Arrivals,,,,,,,,
Urban Food Market,Terminal 2,restaurant,Airside,,,,,T2 Departures,,,,,,,,
Urban Food Market,Terminal 3,restaurant,Airside,,,,,T3 International SHA,,,,,,,,
Grab & Go,Terminal 2,restaurant,Landside,,,,,T2 Arrivals,,,,,,,,
Fresh & Healthy,Terminal 2,restaurant,Airside,,,,,T2 Departures,,,,,,,,
Chaayos,Terminal 2,restaurant,Airside,,,,,T2 Departures,,,,,,,,
Chaayos,Terminal 3,restaurant,Landside,,,,,T3 Arrivals,,,,,,,,
Mumbai Central,Terminal 3,restaurant,Landside,,,,,T3 International Arrivals,,,,,,,,
Falafel Express,Terminal 3,restaurant,Airside,,,,,T3 Domestic Departures,,,,,,,,
Hello Goodbye Bar,Terminal 2,restaurant,Airside,,,,,T2 Departures,,,,,,,,
Caffe Tonino,Terminal 3,restaurant,Airside,,,,,T3 International Departures,,,,,,,,
Caffe Tonino,Terminal 1,restaurant,Airside,,,,,T1 Departure Food court,,,,,,,,
Papparoti,Terminal 3,restaurant,Airside,,,,,T3 Domestic Departures,,,,,,,,
Papparoti,Terminal 1,restaurant,Airside,,,,,"T1 Domestic Departure,Food Court",,,,,,,,
Nourish,Terminal 3,restaurant,Airside,,,,,T3 Domestic Departures,,,,,,,,
Ultra Bar,Terminal 3,restaurant,Airside,,,,,T3 Domestic Departures,,,,,,,,
Noodle Wok,Terminal 3,restaurant,Landside,,,,,T3 Arrivals,,,,,,,,
Wrapafella,Terminal 3,restaurant,Airside,,,,,T3 International Departures,,,,,,,,
Nescafe,Terminal 1,restaurant,Landside,,,,,T1 Arrivals,,,,,,,,
Nescafe,Terminal 3,restaurant,Landside,,,,,T3 Arrivals,,,,,,,,
Nescafe,Terminal 3,restaurant,Airside,,,,,T3 Departures,,,,,,,,
Dosa factory & Noodle,Terminal 2,restaurant,Airside,,,,,T2 Domestic Departure,,,,,,,,
Dosa factory & Noodle,Terminal 3,restaurant,Landside,,,,,T3 International Arrivals,,,,,,,,
Hatti Kappi,Terminal 2,restaurant,Airside,,,,,T2 Departures,,,,,,,,
Network 18 Café,Terminal 3,restaurant,Airside,,,,,T3 International Departures,,,,,,,,
Burger King,Terminal 3,restaurant,Airside,,,,,T3 Domestic Departures,,,,,,,,
Heineken Bar,Terminal 3,restaurant,Airside,,,,,T3 Domestic Departures,,,,,,,,
Chai Point,Terminal 3,restaurant,Airside,,,,,T3 International Departures,,,,,,,,
Carnatic Café,Terminal 3,restaurant,Airside,,,,,T3 Domestic Departures,,,,,,,,
Carnatic Café,Terminal 1,restaurant,Airside,,,,,T1 Departure Food court,,,,,,,,
Airr Toast,Terminal 3,restaurant,Airside,,,,,T3 International Departures,,,,,,,,
Dhaba,Terminal 3,restaurant,Airside,,,,,T3 Domestic Departures,,,,,,,,
Franks,Terminal 3,restaurant,Airside,,,,,T3 Domestic Departures,,,,,,,,
Biryani Blues,Terminal 3,restaurant,Airside,,,,,T3 Domestic Departures,,,,,,,,
Moti Mahal Deluxe,Terminal 3,restaurant,Landside,,,,,T3 International Arrivals,,,,,,,,
Tim Hortons,Terminal 3,restaurant,Airside,,,,,T3 Domestic Departure Piers,,,,,,,,
Tim Hortons,Terminal 1,restaurant,Airside,,,,,T1 Departure SHA,,,,,,,,
Theobroma,Terminal 1,restaurant,Airside,,,,,T1 Departure Food court,,,,,,,,
Theobroma,Terminal 3,restaurant,Landside,,,,,T3 Arrivals,,,,,,,,
Theobroma,Terminal 3,restaurant,Airside,,,,,T3 Domestic Departure Piers,,,,,,,,
Round D Clock,Main Terminal,restaurant,,,,,,,,,,,,,,
