"name","terminal","airside","gate","address","phone","website","cuisine","categories","description","opening_hours","wheelchair","takeaway","halal","vegetarian_options","vegan_options","verified_status","osm_id"
"Aletitude","A Gates","Airside","A81","A Gates, Near Gate A81","","","","","","Daily, 5 a.m. – 11 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Auntie Anne's Pretzels","C Gates","Airside","C26","C Gates, Near Gate C26","","","","","","Daily, 8 a.m. – 8 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Aviano Coffee","B Gates","Airside","B12","B Gates, Near Gate B12","","","","","","Daily, 5:30 a.m. – 9:30 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Aviano Coffee","C Gates","Airside","C54","C Gates, Near Gate C54","","","","","","Daily, 5 a.m. – 9 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Aviator's Sports Bar & Bar-B-Que","B Gates","Airside","","B Gates, Center Core, Mezzanine","","","","","","Daily, 7 a.m. – 11 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Bar Dough","C Gates","Airside","C54","C Gates, Near Gate C54","","","","","","Daily, 7 a.m. – 11 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Barista Bot Robotic Vending","C Gates","Airside","C48","C Gates, Near Gate C48","","","","","","Always open","","","","","","OPEN — on official Denver DEN website",""
"Ben & Jerry's Ice Cream","A Gates","Airside","","A Gates, Center Core","","","","","","Daily, 9 a.m. – 9 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Big Bowl","C Gates","Airside","C28","C Gates, Near Gate C28","","","","","","Daily, 8 a.m. – 7:30 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Blue Sky Bar","A Gates","Airside","A34","A Gates, Near Gate A34","","","","","","Daily, 7 a.m. – 11 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Breckenridge Brewery","A Gates","Airside","A71","A Gates, Near Gate A71","","","","","","Daily, 7 a.m. – 11 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Brothers BBQ","A Gates","Airside","A71","A Gates, Near Gate A71","","","","","","Daily, 6 a.m. – 10 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Cantina Grill","B Gates","Airside","","B Gates, Center Core, Mezzanine","","","","","","Daily, 7 a.m. – 10 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Caribou Coffee","A Gates","Airside","","A Gates, Center Core","","","","","","Daily, 5 a.m. – 9 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Caribou Coffee","Jeppesen Terminal","Landside","","Jeppesen Terminal, Level 6 East","","","","","","Daily, 4:30 a.m. – 8:30 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Chick-fil-A","A Gates","Airside","","A Gates, Center Core","","","","","","Mon. – Sat.: 5:30 a.m. – 10 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Chick-fil-A","B Gates","Airside","","B Gates, Center Core","","","","","","Mon. – Sat.: 5:30 a.m. – 10 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Chick-fil-A","C Gates","Airside","","C Gates, Center Core","","","","","","Mon. – Sat., 5:30 a.m. – 10 p.m.","","","","","","OPEN — on official Denver DEN website",""
"ChoLon Modern Asian","C Gates","Airside","C62","C Gates, Near Gate C62","","","","","","Daily, 6 a.m. – 10 p.m.","","","","","","OPEN — on official Denver DEN website",""
"City Pho","B Gates","Airside","","B Gates, Center Core, Mezzanine","","","","","","Daily, 6 a.m. – 10 p.m.","","","","","","OPEN — on official Denver DEN website",""
"City Wok","B Gates","Airside","","B Gates, Center Core, Mezzanine","","","","","","Daily, 6 a.m. – 10 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Colorado Collective Marketplace","B Gates","Airside","B11","B Gates, Near Gate B11","","","","","","Daily, 6 a.m. – 9 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Coors Silver Bullet Bar","C Gates","Airside","C29","C Gates, Near Gate C29","","","","","","Daily, 7 a.m. – 9 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Cru Wine Bar","B Gates","Airside","B53","B Gates, Near Gate B53","","","","","","Daily, 6 a.m. – 10 p.m.","","","","","","OPEN — on official Denver DEN website",""
"D Bar","A Gates","Airside","A38","A Gates, Near Gate A38","","","","","","Daily, 6 a.m. – 10 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Dazbog Coffee","A Gates","Airside","A48","A Gates, Near Gate A48","","","","","","Daily, 5 a.m. – 9 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Dazbog Coffee","B Gates","Airside","B45","B Gates, Near Gate B45","","","","","","Daily, 5 a.m. – 9 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Dazbog Coffee","C Gates","Airside","","C Gates, Center Core","","","","","","Daily, 5 a.m. – 9 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Denver Central Market","A Gates","Airside","A48","A Gates, Near Gate A48","","","","","","Daily, 4 a.m. – 10 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Denver Street Eats","B Gates","Airside","B22","B Gates, Near Gate B22","","","","","","Daily, 6 a.m. – 10 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Einstein Bros Bagels","A Gates","Airside","","A Gates, Center Core, east side","","","","","","Open 24-hours every day","","","","","","OPEN — on official Denver DEN website",""
"Einstein Bros. Bagels / Mile High Spirits","B Gates","Airside","B54","B Gates, Near Gate B54","","","","","","Daily, 5 a.m. – 9 p.m.","","","","","","OPEN — on official Denver DEN website",""
"El Chingon","B Gates","Airside","B12","B Gates, Near Gate B12","","","","","","Daily, 6 a.m. – 10 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Elway's","B Gates","Airside","","B Gates, Center Core","","","","","","Daily, 7 a.m. – 11 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Elway's Taproom and Grill","A Gates","Airside","A18","A Gates, Near Gate A18","","","","","","Daily, 7 a.m. – 10 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Fat Sully's Pizza NY Pizza","A Gates","Airside","","A Gates, Center Core","","","","","","Daily, 7 a.m. – Midnight","","","","","","OPEN — on official Denver DEN website",""
"Freshens Fresh Food Studio","A Gates","Airside","","A Gates, Center Core","","","","","","Daily, 5 a.m. – 9 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Freshens Fresh Food Studio","B Gates","Airside","B22","B Gates, Near Gate B22","","","","","","Daily, 6 a.m. – 10 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Garbanzo Fresh Mediterranean","B Gates","Airside","","B Gates, Center Core","","","","","","Daily, 6 a.m. – 10 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Great Divide Brewing","C Gates","Airside","C32","C Gates, Near Gate C32","","","","","","Daily, 5:00 a.m. – 9:30 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Half Moon Empanadas","B Gates","Airside","","B Gates, Center Core","","","","","","Daily, 5 a.m. – 10 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Jamba Juice","B Gates","Airside","","B Gates, Center Core","","","","","","Daily, 5 a.m. – 9 p.m.","","","","","","OPEN — on official Denver DEN website",""
