name,terminal,airside,gate,lat,lon,phone,categories,description,opening_hours,wheelchair,takeaway,halal,vegetarian_options,vegan_options,verified_status,osm_id,cuisine,logo_url
Auntie Anne's,Terminal A,Airside,Gate A21,32.905069,-97.035562,,Pretzels; Lemonade; Breakfast,"Auntie Anne's is an American pretzel bakery chain famous for its hand-rolled, freshly baked soft pretzels served plain or in sweet and savoury varieties.",,,,,,OPEN — on official DFW Airport website,,,Bakery,https://img.logo.dev/auntieannes.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
California Pizza Kitchen,Terminal A,Airside,Gate A28,32.902856,-97.036314,,Italian/Pizza; Bar; Restaurant; Breakfast,"California Pizza Kitchen is an American casual dining chain known for its innovative, globally inspired pizza toppings and wood-fired pies, alongside salads and pastas.",,,,,,OPEN — on official DFW Airport website,,,Pizza,https://img.logo.dev/californiapizzakitchen.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Dallas Cowboys Club,Terminal A,Airside,Gate A21,32.90468,-97.035528,,Bar; Tex Mex; Burger; Quesadilla; Brisket; Sandwiches,An officially licensed Dallas Cowboys-themed sports club and restaurant serving American food and cocktails with football memorabilia throughout.,,,,,,OPEN — on official DFW Airport website,,,"Bar, American",
Einstein Bros. Bagels,Terminal A,Airside,Gate A9,32.907012,-97.038149,,Bagels; Coffee; Pastries; Muffins; Breakfast,"Einstein Bros. Bagels is an American bakery café chain offering a wide variety of freshly baked bagels, schmears, egg sandwiches, and specialty coffees.",,,,,,OPEN — on official DFW Airport website,,,"Sandwiches & Deli, Café",https://img.logo.dev/einsteinbros.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Einstein Bros. Bagels,Terminal A,Airside,Gate A11,32.90688,-97.037186,,Bagels; Coffee; Pastries; Muffins; Breakfast,"Einstein Bros. Bagels is an American bakery café chain offering a wide variety of freshly baked bagels, schmears, egg sandwiches, and specialty coffees.",,,,,,OPEN — on official DFW Airport website,,,"Sandwiches & Deli, Café",https://img.logo.dev/einsteinbros.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
La Crème Coffee & Tea,Terminal A,Airside,Gate A34,32.902263,-97.037157,,Coffee; Tea,"A premium coffee and tea cafe serving handcrafted espresso drinks, loose-leaf teas, and pastries.",,,,,,OPEN — on official DFW Airport website,,,Café,
La Madeleine,Terminal A,Airside,Gate A25,32.903764,-97.036012,,Breakfast; Coffee; French; Soup; Sandwiches,"La Madeleine is an American French country café chain offering a warm, farmhouse-style dining experience with French-inspired soups, salads, pastries, and quiches.",,,,,,OPEN — on official DFW Airport website,,,"Café, Bakery, French, European",https://img.logo.dev/lamadeleine.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Lorena Garcia Tapas y Cocina,Terminal A,Airside,Gate A33,32.902612,-97.036774,,Restaurant; Mexican/Southwest; Tapas; Small Plates; Coffee,"A Venezuelan-American chef Lorena Garcia's concept serving Latin American tapas, arepas, and small plates.",,,,,,OPEN — on official DFW Airport website,,,Latin American,
McDonald's,Terminal A,Airside,Gate A17,32.906074,-97.03627,+1 (972) 973-7312,Fast Food; Burger; Fries; Breakfast; Coffee,"McDonald's is the world's largest fast food chain, serving billions of customers daily with iconic menu items including the Big Mac, McChicken, and golden french fries.",,,,,,OPEN — on official DFW Airport website,,,Fast Food,https://img.logo.dev/mcdonalds.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
McDonald's,Terminal A,Airside,Gate A35,32.902372,-97.037324,,Fast Food; Burger; Fries; Breakfast; Coffee,"McDonald's is the world's largest fast food chain, serving billions of customers daily with iconic menu items including the Big Mac, McChicken, and golden french fries.",,,,,,OPEN — on official DFW Airport website,,,Fast Food,https://img.logo.dev/mcdonalds.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Panera Bread,Terminal A,Airside,Gate A33,32.902397,-97.037047,,Sandwich; Deli; Soup; Salads; Bakery,"Panera Bread is an American bakery café chain offering freshly baked artisan breads, soups in bread bowls, sandwiches, salads, and clean-label beverages.",,,,,,OPEN — on official DFW Airport website,,,"Bakery, Café",https://img.logo.dev/panerabread.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Pappadeaux,Terminal A,Airside,Gate A24,32.903879,-97.035885,+1 (972) 615-3508,Restaurant; Bar; Seafood; Pasta; Lobster; Casual Dine-In,"Pappadeaux Seafood Kitchen is an American upscale Cajun seafood restaurant chain serving Louisiana-inspired dishes including crawfish étouffée, blackened fish, and fresh oysters.",,,,,,OPEN — on official DFW Airport website,,,"Seafood, American",https://img.logo.dev/pappadeaux.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Pappasito's Cantina,Terminal A,Airside,Gate A28,32.903245,-97.036341,+1 (972) 615-3219,Restaurant; Bar; Tex Mex; Fish Tacos; Nachos; Enchiladas; Casual Dine-In,"Pappasito's Cantina is an upscale American Tex-Mex restaurant chain from the Pappas family, serving premium fajitas, margaritas, and classic Mexican cuisine.",,,,,,OPEN — on official DFW Airport website,,,"Mexican, Latin American, American",https://img.logo.dev/pappasitos.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Plum Market Bar,Terminal A,Airside,Gate A8,32.907025,-97.038864,,Bar; Snack; Chips; Tacos; Chicken; Salads,"A market-inspired bar and food hall serving craft cocktails, local beers, and gourmet grab-and-go items.",,,,,,OPEN — on official DFW Airport website,,,"Bar, Grab & Go",
Popeyes,Terminal A,Airside,Gate A16,32.906248,-97.036558,,Fried Chicken; Fast Food; Biscuits; Sides,"Popeyes is an American fast food chain founded in New Orleans, famous for its Louisiana-style Cajun-spiced fried chicken, buttermilk biscuits, and bold Cajun flavours.",,,,,,OPEN — on official DFW Airport website,,,"Fast Food, Steak, Grill Chicken & BBQ",https://img.logo.dev/popeyes.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
