name,terminal,airside,categories,lat,lon,phone,website,opening_hours,floor_level,wheelchair,takeaway,description,verified_status,osm_id,cuisine,logo_url
Arthur Guinness Bar,Terminal 1,Airside,"Bar, Irish Pub",,,,,04:00–21:00,,,,"An officially themed bar celebrating Arthur Guinness and the Guinness heritage, serving stouts, Irish ales, and classic Irish pub snacks.",OPEN — on official DUB website,,Bar,
Bewley's,Terminal 2,Landside,"Coffee, Café",,,,,24HR,,,,"Ireland's iconic tea and coffee company with a long history, serving Bewley's teas, coffees, scones, and traditional Irish baked goods.",OPEN — on official DUB website,,Café,https://img.logo.dev/bewleys.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Bluebird Coffee Roasters,Terminal 1,Airside,"Coffee, Café",,,,,04:00–21:00,,,,An Irish specialty coffee roaster serving carefully sourced single-origin espresso drinks and filter coffees., pastries, gourmet sandwiches,Café,
Boxx,Terminal 1,Airside,"Restaurant, Asian",,,,,04:00–21:00,,,,"A grab-and-go snack box concept offering pre-packed sandwiches, snacks, and beverages for busy travelers.", juices, beer and wine.,Grab & Go,
Burger King,Terminal 1,Landside,Fast Food,,,,,06:00–22:00,,,,Burger King is a global American fast food chain best known for the flame-grilled Whopper burger and its 'Have It Your Way' customisation philosophy.,OPEN — on official DUB website,,Fast Food,https://img.logo.dev/bk.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Burger King,Terminal 1,Airside,Fast Food,,,,,04:00–22:00,,,,Burger King is a global American fast food chain best known for the flame-grilled Whopper burger and its 'Have It Your Way' customisation philosophy.,OPEN — on official DUB website,,Fast Food,https://img.logo.dev/bk.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Burger King,Terminal 2,Airside,Fast Food,,,,,04:00–22:00,,,,Burger King is a global American fast food chain best known for the flame-grilled Whopper burger and its 'Have It Your Way' customisation philosophy.,OPEN — on official DUB website,,Fast Food,https://img.logo.dev/bk.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Butlers Chocolate Café,Terminal 1,Airside,"Café, Confectionery",,,,,04:00–21:00,,,,"Butlers Chocolate Café is an Irish chocolatier and café chain offering premium handcrafted chocolates, truffles, and indulgent hot chocolate drinks.", hot chocolate and Ireland's finest handcrafted chocolates.,OPEN — on official DUB website,"Café, Desserts",https://img.logo.dev/butlerschocolates.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Butlers Chocolate Café,Terminal 2,Airside,"Café, Confectionery",,,,,04:00–20:00,,,,"Butlers Chocolate Café is an Irish chocolatier and café chain offering premium handcrafted chocolates, truffles, and indulgent hot chocolate drinks.", hot chocolate and Ireland's finest handcrafted chocolates.,OPEN — on official DUB website,"Café, Desserts",https://img.logo.dev/butlerschocolates.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Cibo,Terminal 1,Airside,"Restaurant, Italian",,,,,04:00–22:00,,,,"An Italian-inspired cafe and deli serving fresh pasta, panini, espresso drinks, and Italian pastries.", focaccia sandwiches, Italian dishes and cocktails.,"Café, Italian",https://img.logo.dev/cibovita.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Cloud Picker,Terminal 1,Landside,"Coffee, Café",,,,,04:00–21:00,,,,"A Dublin-based specialty coffee roastery with a precise approach to coffee, serving pour-over, espresso, and brewing method drinks.",OPEN — on official DUB website,,Café,https://img.logo.dev/cloudpickercoffee.ie?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Cloud Picker - Gate 402,Terminal 2,Airside,"Coffee, Café",,,,,First flight–Last flight,,,,"A gate-side outpost of Dublin specialty roaster Cloud Picker, serving espresso drinks and light snacks.",OPEN — on official DUB website,,Café,
Cloud Picker - Gate 409,Terminal 2,Airside,"Coffee, Café",,,,,05:00–Last flight,,,,"A second gate-side location of Cloud Picker specialty coffee, serving espresso-based drinks near departure gates.",OPEN — on official DUB website,,Café,
Cuan,Terminal 1,Airside,"Bar, Pub",,,,,04:00–Last flight,,,,"A cozy Irish bar and cafe (named from the Irish for harbour) serving pints of Guinness, Irish beers, and pub food at Terminal 1 gates.",OPEN — on official DUB website,,Bar,
Dubh,Terminal 2,Airside,"Market, Grab & Go",,,,,First flight–Last flight,,yes,Last-minute sandwiches,"An Irish-themed bar and restaurant serving traditional Irish food, Guinness, and whiskey in a contemporary setting.",OPEN — on official DUB website,,Bar,
