name,terminal,airside,categories,lat,lon,phone,website,opening_hours,floor_level,wheelchair,takeaway,description,verified_status,osm_id
The Beehive,South Terminal,Landside,"Pub, Bar, Restaurant, Gluten-free",51.1570031,-0.162448,,https://www.jdwetherspoon.com/pubs/the-beehive-crawley/,,2,,,"​Enjoy great views of the arrivals hall, as well as a cosy interior at this Wetherspoons pub.",OPEN — on official Gatwick website,5046986705
Big Smoke,South Terminal,Airside,"Bar, Restaurant, Pub, Gluten-free",,,,https://www.bigsmoke-taphousekitchen.co.uk/big-smoke-gatwick/,,,,,"Serving you the freshest beers, signature cocktails and delicious all-day menu to suit all tastes.",OPEN — on official Gatwick website,
Black Sheep Coffee,North Terminal,Airside,Coffee,51.1593535,-0.1784641,,https://leavetheherdbehind.com/blogs/locations/gatwick-south-terminal?_pos=1&_sid=da8ef29bc&_ss=r,04:00-20:30,3,,yes,Leave the herd behind and grab a coffee to start your holiday at Black Sheep Coffee.,OPEN — on official Gatwick website,5124083377
Black Sheep Coffee,South Terminal,Landside,Coffee,51.1593535,-0.1784641,,https://leavetheherdbehind.com/blogs/locations/gatwick-south-terminal?_pos=1&_sid=da8ef29bc&_ss=r,24/7,3,,yes,Leave the herd behind and grab a coffee to start your holiday at Black Sheep Coffee.,OPEN — on official Gatwick website,5124083377
The Breakfast Club,North Terminal,Airside,"Restaurant, Gluten-free",51.1595422,-0.1787771,,https://thebreakfastclubcafes.com/gatwick/,,3,,,The Breakfast Club is a 'caf' that serves up legendary dishes throughout the day.,OPEN — on official Gatwick website,5124084005
BrewDog,North Terminal,Airside,"Restaurant, Bar, Gluten-free",51.1597442,-0.178623,,https://www.brewdog.com/au/gatwick-airport,Mo-Su 04:00-19:00,3,,,"20 taps of craft beer and an all day menu of BrewDog favourites, games zone, photobooth & more.",OPEN — on official Gatwick website,12612779401
Caffe Nero,South Terminal,Landside,"Coffee, Gluten-free",,,,https://caffenero.com/uk/,,,,,"​Traditional, Italian-style food and coffee. They also provide ample power points.",OPEN — on official Gatwick website,
The Flying Horse,South Terminal,Airside,"Restaurant, Bar, Pub, Gluten-free",51.1558381,-0.1626146,,https://www.jdwetherspoon.com/pubs/the-flying-horse-crawley/,,2,,,"​​​A friendly, family pub, with great value and great British food and drinks to enjoy.",OPEN — on official Gatwick website,5046986721
GAIL's,South Terminal,Airside,,,,,https://gails.com/pages/gatwick-airport,,,,,"Freshly baked goods, barista-made coffee, and thoughtful gifts on-the-go.",OPEN — on official Gatwick website,
Giraffe,South Terminal,Landside,"Restaurant, Bar, Gluten-free",51.1566801,-0.1626143,,https://www.giraffe.net/restaurants/gatwick-airport,,2,,,A friendly restaurant with flavours from around the world and music to match.,OPEN — on official Gatwick website,5046986702
