name,terminal,amenity_type,airside,floor_level,cuisine,lat,lon,address,phone,website,opening_hours,wheelchair,takeaway,brand,osm_id,osm_type
A Saideira,Terminal 2,restaurant,Airside,Mezzanine,,,,,,,04:00-23:00,,,,,
Aero Sport Bar,Main Terminal,restaurant,,,,,,,,,,,,,,
Bob's,Main Terminal,fast_food,,,,,,,,,24h,,,Bob's,,
Burger King,Main Terminal,fast_food,,,,,,,,,,,,Burger King,,
Casa Bauducco,Main Terminal,cafe,,,,,,,,,24h,,,Casa Bauducco,,
Casa do Pão de Queijo,Main Terminal,cafe,,,,,,,,,24h,,,,,
CoffeeSpot,Main Terminal,cafe,,,coffee_shop,,,,,,24h,,,,,
Deltaexpresso,Main Terminal,cafe,,,,,,,,,24h,,,,,
Divino Fogão,Main Terminal,restaurant,,,,,,,,,,,,,,
Empanadas y Tal,Main Terminal,cafe,,,,,,,,,,,,,,
Factory,Main Terminal,restaurant,,,,,,,,,24h,,,,,
Freddo,Main Terminal,cafe,,,ice_cream,,,,,,,,,,,
Galeão Coffee Shop,Main Terminal,cafe,,,coffee_shop,,,,,,24h,,,,,
Geneal e Sorvetes Itália,Main Terminal,cafe,,,ice_cream,,,,,,,,,,,
Giraffas,Main Terminal,restaurant,,,,,,,,,,,,,,
Grand Cru,Main Terminal,restaurant,,,,,,,,,,,,,,
Havanna,Main Terminal,cafe,,,,,,,,,,,,Havanna,,
Jamie's Deli,Main Terminal,restaurant,,,,,,,,,24h,,,,,
KFC,Main Terminal,fast_food,,,,,,,,,,,,KFC,,
Kozinha Sushi Bar & Árabe,Main Terminal,restaurant,,,japanese,,,,,,,,,,,
Latitude,Main Terminal,cafe,,,,,,,,,,,,,,
Mania de Churrasco,Main Terminal,restaurant,,,barbecue,,,,,,,,,,,
Mariposa,Main Terminal,restaurant,,,,,,,,,24h,,,,,
Mc Donald's,Main Terminal,fast_food,,,,,,,,,,,,McDonald's,,
Mc Donald's Sorvete,Main Terminal,fast_food,,,,,,,,,,,,McDonald's,,
Nescafé,Main Terminal,cafe,,,,,,,,,24h,,,Nescafé,,
Nutty Bavarian,Main Terminal,fast_food,,,,,,,,,,,,,,
O Pasquim Bar e Prosa,Main Terminal,restaurant,,,,,,,,,,,,,,
Palaphita,Main Terminal,restaurant,,,,,,,,,,,,,,
Pipocassa,Main Terminal,fast_food,,,,,,,,,,,,,,
Pizza Hut,Main Terminal,restaurant,,,pizza,,,,,,,,,Pizza Hut,,
Ritazza,Main Terminal,restaurant,,,,,,,,,24h,,,,,
Salch&Pão,Main Terminal,fast_food,,,,,,,,,,,,,,
Spoleto,Main Terminal,restaurant,,,italian,,,,,,,,,,,
Starbucks Coffee,Main Terminal,cafe,,,coffee_shop,,,,,,24h,,,Starbucks,,
Subway,Main Terminal,fast_food,,,,,,,,,,,,Subway,,
TGI Fridays,Main Terminal,restaurant,,,,,,,,,,,,TGI Friday's,,
Travel Market,Main Terminal,cafe,,,,,,,,,,,,,,
Upper Crust,Main Terminal,cafe,,,,,,,,,24h,,,,,
Ventana Fresh,Main Terminal,cafe,,,,,,,,,,,,,,
