name,terminal,amenity_type,airside,floor_level,cuisine,lat,lon,address,phone,website,opening_hours,wheelchair,takeaway,brand,osm_id,osm_type
Caffe Nero,Terminal 2,,,,,,,,,,,,,,,
Jones the Grocer,Terminal 2,restaurant,,5,,51.4700001,-0.4483085,,,,,,,,4527208594,node
Le Cafe Louis Vuitton,Terminal 2,,,,,,,,,,,,,,,
LEON,Terminal 2,fast_food,,4,"burger, sandwich",51.4698996,-0.4482501,,,,,,yes,LEON,10289480205,node
London's Pride by Fullers,Terminal 2,pub,,5,,51.4692303,-0.4487541,,,https://www.londonspride.com/,,yes,,Fuller's,4527208488,node
Pret a Manger,Terminal 2,,,,,,,,,,,,,,,
Shan Shui,Terminal 2,restaurant,,5,chinese,51.4690902,-0.4482374,,,,,,,,4527208485,node
Starbucks,Terminal 2,,,,,,,,,,,,,,,
The Queen's Arms,Terminal 2,pub,,5,,51.4689781,-0.4511445,TW6 1EW,,,,,,Fuller's,4525422451,node
The Vinery,Terminal 2,restaurant,,4,,51.4696725,-0.4482408,,,,,,,,4527215251,node
YO!,Terminal 2,,,,,,,,,,,,,,,
Aura Bar,Terminal 3,,,,,,,,,,,,,,,
Black Sheep Coffee,Terminal 3,,,,,,,,,,,,,,,
Caffe Nero,Terminal 3,,,,,,,,,,,,,,,
Giraffe,Terminal 3,restaurant,,0,,51.4714862,-0.4584872,,,,,,,,435056791,way
Pret a Manger,Terminal 3,,,,,,,,,,,,,,,
The Curator,Terminal 3,pub,,,,51.4706338,-0.458597,,,,,,,,394223353,way
The Evergreen Bar and Restaurant,Terminal 3,restaurant,,,,51.470537,-0.4597624,,,,,,,,394223373,way
The Oceanic,Terminal 3,,,,,,,,,,,,,,,
YO!,Terminal 3,restaurant,,,sushi,51.4706649,-0.4587789,,,https://yosushi.com/restaurants/heathrow-t3,,yes,,YO! Sushi,394223392,way
Co-Pilots,Terminal 4,,,,,,,,,,,,,,,
Costa,Terminal 4,cafe,,,,51.4593838,-0.4466366,,,,,,,,13250033501,node
Pret a Manger,Terminal 4,,,,,,,,,,,,,,,
Star Light,Terminal 4,restaurant,,,,51.4613965,-0.4455402,,,,,,,Wetherspoon,358385140,way
Wafflemeister,Terminal 4,,,,,,,,,,,,,,,
Wild Olive,Terminal 4,restaurant,,,,51.4593388,-0.4483083,,,,,,,,12997262848,node
YO!,Terminal 4,fast_food,,,sushi,51.4610497,-0.4462924,,,,,,yes,,358379518,way
Caffe Nero,Terminal 5,,,,,,,,,,,,,,,
Five Guys,Terminal 5,fast_food,True,3,burger,51.4730962,-0.4874057,,,,,,yes,Five Guys,13538554315,node
Fortnum & Mason Bar,Terminal 5,bar,,2,,51.4705781,-0.4877842,,,,,,,,438299680,way
Giraffe,Terminal 5,,,,,,,,,,,,,,,
Gordon Ramsay Plane Food Market,Terminal 5,restaurant,True,3,,51.4712606,-0.4870465,,,,,,,,438299684,way
itsu,Terminal 5,fast_food,,2,asian,51.4708581,-0.4870893,,,https://www.itsu.com/location/hounslow/heathrow-terminal-5/,,,yes,itsu,438299691,way
Pilots Bar and Kitchen,Terminal 5,,,,,,,,,,,,,,,
Pret a Manger,Terminal 5,fast_food,,2,sandwich,51.472423,-0.487465,"Terminal 5 Departures Level 1 (airside), Wellington Road, TW6 2GA",,,,yes,yes,Pret A Manger,438299699,way
Starbucks,Terminal 5,,,,,,,,,,,,,,,
The Crown Rivers Wetherspoon,Terminal 5,pub,,2,,51.4730756,-0.4878455,,,https://www.jdwetherspoon.com/pubs/all-pubs/england/middlesex/the-crown-rivers-after-security-terminal-5,,yes,,Wetherspoon,438299712,way
The Globe,Terminal 5,pub,,3,,51.4708919,-0.4885418,,,,,,,,438299710,way
wagamama,Terminal 5,restaurant,True,3,asian,51.4719425,-0.4870727,,,https://www.wagamama.com/restaurants/heathrow/heathrow-t5,,,,Wagamama,438299732,way
