name,terminal,amenity_type,airside,floor_level,cuisine,lat,lon,address,phone,website,opening_hours,wheelchair,takeaway,brand,osm_id,osm_type
2 Cafe,Terminal 1,cafe,Airside,L8,,,,,,,05:00-23:00,,,,,
A-1 Bakery Express,Terminal 1,bakery,Airside,,,,,,,,,,,,,
%Arabica,Terminal 1,cafe,Airside,L6,coffee_shop,,,,,,00:00-24:00,,,,,
Bari-Uma (霸嗎拉麵),Terminal 1,restaurant,Airside,L7,ramen,,,,,,00:00-24:00,,,,,
BOWL,Terminal 1,restaurant,Landside,L5,,,,,,,07:00-23:00,,,,,
Burger King,Terminal 1,fast_food,Airside,L6,burger,,,,,,06:30-23:00,,,Burger King,,
can.teen,Terminal 1,restaurant,Airside,L7,,,,,,,05:30-23:00,,,,,
Cha Chaan by KAM FAT CAFÉ 1986,Terminal 1,restaurant,Landside,L5,hong_kong,,,,,,07:00-23:00,,,,,
Chagee,Terminal 1,cafe,Airside,L6,tea,,,,,,07:00-23:00,,,,,
Chi Cha San Chen,Terminal 1,cafe,Airside,L6,tea,,,,,,07:00-23:00,,,,,
Crystal Jade La Mian Xiao Long Bao,Terminal 1,restaurant,Landside,L5,chinese,,,,,,07:00-23:30,,,,,
Cupping Room Coffee Roasters,Terminal 1,cafe,Airside,L7,coffee_shop,,,,,,06:00-23:00,,,,,
Duddell's,Terminal 1,restaurant,Airside,L7,chinese,,,,,,,,,,,
"Emmer Pizza, Bar & Cafe",Terminal 1,restaurant,Airside,L7,pizza,,,,,,07:00-01:30,,,,,
FINEPRINT,Terminal 1,cafe,Landside,L5,coffee_shop,,,,,,06:00-23:00,,,,,
GELATO COMBO,Terminal 1,cafe,Airside,L6,ice_cream,,,,,,07:00-23:00,,,,,
GODIVA Café,Terminal 1,cafe,Airside,L7,,,,,,,07:00-24:00,,,Godiva,,
Gordon Ramsay Plane Food To Go,Terminal 1,restaurant,Airside,L7,,,,,,,00:00-24:00,,,,,
Gourmet Focus Group,Terminal 1,restaurant,Airside,L6,,,,,,,07:00-21:00,,,,,
hana-musubi,Terminal 1,restaurant,Landside,L5,japanese,,,,,,07:00-23:00,,,,,
Ho Fan Ho Sung,Terminal 1,restaurant,Landside,L3,chinese,,,,,,07:00-23:00,,,,,
Ho Hung Kee,Terminal 1,restaurant,Landside,L5,chinese,,,,,,07:00-23:30,,,,,
Hung's Delicacies,Terminal 1,restaurant,Landside,L5,chinese,,,,,,00:00-24:00,,,,,
HUNG FOOK TONG,Terminal 1,cafe,Airside,L7,,,,,,,00:00-24:00,,,,,
INTERVALS Sky Bar & Restaurant,Terminal 1,restaurant,Airside,L9,,,,,,,07:00-02:00,,,,,
Jardin de Jade,Terminal 1,restaurant,Airside,L7,chinese,,,,,,07:00-23:30,,,,,
Jollibee,Terminal 1,fast_food,Airside,L7,,,,,,,00:00-24:00,,,Jollibee,,
Joy Full House,Terminal 1,restaurant,Airside,L7,chinese,,,,,,00:00-24:00,,,,,
KING BAKERY,Terminal 1,bakery,Airside,L6,,,,,,,06:00-00:00,,,,,
Konjiki Hototogisu,Terminal 1,restaurant,Landside,L5,ramen,,,,,,07:00-23:00,,,,,
Lady M New York,Terminal 1,cafe,Airside,L7,,,,,,,07:00-23:00,,,Lady M,,
Lime Garden (Sky)+,Terminal 1,restaurant,Airside,L8,,,,,,,06:30-00:30,,,,,
Luckin Coffee,Terminal 1,cafe,Landside,L3,coffee_shop,,,,,,07:00-23:00,,,Luckin Coffee,,
Master Hung,Terminal 1,restaurant,Airside,L6,chinese,,,,,,07:00-21:00,,,,,
McDonald's & McCafé,Terminal 1,fast_food,Airside,,burger,,,,,,,,,McDonald's,,
Men Wah Bing Teng,Terminal 1,cafe,Airside,L6,hong_kong,,,,,,00:00-24:00,,,,,
Milk Cafe,Terminal 1,cafe,Airside,L7,,,,,,,00:00-24:00,,,,,
Nap Tea,Terminal 1,cafe,Airside,L7,tea,,,,,,06:00-23:00,,,,,
Nippon Ramen,Terminal 1,restaurant,Airside,L6,ramen,,,,,,07:00-23:00,,,,,
nodi,Midfield Concourse,cafe,Airside,L6,,,,,,,07:00-23:00,,,,,
nodi | Moleskine,Terminal 1,cafe,Airside,L6,,,,,,,07:00-23:00,,,,,
NUTTEA,Terminal 1,cafe,Landside,L5,tea,,,,,,07:00-23:00,,,,,
OldTown White Coffee,Terminal 1,cafe,Airside,L6,coffee_shop,,,,,,07:00-23:00,,,,,
One Minute Gourmet,Terminal 1,fast_food,Airside,,,,,,,,,,,,,
Orchid Padaria Café Express,Terminal 1,cafe,Landside,L3,,,,,,,07:00-23:00,,,,,
Popeyes Louisiana Kitchen,Terminal 1,fast_food,Airside,L6,chicken,,,,,,07:00-21:00,,,Popeyes,,
THE ALCHEMIST CAFE,Terminal 1,cafe,Landside,L5,,,,,,,06:00-24:00,,,,,
The Forest Bakery,Terminal 1,bakery,Airside,L7,,,,,,,07:00-23:00,,,,,
Tong Kee Bao Dim,Terminal 1,restaurant,Landside,L3,dim_sum,,,,,,07:00-23:00,,,,,
Ufufu Cafe,Terminal 1,cafe,Airside,L7,japanese,,,,,,00:00-24:00,,,,,
Urban Coffee Roaster,Terminal 1,cafe,Airside,L6,coffee_shop,,,,,,06:00-23:00,,,,,
Yukimura,Terminal 1,restaurant,Airside,L7,japanese,,,,,,00:00-24:00,,,,,
Yung Kee,Terminal 1,restaurant,Airside,L6,chinese,,,,,,12:00-22:00,,,,,
Ajisen Ramen,Midfield Concourse,restaurant,Airside,L6,ramen,,,,,,07:00-23:00,,,Ajisen Ramen,,
