name,terminal,amenity_type,airside,floor_level,cuisine,lat,lon,address,phone,website,opening_hours,wheelchair,takeaway,brand,osm_id,osm_type
STARBUCKS COFFEE 1F South Shop,Terminal 1,cafe,Landside,1F,coffee_shop,,,,,,06:30-22:30,,,Starbucks,,
Doutor Coffee Shop,Terminal 1,cafe,Landside,1F,coffee_shop,,,,,,06:30-22:30,,,,,
San Marco Curry,Terminal 1,restaurant,Landside,2F,curry,,,,,,07:00-22:00,,,,,
McDonald's,Terminal 1,fast_food,Landside,2F,burger,,,,,,24/7,,,McDonald's,,
Homemade Udon KINEYA MUGIMARU,Terminal 1,restaurant,Landside,2F,japanese,,,,,,07:00-22:00,,,,,
TAKOMASA,Terminal 1,restaurant,Landside,2F,japanese,,,,,,07:00-22:00,,,,,
maidoookinishokudo kankushokudo,Terminal 1,restaurant,Landside,2F,japanese,,,,,,07:00-22:00,,,,,
DOTONBORIKAMUKURA,Terminal 1,restaurant,Landside,2F,japanese,,,,,,07:00-22:00,,,,,
OSAKA TENMA SUSHI NISHIYA,Terminal 1,restaurant,Landside,2F,japanese,,,,,,07:00-22:00,,,,,
GENKI SHOUTEN,Terminal 1,restaurant,Landside,2F,,,,,,,07:00-22:00,,,,,
SOJIBO,Terminal 1,restaurant,Landside,2F,japanese,,,,,,07:00-22:00,,,,,
COLOSSEO,Terminal 1,restaurant,Landside,2F,italian,,,,,,07:00-22:00,,,,,
STARBUCKS COFFEE 2F Shop,Terminal 1,cafe,Landside,2F,coffee_shop,,,,,,07:00-22:00,,,Starbucks,,
SUKIYA,Terminal 1,restaurant,Landside,2F,japanese,,,,,,23H (closed 03:00-04:00),,,,,
551HORAI,Terminal 1,restaurant,Landside,2F,chinese,,,,,,07:00-22:00,,,,,
TONKATSU WAKO KEITEI,Terminal 1,restaurant,Landside,2F,japanese,,,,,,07:00-22:00,,,,,
LE PAN Kobe Kitano,Terminal 1,cafe,Landside,2F,,,,,,,06:30-22:00,,,,,
Kanekohannosuke,Terminal 1,restaurant,Landside,2F,japanese,,,,,,07:00-22:00,,,,,
KIEFEL,Terminal 1,restaurant,Airside,2F International,,,,,,,08:00-22:00,,,,,
MUSUBIYA HINONE MIZUNONE,Terminal 1,restaurant,Airside,2F International,japanese,,,,,,08:00-22:00,,,,,
ESPRESSO & BAKERY,Terminal 1,cafe,Airside,2F International,,,,,,,08:00-23:00,,,,,
È PRONTO,Terminal 1,cafe,Airside,2F International,,,,,,,08:00-23:00,,,,,
OnigiriBurger,Terminal 1,fast_food,Airside,2F International,japanese,,,,,,06:30-24:15,,,,,
KIX BEER,Terminal 1,cafe,Airside,2F International,,,,,,,06:30-24:15,,,,,
☆Soup,Terminal 1,restaurant,Airside,2F International,,,,,,,06:30-24:15,,,,,
SEGAFREDO CAFFE,Terminal 1,cafe,Airside,2F International,coffee_shop,,,,,,06:30-24:15,,,,,
Tsukiji Magoemon,Terminal 1,restaurant,Airside,2F International,japanese,,,,,,06:30-24:15,,,,,
JAPANESE RESTAURANT,Terminal 1,restaurant,Airside,2F International,japanese,,,,,,06:30-24:15,,,,,
Cafe & Bar 和 SAKURA,Terminal 1,cafe,Airside,2F International,,,,,,,06:30-24:15,,,,,
PRONTO TERMINAL 1,Terminal 1,cafe,Airside,2F International,,,,,,,06:30-24:15,,,,,
MENSHO,Terminal 1,restaurant,Airside,2F International,ramen,,,,,,06:30-24:15,,,,,
SUSHI OTAKU,Terminal 1,restaurant,Airside,2F International,japanese,,,,,,08:00-18:00,,,,,
Café DIOR by Anne-Sophie Pic,Terminal 1,cafe,Airside,2F International,,,,,,,08:00-20:00,,,,,
SAINT MARC CAFÉ,Terminal 1,cafe,Airside,2F Domestic,,,,,,,05:30-21:10,,,,,
BOTEJYU 1946,Terminal 1,restaurant,Airside,2F Domestic,japanese,,,,,,05:30-21:30,,,,,
Japan Traveling Restaurant by BOTEJYU,Terminal 1,restaurant,Airside,2F Domestic,japanese,,,,,,05:30-21:30,,,,,
PRONTO,Terminal 2,cafe,Landside,1F,,,,,,,06:00-22:30,,,,,
COCO'S Airport Dining,Terminal 2,restaurant,Landside,1F,,,,,,,04:00-26:00,,,,,
nana's green tea,Terminal 2,cafe,Airside,1F International,japanese,,,,,,05:30-22:05,,,,,
Osaka Gochi Shokudou,Terminal 2,restaurant,Airside,1F International,japanese,,,,,,05:30-22:25,,,,,
Azusa Coffee,Terminal 2,cafe,Airside,1F Domestic,coffee_shop,,,,,,05:30-19:20,,,,,
Kagonoya,Terminal 2,restaurant,Airside,1F Domestic,japanese,,,,,,05:30-19:20,,,,,
The Brasserie,Aeroplaza,restaurant,Landside,2F,,,,,,,05:45-22:00,,,,,
PRONTO,Aeroplaza,cafe,Landside,2F,,,,,,,07:00-20:00,,,,,
Hanazato,Aeroplaza,restaurant,Landside,2F,japanese,,,,,,11:30-21:00,,,,,
Toh-Lee,Aeroplaza,restaurant,Landside,2F,chinese,,,,,,11:30-21:00,,,,,
ZETTERIA,Aeroplaza,fast_food,Landside,2F,,,,,,,24/7,,,,,
NAKAU,Aeroplaza,restaurant,Landside,3F,japanese,,,,,,24/7,,,,,
Olive Hill,Aeroplaza,restaurant,Landside,3F,,,,,,,09:00-23:00,,,,,
Ryu-ka Seian Toushomen,Aeroplaza,restaurant,Landside,3F,chinese,,,,,,10:00-23:00,,,,,
