name,terminal,amenity_type,airside,floor_level,cuisine,lat,lon,address,phone,website,opening_hours,wheelchair,takeaway,brand,osm_id,osm_type
Chef Wan Petite,Main Terminal Building,restaurant,Airside,L05,,,,"MAIN TERMINAL BUILDING, MTB-5-L05",,,,,,,,
Din Tai Fung,Main Terminal Building,restaurant,Airside,L12,,,,"MAIN TERMINAL BUILDING, MTB-5-L12",,,,,,Din Tai Fung,,
Flight Club,Contact Pier International,restaurant,Airside,,,,,"CONTACT PIER INTERNATIONAL, CPI-4-A04",,,,,,,,
Flight Club Signature,Satellite Building,restaurant,Airside,,,,,"SATELLITE BUILDING MEZZANINE, SAT-M-A23",,,,,,,,
Grandmamas,Satellite Building,restaurant,Airside,,,,,"SATELLITE BUILDING MEZZANINE, SAT-M-A02",,,,,,,,
Hard Rock Cafe,Satellite Building,restaurant,Airside,,,,,"SATELLITE BUILDING MEZZANINE, SAT-M-A03",,,,,,Hard Rock Cafe,,
Jamie Oliver Pizzeria,Main Terminal Building,restaurant,Airside,L33,,,,"MAIN TERMINAL BUILDING, MTB-5-L33",,,,,,Jamie Oliver,,
Jibby Chow,Satellite Building,restaurant,Airside,,,,,"SATELLITE BUILDING MEZZANINE, SAT-M-A05",,,,,,,,
Kitchen Open House,Main Terminal Building,restaurant,Airside,L32,,,,"MAIN TERMINAL BUILDING, MTB-5-L32",,,,,,,,
Kyochon,Main Terminal Building,restaurant,Airside,L24,,,,"MAIN TERMINAL BUILDING, MTB-5-L24",,,,,,Kyochon,,
Nooodles,Satellite Building,restaurant,Airside,,,,,"SATELLITE BUILDING MEZZANINE, SAT-M-A01",,,,,,,,
Noooodle,Main Terminal Building,restaurant,Airside,L27,,,,"MAIN TERMINAL BUILDING, MTB-5-L27",,,,,,,,
ORIENTAL KOPI,Main Terminal Building,restaurant,Airside,L24,,,,"MAIN TERMINAL BUILDING, MTB-5-L24",,,,,,,,
Serai,Satellite Building,restaurant,Airside,,,,,"SATELLITE BUILDING MEZZANINE, SAT-M-A04",,,,,,,,
Yakun Kaya Toast,Main Terminal Building,restaurant,Airside,L18,,,,"MAIN TERMINAL BUILDING, MTB-5-L18",,,,,,Ya Kun,,
ABC Kitchen,Main Terminal Building,cafe,Landside,L01,,,,"MAIN TERMINAL BUILDING, MTB-1-L01",,,,,,,,
ARABICA,Satellite Building,cafe,Airside,,,,,"SATELLITE BUILDING MEZZANINE, SAT-M-A15",,,,,,,,
Boost Juice,Satellite Building,cafe,Airside,,,,,"SATELLITE BUILDING MEZZANINE, SAT-M-A13",,,,,,Boost Juice,,
CBTL,Satellite Building,cafe,Airside,,,,,"SATELLITE BUILDING PASSENGER, SAT-P-A50",,,,,,Coffee Bean & Tea Leaf,,
Costa Coffee,Main Terminal Building,cafe,Airside,L01,,,,"MAIN TERMINAL BUILDING, MTB-5-L01",,,,,,Costa Coffee,,
Gloria Jeans,Main Terminal Building,cafe,Landside,L21,,,,"Main Terminal Building, MTB-3-L21",,,,,,Gloria Jean's,,
Illy Cafe,Satellite Building,cafe,Airside,,,,,"SATELLITE BUILDING PASSENGER, SAT-P-A52",,,,,,illy,,
O'briens,Satellite Building,cafe,Airside,,,,,"SATELLITE BUILDING PASSENGER, SAT-P-A51",,,,,,,,
Paul Le Cafe,Satellite Building,cafe,Airside,,,,,"SATELLITE BUILDING MEZZANINE, SAT-M-A17",,,,,,Paul,,
Sense of Malaysia - Kueh Kita,Satellite Building,cafe,Airside,,,,,"SATELLITE BUILDING PASSENGER, SAT-P-A11",,,,,,,,
Singgah,Contact Pier Domestic,cafe,Airside,,,,,"CONTACT PIER DOMESTIC, CPD-3-A01",,,,,,,,
Starbucks,Satellite Building,cafe,Airside,,,,,"SATELLITE BUILDING MEZZANINE, SAT-M-A20",,,,,,Starbucks,,
Starbucks,Contact Pier International,cafe,Airside,,,,,"CONTACT PIER INTERNATIONAL, CPI-4-A03",,,,,,Starbucks,,
The Coffee Beans,Main Terminal Building,cafe,Landside,L12,,,,"MAIN TERMINAL BUILDING, MTB-3-L12",,,,,,,,
The Loaf,Satellite Building,cafe,Airside,,,,,"SATELLITE BUILDING MEZZANINE, SAT-M-A11",,,,,,,,
ZUS COFFEE,Contact Pier Domestic,cafe,Airside,,,,,"CONTACT PIER DOMESTIC, CPD-3-A06",,,,,,Zus Coffee,,
Burger King,Main Terminal Building,fast_food,Airside,L01,,,,MTB-4-L01,,,,,,Burger King,,
Burger King,Contact Pier Domestic,fast_food,Airside,,,,,"CONTACT PIER DOMESTIC, CPD-3-A04",,,,,,Burger King,,
Burger King,Satellite Building,fast_food,Airside,,,,,"SATELLITE BUILDING MEZZANINE, SAT-M-A08",,,,,,Burger King,,
KFC,Main Terminal Building,fast_food,,,,,,VD-5-L02,,,,,,KFC,,
McCafé,Main Terminal Building,cafe,Airside,L29,,,,"MAIN TERMINAL BUILDING, MTB-5-L29",,,,,,McDonald's,,
McDonald's,Main Terminal Building,fast_food,,,,,,VD-5-L01,,,,,,McDonald's,,
Taco Bell,Main Terminal Building,fast_food,Airside,L33,,,,"MAIN TERMINAL BUILDING, MTB-5-L33",,,,,,Taco Bell,,
Hard Rock Cafe,Satellite Building,bar,Airside,,,,,"SATELLITE BUILDING MEZZANINE, SAT-M-A16",,,,,,Hard Rock Cafe,,
Food Garden,Main Terminal Building,restaurant,Landside,L03,,,,"MAIN TERMINAL BUILDING, MTB-2-L03",,,,,,,,
Avian Grab & Fly,Main Terminal Building,fast_food,Airside,L26,,,,"MAIN TERMINAL BUILDING, MTB-5-L26",,,,,,,,
Boost Juice Bar,Satellite Building,cafe,Airside,,,,,"SATELLITE BUILDING MEZZANINE, SAT-M-A13",,,,,,Boost Juice,,
