name,terminal,concourse,airside,gate,address,phone,website,cuisine,categories,description,opening_hours,wheelchair,takeaway,halal,vegetarian_options,vegan_options,verified_status,osm_id,logo_url
Moe's Southwest Grill,Terminal 1,Concourse A,Airside,A15,Near Gate A15 • After Security,,,"Mexican, Latin American",,"Moe's Southwest Grill is an American fast-casual Mexican chain known for its 'Welcome to Moe's!' greeting, customisable burritos, and free chips and salsa with every order.",,,,,,,OPEN — on official Harry Reid Airport website,,https://img.logo.dev/moes.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Dunkin',Terminal 1,Concourse A,Airside,A7,Near Gate A7 • After Security,,,"Café, Bakery",,"Dunkin' is one of the world's largest coffee and baked goods chains, serving freshly brewed coffee, espresso drinks, and a wide variety of donuts and sandwiches.",,,,,,,OPEN — on official Harry Reid Airport website,,https://img.logo.dev/dunkindonuts.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
The B Lounge,Terminal 1,Concourse A,Airside,A7,Near Gate A7 • After Security,,,Bar,,"A lounge bar serving cocktails, wines, and light snacks in a comfortable airport lounge setting.",,,,,,,OPEN — on official Harry Reid Airport website,,https://img.logo.dev/theblounge.co.uk?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Snack Shack,Terminal 1,,Landside,,24/7 open,,,Grab & Go,,"A casual snack counter serving hot dogs, nachos, and other quick concession-style snacks.",,,,,,,OPEN — on official Harry Reid Airport website,,
Port of Subs/Mrs. Fields,Terminal 1,Concourse B,Airside,B25,Near Gate B25 • After Security,,,"Sandwiches & Deli, Bakery",,"A combined sub sandwich and Mrs. Fields cookie concept, serving fresh submarine sandwiches alongside the iconic cookie brand.",,,,,,,OPEN — on official Harry Reid Airport website,,
Starbucks,Terminal 1,Concourse B,Airside,B17,Near Gate B17 • After Security,,,Café,,"Starbucks is the world's largest coffeehouse chain, offering handcrafted espresso beverages, Frappuccinos, teas, and seasonal drinks alongside food items and merchandise.",,,,,,,OPEN — on official Harry Reid Airport website,,https://img.logo.dev/starbucks.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Fresh Attractions,Terminal 1,,Landside,,24/7 open,,,"Café, Grab & Go",,"Fresh Attractions is an airport food concept offering freshly prepared, attractively presented meals and snacks for travellers.",,,,,,,OPEN — on official Harry Reid Airport website,,
Tacos Locos,Terminal 1,Concourse B,Airside,B15,Near Gate B15 • After Security,,,"Mexican, Latin American",,A Mexican taco stand serving a variety of classic and creative street-style tacos with fresh ingredients.,,,,,,,OPEN — on official Harry Reid Airport website,,https://img.logo.dev/tacoslocos.co.uk?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Einstein Bros. Bagels,Terminal 1,Concourse B,Airside,B9,Near Gate B9 • After Security,,,"Sandwiches & Deli, Café",,"Einstein Bros. Bagels is an American bakery café chain offering a wide variety of freshly baked bagels, schmears, egg sandwiches, and specialty coffees.",,,,,,,OPEN — on official Harry Reid Airport website,,https://img.logo.dev/einsteinbros.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Barney's Lounge,Terminal 1,Concourse C,Airside,C25,Near Gate C25 • After Security,,,Bar,,"A classic airport lounge bar serving cocktails, beers, and light snacks in a casual setting.",,,,,,,OPEN — on official Harry Reid Airport website,,
Jamba Juice,Terminal 1,Concourse C,Airside,C25,Near Gate C25 • After Security,,,"Healthy, Desserts",,"Jamba is an American smoothie and juice chain offering a wide range of blended fruit and vegetable smoothies, freshly squeezed juices, and health-boosting bowls.",,,,,,,OPEN — on official Harry Reid Airport website,,https://img.logo.dev/jamba.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
The Coffee Bean & Tea Leaf,Terminal 1,Concourse C,Airside,C25,Near Gate C25 • After Security,,,Café,,"The Coffee Bean & Tea Leaf is an American specialty coffee and tea chain founded in Los Angeles, known for its Original Ice Blended drinks and wide tea selection.",,,,,,,OPEN — on official Harry Reid Airport website,,https://img.logo.dev/coffeebean.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Sammy's Beach Bar & Grill,Terminal 1,Concourse C,Airside,C24,Near Gate C24 • After Security,,,American,,"A beach-themed bar and grill serving tropical cocktails, fish tacos, burgers, and casual American beach food.",,,,,,,OPEN — on official Harry Reid Airport website,,
Villa Fresh Italian Kitchen,Terminal 1,Concourse C,Airside,C23,Near Gate C23 • After Security,,,Italian,,"An Italian fast-casual restaurant serving pizza by the slice, pasta dishes, and Italian-inspired salads.",,,,,,,OPEN — on official Harry Reid Airport website,,https://img.logo.dev/villafreshitaliankitchen.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
