name,terminal,amenity_type,airside,floor_level,cuisine,lat,lon,address,phone,website,opening_hours,wheelchair,takeaway,brand,osm_id,osm_type
Bodegon,Main Terminal,restaurant,,Marketplace Nacional,,,,,,,,,,,,
Burger Boy,Main Terminal,fast_food,,Marketplace Internacional,burger,,,,,,,,,,,
Callao,Main Terminal,restaurant,,Marketplace Internacional,,,,,,,,,,,,
Chinawok,Main Terminal,restaurant,,Marketplace Nacional,chinese,,,,,,,,,,,
Copper,Main Terminal,restaurant,,Marketplace Internacional,,,,,,,,,,,,
Delicass,Main Terminal,restaurant,,Perú Plaza,,,,,,,,,,,,
Dunkin Donuts,Main Terminal,fast_food,,Marketplace Nacional,donut,,,,,,,,,Dunkin',,
Dunkin Donuts,Main Terminal,fast_food,,Zona Pública,donut,,,,,,,,,Dunkin',,
KFC,Main Terminal,fast_food,,Marketplace Nacional,burger,,,,,,,,,KFC,,
KO,Main Terminal,restaurant,,Marketplace Internacional,,,,,,,,,,,,
La Bonbonniere,Main Terminal,cafe,,Marketplace Internacional,,,,,,,,,,,,
La Lucha,Main Terminal,restaurant,,Marketplace Internacional,,,,,,,,,,,,
Las Reyes,Main Terminal,restaurant,,Marketplace Internacional,,,,,,,,,,,,
Las Reyes Swing,Main Terminal,restaurant,,Dique Swing,,,,,,,,,,,,
Listo,Main Terminal,restaurant,,Zona Llegadas,,,,,,,,,,,,
McDonald's,Main Terminal,fast_food,,Marketplace Nacional,burger,,,,,,,,,McDonald's,,
McDonald's,Main Terminal,fast_food,,Exteriores Primer Piso,burger,,,,,,,,,McDonald's,,
Natoo,Main Terminal,restaurant,,Zona Internacional,,,,,,,,,,,,
Pan Sal Aire,Main Terminal,restaurant,,Marketplace Nacional,,,,,,,,,,,,
Papacho's,Main Terminal,restaurant,,Marketplace Nacional,burger,,,,,,,,,,,
Pardos Chicken,Main Terminal,restaurant,,Marketplace Nacional,chicken,,,,,,,,,,,
Perusuyo,Main Terminal,restaurant,,Zona Check-In,peruvian,,,,,,,,,,,
Pizza Hut,Main Terminal,fast_food,,Marketplace Nacional,pizza,,,,,,,,,Pizza Hut,,
Puku Puku,Main Terminal,restaurant,,Marketplace Nacional,,,,,,,,,,,,
Sakamoto,Main Terminal,restaurant,,Marketplace Nacional,japanese,,,,,,,,,,,
Starbucks,Main Terminal,cafe,,Marketplace Internacional,coffee_shop,,,,,,,,,Starbucks,,
Starbucks,Main Terminal,cafe,,Marketplace Nacional,coffee_shop,,,,,,,,,Starbucks,,
Starbucks,Main Terminal,cafe,,Perú Plaza,coffee_shop,,,,,,,,,Starbucks,,
Starbucks,Main Terminal,cafe,,Exteriores Primer Piso,coffee_shop,,,,,,,,,Starbucks,,
Tanta,Main Terminal,restaurant,,Marketplace Nacional,peruvian,,,,,,,,,,,
Tanta To Go,Main Terminal,fast_food,,Marketplace Nacional,peruvian,,,,,,,,,,,
TGI Fridays,Main Terminal,restaurant,,Marketplace Nacional,,,,,,,,,,TGI Fridays,,
TGI Fridays,Main Terminal,restaurant,,Marketplace Internacional,,,,,,,,,,TGI Fridays,,
Tori,Main Terminal,restaurant,,Marketplace Internacional,,,,,,,,,,,,
Wok to Gate,Main Terminal,restaurant,,Zona Internacional,asian,,,,,,,,,,,
