name,terminal,airside,categories,lat,lon,phone,website,opening_hours,floor_level,wheelchair,takeaway,description,verified_status,osm_id,cuisine,logo_url
Costa Coffee,Terminal 2,Landside,Coffee,,,,,,,,,"Costa Coffee is a British multinational coffeehouse chain, the UK's largest, serving handcrafted coffees, teas, and food in a warm and welcoming atmosphere.",OPEN — on official MAN website,,Café,https://img.logo.dev/costa.co.uk?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Greggs,Terminal 2,Landside,"Fast Food, Coffee",,,,,,,,,"Greggs is Britain's largest bakery chain, beloved for its sausage rolls, steak bakes, and freshly filled sandwiches at accessible prices across the UK.",OPEN — on official MAN website,,Bakery,https://img.logo.dev/greggs.co.uk?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
KFC,Terminal 2,Landside,Fast Food,,,,,,,,,"KFC (Kentucky Fried Chicken) is a global fast food chain founded by Colonel Harland Sanders, famous for its original recipe fried chicken seasoned with 11 herbs and spices.",OPEN — on official MAN website,,"Fast Food, Steak, Grill Chicken & BBQ",https://img.logo.dev/kfc.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Pret A Manger,Terminal 2,Landside,"Coffee, Fast Food",,,,,,,,,"Pret A Manger is a British-born multinational sandwich and café chain known for its freshly made, handcrafted sandwiches, salads, and organic coffees.",OPEN — on official MAN website,,"Sandwiches & Deli, Café",https://img.logo.dev/pret.co.uk?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Starbucks,Terminal 2,Landside,Coffee,,,,,,,,,"Starbucks is the world's largest coffeehouse chain, offering handcrafted espresso beverages, Frappuccinos, teas, and seasonal drinks alongside food items and merchandise.",OPEN — on official MAN website,,Café,https://img.logo.dev/starbucks.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Wrapchic,Terminal 2,Landside,"Fast Food, Restaurant",,,,,,,,,"Wrapchic is a UK fast-casual chain fusing Indian flavours with Mexican formats, serving burritos, tacos, and wraps filled with tikka masala, dal, and Indian-spiced fillings.",OPEN — on official MAN website,,"Indian & South Asian, Latin American, Mexican",https://img.logo.dev/wrapchic.co.uk?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Amber Alehouse,Terminal 2,Airside,"Bar, Pub",,,,https://www.manchesterairport.co.uk/at-the-airport/restaurants/amber-alehouse/,,,,,"A Northern English-themed ale house serving a range of real ales, craft beers, and classic British pub food.",OPEN — on official MAN website,,Bar,
Apiary,Terminal 2,Airside,"Bar, Restaurant",,,,,,,,,"A modern British cafe and restaurant serving artisan sandwiches, seasonal salads, and specialty coffee in a bee-themed setting.",OPEN — on official MAN website,,Café,
Archie's,Terminal 2,Airside,"Restaurant, Fast Food",,,,,,,,,"A Manchester-born burger and milkshake restaurant serving gourmet burgers, loaded fries, and thick ice cream milkshakes.",OPEN — on official MAN website,,Burgers,
Barburrito,Terminal 2,Airside,"Restaurant, Fast Food",,,,,,,,,"Barburrito is a UK-based fast-casual Mexican chain specialising in freshly made burritos, tacos, and bowls with bold flavours and customisable fillings.",OPEN — on official MAN website,,"Mexican, Latin American",https://img.logo.dev/barburrito.ca?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Costa Coffee,Terminal 2,Airside,Coffee,,,,,,,,,"Costa Coffee is a British multinational coffeehouse chain, the UK's largest, serving handcrafted coffees, teas, and food in a warm and welcoming atmosphere.",OPEN — on official MAN website,,Café,https://img.logo.dev/costa.co.uk?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Fever-Tree Cocktail & Champagne Bar,Terminal 2,Airside,Bar,,,,,,,,,"A stylish cocktail and champagne bar sponsored by Fever-Tree mixers, serving G&Ts, cocktails, and sparkling wines.",OPEN — on official MAN website,,Bar,
Giraffe World Kitchen,Terminal 2,Airside,Restaurant,,,,,,,,,"Giraffe World Kitchen is a British casual dining chain offering a globally inspired menu of dishes from around the world in a fun, vibrant, family-friendly atmosphere.",OPEN — on official MAN website,,"American, International",https://img.logo.dev/giraffe.net?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Great Northern Market,Terminal 2,Airside,"Food Hall, Restaurant",,,,https://www.manchesterairport.co.uk/at-the-airport/restaurants/great-northern-market/,,,,,A Northern England-themed food market concept featuring multiple food vendors serving British and international street food.,OPEN — on official MAN website,,Grab & Go,
Grindsmith,Terminal 2,Airside,Coffee,,,,,,,,,"A Manchester-born specialty coffee roaster serving precision-crafted espresso drinks, cold brew, and artisan pastries.",OPEN — on official MAN website,,Café,https://img.logo.dev/grindsmith.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Joe and the Juice,Terminal 2,Airside,"Coffee, Fast Food",,,,https://www.manchesterairport.co.uk/at-the-airport/restaurants/joe-the-juice/,,,,,"Joe and the Juice is a Danish lifestyle café chain serving freshly made juices, shakes, and specialty coffees in a vibrant, music-forward atmosphere with a focus on health.",OPEN — on official MAN website,,"Café, Healthy",https://img.logo.dev/joejuice.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
KFC,Terminal 2,Airside,Fast Food,,,,,,,,,"KFC (Kentucky Fried Chicken) is a global fast food chain founded by Colonel Harland Sanders, famous for its original recipe fried chicken seasoned with 11 herbs and spices.",OPEN — on official MAN website,,"Fast Food, Steak, Grill Chicken & BBQ",https://img.logo.dev/kfc.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Pasta Evangelists,Terminal 2,Airside,Restaurant,,,,,,,,,A premium fresh pasta brand serving handmade Italian pasta with artisan sauces — from Carbonara to Cacio e Pepe.,OPEN — on official MAN website,,Italian,https://img.logo.dev/pastaevangelists.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Pot Kettle Black,Terminal 2,Airside,Coffee,,,,,,,,,A Manchester specialty coffee shop known for exceptional espresso and brunch dishes including smashed avocado and egg dishes.,OPEN — on official MAN website,,Café,https://img.logo.dev/potkettleblackltd.co.uk?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Pret A Manger,Terminal 2,Airside,"Coffee, Fast Food",,,,,,,,,"Pret A Manger is a British-born multinational sandwich and café chain known for its freshly made, handcrafted sandwiches, salads, and organic coffees.",OPEN — on official MAN website,,"Sandwiches & Deli, Café",https://img.logo.dev/pret.co.uk?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
San Carlo,Terminal 2,Airside,Restaurant,,,,https://www.manchesterairport.co.uk/at-the-airport/restaurants/san-carlo/,,,,,"A Manchester Italian restaurant institution serving classic Italian dishes including wood-fired pizza, handmade pasta, and fresh seafood.",OPEN — on official MAN website,,Italian,https://img.logo.dev/sancarlo.co.uk?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
The Bridgewater Exchange,Terminal 2,Airside,"Bar, Pub",,,,https://www.manchesterairport.co.uk/at-the-airport/restaurants/bridgewater/,,,,,"A bar and restaurant in Manchester airport serving craft ales, cocktails, and classic British pub food.",OPEN — on official MAN website,,"Bar, Steak, Grill Chicken & BBQ",
The Evergreen Bar and Brasserie,Terminal 2,Airside,"Bar, Restaurant",,,,https://www.manchesterairport.co.uk/at-the-airport/restaurants/evergreen-bar-and-brasserie/,,,,,"A bar and brasserie serving international dishes, British comfort food, and a full range of cocktails and beers.",OPEN — on official MAN website,,Bar,
Upper Crust,Terminal 2,Airside,Fast Food,,,,,,,,,"Upper Crust is a British airport sandwich and food chain specialising in freshly filled baguettes, pastries, and hot drinks, found across UK and international airports.",OPEN — on official MAN website,,Sandwiches & Deli,https://img.logo.dev/uppercrust.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Costa Coffee,Terminal 3,Landside,Coffee,,,,,,,,,"Costa Coffee is a British multinational coffeehouse chain, the UK's largest, serving handcrafted coffees, teas, and food in a warm and welcoming atmosphere.",OPEN — on official MAN website,,Café,https://img.logo.dev/costa.co.uk?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
KFC,Terminal 3,Landside,Fast Food,,,,,,,,,"KFC (Kentucky Fried Chicken) is a global fast food chain founded by Colonel Harland Sanders, famous for its original recipe fried chicken seasoned with 11 herbs and spices.",OPEN — on official MAN website,,"Fast Food, Steak, Grill Chicken & BBQ",https://img.logo.dev/kfc.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Pret A Manger,Terminal 3,Landside,"Coffee, Fast Food",,,,,,,,,"Pret A Manger is a British-born multinational sandwich and café chain known for its freshly made, handcrafted sandwiches, salads, and organic coffees.",OPEN — on official MAN website,,"Sandwiches & Deli, Café",https://img.logo.dev/pret.co.uk?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
