name,terminal,amenity_type,airside,floor_level,cuisine,lat,lon,address,phone,website,opening_hours,wheelchair,takeaway,brand,osm_id,osm_type
AFL Kitchen & Bar,Main Terminal,bar,,,,,,,,,6AM-9PM,,,,,
Biggie Smalls,Main Terminal,cafe,,,,,,,,,5:30AM-8:30PM,,,,,
Brunetti Classico,Main Terminal,cafe,,,,,,,,,,,,,,
Grill'd Healthy Burgers,Main Terminal,fast_food,,,,,,,,,6:30AM-11PM,,,,,
Pickett's Deli & Rotisserie,Main Terminal,cafe,,,,,,,,,5:30AM-11PM,,,,,
Stomping Ground Brewery,Main Terminal,restaurant,,,,,,,,,6:30AM-8:30PM,,,,,
WH Smith Australia,Main Terminal,restaurant,,,,,,,,,,,,,,
Airo Restaurant - ParkRoyal,Main Terminal,bar,,,,,,,,,11:30AM-9:30PM,,,,,
Axil Coffee Roasters,Main Terminal,cafe,,,,,,,,,4:45AM-9PM,,,,,
Bà Xã,Main Terminal,restaurant,,,,,,,,,6AM-12AM,,,,,
Bar Pulpo by Movida,Main Terminal,bar,,,,,,,,,6AM-11:30PM,,,,,
Boccata Restaurant and Wine Bar,Main Terminal,restaurant,,,,,,,,,"5AM-9:30AM, 12PM-11PM, 5PM-10PM",,,,,
Boost Juice,Main Terminal,restaurant,,,,,,,,,,,,,,
Bridge Road Brewers,Main Terminal,cafe,,,,,,,,,6AM-9PM,,,,,
Cafe Sol,Main Terminal,cafe,,,,,,,,,2:30AM-10:30PM,,,,,
Coffee Capital,Main Terminal,cafe,,,,,,,,,5AM-10PM,,,,,
Croissant Lab,Main Terminal,cafe,,,,,,,,,4:30AM-12PM,,,,,
Daniel's Donuts,Main Terminal,cafe,,,,,,,,,4:30AM-10:30PM,,,,,
Dumpling Co,Main Terminal,restaurant,,,,,,,,,5AM-10PM,,,,,
EARL Canteen,Main Terminal,cafe,,,,,,,,,5:30AM-8:30PM,,,,,
Flat Chat Espresso & Bar,Main Terminal,cafe,,,,,,,,,6AM-5:30PM,,,,,
Go! Espresso and Bar,Main Terminal,cafe,,,,,,,,,6:30AM-8:30PM,,,,,
Gusto Pasta Bar,Main Terminal,fast_food,,,,,,,,,4AM-9PM,,,,,
Hanna's Cafe,Main Terminal,restaurant,,,,,,,,,6AM-5:30PM,,,,,
Hudsons Coffee,Main Terminal,cafe,,,,,,,,,OPEN 24 HOURS,,,,,
Hungry Jack's,Main Terminal,fast_food,,,,,,,,,,,,,,
Icons Victoria,Main Terminal,fast_food,,,,,,,,,4:30AM-9:30PM,,,,,
Little Lygon,Main Terminal,cafe,,,,,,,,,6AM-8PM,,,,,
Little Melbourne,Main Terminal,fast_food,,,,,,,,,5AM-10PM,,,,,
Liv Eat Healthy Eating,Main Terminal,fast_food,,,,,,,,,4:30AM-9:30PM,,,,,
McDonald's,Main Terminal,fast_food,,,,,,,,,,,,,,
Mezze Za Za,Main Terminal,restaurant,,,,,,,,,7AM-8:30PM,,,,,
Nathan Rd Asian Kitchen,Main Terminal,fast_food,,,,,,,,,6AM-9PM,,,,,
Noodles XO,Main Terminal,restaurant,,,,,,,,,5AM-10PM,,,,,
Nooodles,Main Terminal,restaurant,,,,,,,,,,,,,,
Pizza Al Taglio,Main Terminal,restaurant,,,,,,,,,12PM-8:30PM,,,,,
Quikshots,Main Terminal,cafe,,,,,,,,,4:30AM-8:30PM,,,,,
Roll'd Vietnamese,Main Terminal,restaurant,,,,,,,,,6AM-9PM,,,,,
Rustica,Main Terminal,cafe,,,,,,,,,4:30AM-7:30PM,,,,,
Salsas Fresh Mex,Main Terminal,fast_food,,,,,,,,,5:30AM-9PM,,,,,
Schnitz,Main Terminal,fast_food,,,,,,,,,5AM-10PM,,,,,
Small Holdings,Main Terminal,fast_food,,,,,,,,,6AM-3PM,,,,,
Soul Origin,Main Terminal,fast_food,,,,,,,,,4AM-10PM,,,,,
ST. ALi,Main Terminal,fast_food,,,,,,,,,,,,,,
Subway,Main Terminal,fast_food,,,,,,,,,4AM-11PM,,,,,
Sushi Jiro,Main Terminal,fast_food,,,,,,,,,,,,,,
Sushi Sushi,Main Terminal,fast_food,,,,,,,,,5AM-8PM,,,,,
The Cellar Bar & Bistro,Main Terminal,cafe,,,,,,,,,6AM-9PM,,,,,
The Chocolate Box,Main Terminal,restaurant,,,,,,,,,,,,,,
The Local Taphouse,Main Terminal,fast_food,,,,,,,,,6:30AM-8:30PM,,,,,
The Pelican,Main Terminal,bar,,,,,,,,,,,,,,
Think Asia,Main Terminal,fast_food,,,,,,,,,8AM-9:30PM,,,,,
Two Johns Taphouse,Main Terminal,bar,,,,,,,,,,,,,,
Urban Provodore,Main Terminal,fast_food,,,,,,,,,6AM-10PM,,,,,
Veneziano Coffee Roasters,Main Terminal,cafe,,,,,,,,,4:30AM-9PM,,,,,
Wine Selectors,Main Terminal,restaurant,,,,,,,,,9:30AM-9PM,,,,,
