"name","terminal","airside","address","phone","website","cuisine","categories","description","opening_hours","wheelchair","takeaway","halal","vegetarian_options","vegan_options","verified_status","osm_id"
"305 Pizza","North Terminal","Airside","North Terminal","","","","","Pizza, Panini and more.","7:00 AM – 10:00 PM","","","","","","OPEN — on official Miami MIA website",""
"Au Bon Pain","Central Terminal","Landside","Central Terminal","","","","","Soups, salads and handcrafted sandwiches made with fresh artisan breads.","","","","","","","OPEN — on official Miami MIA website",""
"Au Bon Pain","North Terminal","Landside","North Terminal","","","","","Soups, salads and handcrafted sandwiches made with fresh artisan breads.","","","","","","","OPEN — on official Miami MIA website",""
"Au Bon Pain","North Terminal","Landside","North Terminal","","","","","Soups, salads and handcrafted sandwiches made with fresh artisan breads.","","","","","","","OPEN — on official Miami MIA website",""
"Burger King","South Terminal","Airside","South Terminal","","","","","Home of the flame-grilled Whopper.","","","","","","","OPEN — on official Miami MIA website",""
"Burger King","Central Terminal","Landside","Central Terminal","","","","","Home of the flame-grilled Whopper.","","","","","","","OPEN — on official Miami MIA website",""
"Café La Carreta","Central Terminal","Landside","Central Terminal","","","","","Classic Cuban café serving authentic Cuban coffee, pastries, and light bites.","","","","","","","OPEN — on official Miami MIA website",""
"Café Versailles","Central Terminal","Landside","Central Terminal","","","","","Miami's iconic Cuban restaurant serving traditional Cuban cuisine and coffee.","","","","","","","OPEN — on official Miami MIA website",""
"Café Versailles","Central Terminal","Airside","Central Terminal","","","","","Miami's iconic Cuban restaurant serving traditional Cuban cuisine and coffee.","","","","","","","OPEN — on official Miami MIA website",""
"Café Versailles","North Terminal","Airside","North Terminal","","","","","Miami's iconic Cuban restaurant serving traditional Cuban cuisine and coffee.","","","","","","","OPEN — on official Miami MIA website",""
"Café Versailles","North Terminal","Airside","North Terminal","","","","","Miami's iconic Cuban restaurant serving traditional Cuban cuisine and coffee.","","","","","","","OPEN — on official Miami MIA website",""
"Carlo's Bake Shop Express","South Terminal","Airside","South Terminal","","","","","Vending machine offering cake slices from Carlo's Bake Shop.","","","","","","","OPEN — on official Miami MIA website",""
"Carlo's Bake Shop Express","North Terminal","Airside","North Terminal","","","","","Vending machine offering cake slices from Carlo's Bake Shop.","","","","","","","OPEN — on official Miami MIA website",""
"Chef Creole","Central Terminal","Landside","Central Terminal","","","","","An enticing array of seafood and Haitian-Creole dishes.","","","","","","","OPEN — on official Miami MIA website",""
"Chefs of the Caribbean","North Terminal","Airside","North Terminal","","","","","Inspired by Caribbean culinary traditions, serving vibrant island cuisine.","","","","","","","OPEN — on official Miami MIA website",""
"Chick-fil-A","Central Terminal","Airside","Central Terminal","","","","","Home of the original Chick-fil-A chicken sandwich.","","","","","","","OPEN — on official Miami MIA website",""
"Dunkin'","North Terminal","Airside","North Terminal","","","","","The world runs on Dunkin' — coffee, donuts, and breakfast items.","","","","","","","OPEN — on official Miami MIA website",""
"Dunkin' (Open 24 Hours)","North Terminal","Airside","North Terminal","","","","","Open 24 hours — coffee, donuts, and breakfast items.","Open 24 hours","","","","","","OPEN — on official Miami MIA website",""
"Earl of Sandwich","North Terminal","Airside","North Terminal","","","","","Award-winning hot sandwiches baked fresh to order.","","","","","","","OPEN — on official Miami MIA website",""
"Einstein Bros. Bagels","North Terminal","Airside","North Terminal","","","","","Fresh bagels with signature shmear and specialty coffees.","","","","","","","OPEN — on official Miami MIA website",""
"Esspresamente Illy","South Terminal","Airside","South Terminal","","","","","The finest Italian coffee served with fresh-made pastries.","","","","","","","OPEN — on official Miami MIA website",""
"Estefan Kitchen Express","North Terminal","Airside","North Terminal","","","","","Traditional freshly-made Cuban sandwiches and more from the Estefan family restaurant.","","","","","","","OPEN — on official Miami MIA website",""
"Famous Famiglia","North Terminal","Airside","North Terminal","","","","","New York-style pizza and Italian dishes.","","","","","","","OPEN — on official Miami MIA website",""
"Farm2Air Market","North Terminal","Airside","North Terminal","","","","","A delicious selection of salads, snacks, desserts, and grab-and-go meals.","","","","","","","OPEN — on official Miami MIA website",""
"Farm2Air Market","South Terminal","Airside","South Terminal","","","","","A delicious selection of sandwiches, salads, snacks, and grab-and-go meals.","","","","","","","OPEN — on official Miami MIA website",""
"Farm2Air Market","Central Terminal","Airside","Central Terminal","","","","","A delicious selection of sandwiches, salads, snacks, and grab-and-go meals.","","","","","","","OPEN — on official Miami MIA website",""
"Farmair's Café","South Terminal","Airside","South Terminal","","","","","Fresh breakfast, sandwiches, salads, wraps, and more.","","","","","","","OPEN — on official Miami MIA website",""
"Fig & Fennel","North Terminal","Airside","North Terminal","","","","","Savour the delicious flavours of the Mediterranean.","","","","","","","OPEN — on official Miami MIA website",""
"Gilbert's Food Bar (Post-Security)","North Terminal","Airside","North Terminal","","","","","On the spot or on the fly — fresh, quality food for travellers.","","","","","","","OPEN — on official Miami MIA website",""
"Jackson Soul Food","Central Terminal","Airside","Central Terminal","","","","","Authentic Southern soul food in the heart of MIA.","","","","","","","OPEN — on official Miami MIA website",""
"Juan Valdez Café","North Terminal","Airside","North Terminal","","","","","100% pure Colombian coffee offering a full selection of specialty coffees and pastries.","","","","","","","OPEN — on official Miami MIA website",""
"KFC","North Terminal","Airside","North Terminal","","","","","KFC Express — Finger Lickin' Good fried chicken.","","","","","","","OPEN — on official Miami MIA website",""
"La Carreta","Central Terminal","Airside","Central Terminal","","","","","A Miami and MIA original. Classic Cuban favourites — ropa vieja, media noche, and more.","","","","","","","OPEN — on official Miami MIA website",""
"La Colombe & The Great Bagel","Central Terminal","Airside","Central Terminal","","","","","Coffee and a variety of bagels, sandwiches, and baked items.","","","","","","","OPEN — on official Miami MIA website",""
"Maestro Della Pizza","Central Terminal","Airside","Central Terminal","","","","","Authentic Italian pizza with fresh ingredients.","","","","","","","OPEN — on official Miami MIA website",""
"Manchu Wok","North Terminal","Airside","North Terminal","","","","","Fast food that doesn't taste like fast food — Chinese stir-fry dishes.","","","","","","","OPEN — on official Miami MIA website",""
"Misha's Cupcakes","Central Terminal","Airside","Central Terminal","","","","","Delicious desserts including cakes, cupcakes, and sweet treats.","","","","","","","OPEN — on official Miami MIA website",""
"Misha's Cupcakes","North Terminal","Airside","North Terminal","","","","","Delicious desserts including cakes, cupcakes, and sweet treats.","","","","","","","OPEN — on official Miami MIA website",""
"Nathan's Famous","South Terminal","Airside","South Terminal","","","","","The legendary Nathan's Famous hot dogs, fries, and American classics.","","","","","","","OPEN — on official Miami MIA website",""
"Pizza Hut Express","North Terminal","Airside","North Terminal","","","","","Pizza, pasta, wings, and desserts.","","","","","","","OPEN — on official Miami MIA website",""
"Sergio's GO","South Terminal","Airside","South Terminal","","","","","Craving delicious and authentic Cuban dishes? Classic Cuban food to go.","","","","","","","OPEN — on official Miami MIA website",""
"Starbucks","North Terminal","Airside","North Terminal","","","","","The world's favourite coffeehouse — handcrafted beverages and light bites.","","","","","","","OPEN — on official Miami MIA website",""
"Starbucks","South Terminal","Airside","South Terminal","","","","","The world's favourite coffeehouse — handcrafted beverages and light bites.","","","","","","","OPEN — on official Miami MIA website",""
"Subway","South Terminal","Airside","South Terminal","","","","","Fresh made-to-order submarine sandwiches and salads.","","","","","","","OPEN — on official Miami MIA website",""
"Subway","North Terminal","Airside","North Terminal","","","","","Fresh made-to-order submarine sandwiches and salads.","","","","","","","OPEN — on official Miami MIA website",""
"Subway (Open 24 Hours)","Central Terminal","Airside","Central Terminal","","","","","Fresh made-to-order submarine sandwiches and salads, open 24 hours.","Open 24 hours","","","","","","OPEN — on official Miami MIA website",""
"Sushi Maki","North Terminal","Airside","North Terminal","","","","","Fresh sushi rolls, spring rolls, and Japanese-inspired dishes.","","","","","","","OPEN — on official Miami MIA website",""
"Sushi Maki","Central Terminal","Airside","Central Terminal","","","","","Fresh sushi rolls, spring rolls, and Japanese-inspired dishes.","","","","","","","OPEN — on official Miami MIA website",""
"Villa Italian Kitchen","Central Terminal","Airside","Central Terminal","","","","","Homemade pizza and pasta recipes from authentic Italian family recipes.","","","","","","","OPEN — on official Miami MIA website",""
"Villa Pizza","North Terminal","Airside","North Terminal","","","","","Homemade pizza and pasta from authentic Italian family recipes.","","","","","","","OPEN — on official Miami MIA website",""
"Wendy's","North Terminal","Airside","North Terminal","","","","","Classic Wendy's burgers, fresh never frozen, with crispy fries.","","","","","","","OPEN — on official Miami MIA website",""
