name,terminal,amenity_type,airside,floor_level,cuisine,lat,lon,address,phone,website,opening_hours,wheelchair,takeaway,brand,osm_id,osm_type
Kenny Rogers Roasters,Terminal 1,restaurant,Landside,Level 1,,,,"Level 1, Arrival Curbside C",,,7:00 AM TO 1:00 AM,,,,,
Chowking,Terminal 1,restaurant,Landside,Level 1,,,,"Level 1, Arrival Curbside C",,,24 HOURS,,,,,
Jollibee,Terminal 1,restaurant,Airside,Level 3,,,,"Level 3, East Side Departure Lobby",,,24 HOURS,,,,,
Ka Tunying,Terminal 1,restaurant,Airside,Level 3,,,,"Level 3, Pre-Departure Area",,,24 HOURS,,,,,
Nono'S Comfort Kitchen & Bakery,Terminal 1,restaurant,Airside,Level 2,,,,"Level 2, West Side Pre-Departure Area",,,7:00 AM TO 10:00 PM,,,,,
Little Flour,Terminal 1,restaurant,Airside,Level 2,,,,"Level 2, West Concourse - Departure Area",,,3:00 AM TO 12:00 AM,,,,,
Air Cargo Food Kiosk,Terminal 1,restaurant,Landside,,,,,Parking B,,,24 HOURS,,,,,
Anika,Terminal 1,restaurant,Landside,,,,,Basement Area,,,24 HOURS,,,,,
Master Siomai,Terminal 1,restaurant,Airside,Level 3,,,,"Level 3, East Side Departure Lobby",,,24 HOURS,,,,,
Illy Café Express/Subway,Terminal 1,restaurant,Airside,Level 3,,,,"Level 3, Pre-Departure Area",,,24 HOURS,,,,,
Casa Daza,Terminal 1,restaurant,Airside,Level 3,,,,"Level 3, Pre-Departure Area",,,6:00 AM TO 6:00 PM,,,,,
Le Amoretto,Terminal 1,restaurant,Airside,Level 2,,,,"Level 2, East Side Pre-Departure Area",,,24 HOURS,,,,,
Starbucks,Terminal 1,restaurant,Airside,Level 3,,,,"Level 3, Pre-Departure Area",,,24 HOURS,,,,,
Piazza Café & Bar Tnp,Terminal 1,restaurant,Airside,Level 3,,,,"Level 3, Pre-Departure Area",,,24 HOURS,,,,,
Ka Tunying'S Café,Terminal 2,restaurant,Airside,,,,,"Southwest Wing, Pre-Departure",,,24 HOURS,,,,,
Henlin,Terminal 2,restaurant,Airside,,,,,"Northwest Wing, Pre-Departure",,,4:00 AM TO 10:00 PM,,,,,
Mcdonalds,Terminal 2,restaurant,Landside,,,,,"Southwest Wing, Departure Public Lobby",,,24 HOURS,,,,,
Tropical Hut,Terminal 2,restaurant,Airside,,,,,"Northwest Wing, Pre-Departure",,,24 HOURS,,,,,
Kape Manila,Terminal 2,restaurant,Airside,,,,,"Northwest Wing, Pre-Departure",,,,,,,,
Burger King,Terminal 2,restaurant,Landside,,,,,"Northwest Wing, Departure Public Lobby",,,24 HOURS,,,,,
Starbucks,Terminal 2,restaurant,Airside,,,,,"Northwest Wing, Pre-Departure",,,24 HOURS,,,,,
Cozy Kitchen,Terminal 2,restaurant,Airside,,,,,"Northwest Wing, Pre-Departure",,,24 HOURS,,,,,
Cozy Kitchen,Terminal 2,restaurant,Airside,,,,,"Southwest Wing, Pre-Departure",,,24 HOURS,,,,,
Ella Robot Coffee,Terminal 2,restaurant,Airside,,,,,"Southwest Wing, Pre-Departure",,,24 HOURS,,,,,
Jollibee,Terminal 2,restaurant,Landside,,,,,"Southwest Wing, Departure Public Lobby",,,24 HOURS,,,,,
Siomai King,Terminal 2,restaurant,Airside,,,,,"Southwest Wing, Pre-Departure",,,1:15 AM TO 10:00 PM,,,,,
Drip Tea,Terminal 2,restaurant,Airside,,,,,"Southwest Wing, Pre-Departure",,,12:00 AM TO 10:00 PM,,,,,
Mempci Coop,Terminal 2,restaurant,Landside,,,,,Parking B,,,7:00 AM TO 3:00 AM,,,,,
Dunkin Donut,Terminal 2,restaurant,Landside,,,,,"Northwest Wing, Arrival Public",,,24 HOURS,,,,,
Serenitea,Terminal 2,restaurant,Airside,,,,,"Northwest Wing, Pre-Departure",,,4:00 AM TO 9:00 PM,,,,,
Highlands Coffee,Terminal 2,restaurant,Landside,,,,,"Northwest Wing, Check-In Area",,,24 HOURS,,,,,
Krispy Kreme,Terminal 2,restaurant,Airside,,,,,"Southwest Wing, Pre-Departure",,,3:00 AM TO 9:00 PM,,,,,
Denny'S Diner,Terminal 2,restaurant,Landside,,,,,"Southwest Wing, Arrival Level",,,24 HOURS,,,,,
Mister Donut,Terminal 2,restaurant,Airside,,,,,"Southwest Wing, Pre-Departure",,,12:00 AM TO 7:00 PM,,,,,
Wendys,Terminal 3,restaurant,Landside,,,,,Arrival Lobby,,,24 HOURS,,,,,
Burger King,Terminal 3,restaurant,Landside,,,,,Arrival Lobby,,,24 HOURS,,,,,
But First Coffee,Terminal 3,restaurant,Landside,,,,,Arrival Lobby,,,,,,,,
Tsim Sha Tsui,Terminal 3,restaurant,Landside,,,,,Arrival Lobby,,,24 HOURS,,,,,
Purefoods Street Sarap,Terminal 3,restaurant,Landside,,,,,"Tambayan, Arrival Level",,,2:00 AM TO 10:00 PM,,,,,
Fruitas,Terminal 3,restaurant,Landside,,,,,"Tambayan, Arrival Level",,,,,,,,
Pan De Coco Diner,Terminal 3,restaurant,Landside,,,,,"Tambayan, Arrival Level",,,,,,,,
Bo'S Coffee,Terminal 3,restaurant,Landside,,,,,"Tambayan, Arrival Level",,,,,,,,
Treats - Tinapay Ni Nanay,Terminal 3,restaurant,Landside,,,,,"Tambayan, Arrival Level",,,,,,,,
Palm Grill,Terminal 3,restaurant,Landside,,,,,"Tambayan, Arrival Level",,,,,,,,
Ginebra San Miguel Spirits,Terminal 3,restaurant,Landside,,,,,"Tambayan, Arrival Level",,,,,,,,
Marugame Udon,Terminal 3,restaurant,Airside,Level 2,,,,"Level 2, Mezzanine Foodhall",,,,,,,,
Jco Reserve,Terminal 3,restaurant,Airside,Level 2,,,,"Level 2, Mezzanine Foodhall",,,,,,,,
Mary Grace Café,Terminal 3,restaurant,Airside,Level 2,,,,"Level 2, Mezzanine Foodhall",,,,,,,,
Mama Lou'S,Terminal 3,restaurant,Airside,Level 2,,,,"Level 2, Mezzanine Foodhall",,,,,,,,
Kenny Rogers,Terminal 3,restaurant,Airside,Level 2,,,,"Level 2, Mezzanine Foodhall",,,6:00 AM TO 10:00 PM,,,,,
Paris Baguette,Terminal 3,restaurant,Airside,Level 2,,,,"Level 2, Mezzanine Foodhall",,,,,,,,
Chilis,Terminal 3,restaurant,Airside,Level 2,,,,"Level 2, Mezzanine Foodhall",,,,,,,,
Nanyang,Terminal 3,restaurant,Airside,Level 2,,,,"Level 2, Mezzanine Foodhall",,,,,,,,
Popeyes,Terminal 3,restaurant,Airside,Level 2,,,,"Level 2, Mezzanine Foodhall",,,,,,,,
Ucc Mentore,Terminal 3,restaurant,Airside,Level 2,,,,"Level 2, Mezzanine Foodhall",,,7:00 AM TO 12:00 PM,,,,,
Kfc,Terminal 3,restaurant,Airside,Level 2,,,,"Level 2, Mezzanine Foodhall",,,,,,,,
Seattles Best Coffee,Terminal 3,restaurant,Airside,Level 2,,,,"Level 2, Mezzanine Foodhall",,,,,,,,
Banapple,Terminal 3,restaurant,Airside,Level 2,,,,"Level 2, Mezzanine Foodhall",,,,,,,,
Chowking,Terminal 3,restaurant,Airside,Level 2,,,,"Level 2, Mezzanine Foodhall",,,24 HOURS,,,,,
L.A Chicks,Terminal 3,restaurant,Airside,Level 2,,,,"Level 2, Mezzanine Foodhall",,,24 HOURS,,,,,
Breadtalk,Terminal 3,restaurant,Airside,Level 2,,,,"Level 2, Mezzanine Foodhall",,,,,,,,
Watami,Terminal 3,restaurant,Airside,Level 2,,,,"Level 2, Mezzanine Foodhall",,,,,,,,
Angels Pizza,Terminal 3,restaurant,Airside,Level 2,,,,"Level 2, Mezzanine Foodhall",,,,,,,,
Pancake House,Terminal 3,restaurant,Airside,Level 2,,,,"Level 2, Mezzanine Foodhall",,,,,,,,
Estrels,Terminal 3,restaurant,Airside,Level 2,,,,"Level 2, Mezzanine Foodhall",,,,,,,,
Sans Rival,Terminal 3,restaurant,Airside,Level 2,,,,"Level 2, Mezzanine Foodhall",,,,,,,,
Conti'S,Terminal 3,restaurant,Landside,Level 3,,,,"Level 3, Landside",,,,,,,,
Mcdonalds,Terminal 3,restaurant,Landside,Level 4,,,,"Level 4, Landside",,,,,,,,
Racks / Tenya,Terminal 3,restaurant,Landside,Level 4,,,,"Level 4, Landside",,,,,,,,
Divalicious By The Lechon Diva,Terminal 3,restaurant,Airside,,,,,"Domestic Food Village, Pre-Departure Area",,,2:00 AM TO 8:00 PM,,,,,
Bo'S Coffee,Terminal 3,restaurant,Airside,,,,,"Domestic Food Village, Pre-Departure Area",,,,,,,,
Pho Hoa,Terminal 3,restaurant,Airside,,,,,"Domestic Food Village, Pre-Departure Area",,,,,,,,
Ka Tunying'S,Terminal 3,restaurant,Airside,,,,,"Domestic Food Village, Pre-Departure Area",,,,,,,,
Cinnabon,Terminal 3,restaurant,Airside,,,,,"Domestic Food Village, Pre-Departure Area",,,,,,,,
Bebang,Terminal 3,restaurant,Airside,,,,,"Domestic Food Village, Pre-Departure Area",,,,,,,,
Llao-Llao,Terminal 3,restaurant,Airside,,,,,"Domestic Food Village, Pre-Departure Area",,,5:00 AM TO 8:00 PM,,,,,
Muhlach Ensaymada,Terminal 3,restaurant,Airside,,,,,"Domestic Food Village, Pre-Departure Area",,,24 HOURS,,,,,
Potato Corner,Terminal 3,restaurant,Airside,,,,,"Domestic Food Village, Pre-Departure Area",,,,,,,,
Dunkin Donut,Terminal 3,restaurant,Airside,,,,,"Domestic Food Village, Pre-Departure Area",,,24 HOURS,,,,,
Aristocrat,Terminal 3,restaurant,Airside,,,,,"Domestic Food Village, Pre-Departure Area",,,5:00 AM TO 8:00 PM,,,,,
Mamak,Terminal 3,restaurant,Airside,,,,,"Domestic Food Village, Pre-Departure Area",,,,,,,,
Tapa King,Terminal 3,restaurant,Airside,,,,,"Domestic Food Village, Pre-Departure Area",,,1:00 AM TO 12:00 PM,,,,,
Bo'S Coffee,Terminal 3,restaurant,Airside,,,,,International Pre-Departure,,,24 HOURS,,,,,
Blue Smith,Terminal 3,restaurant,Airside,,,,,International Pre-Departure,,,1:00 AM TO 11:30 PM,,,,,
Great Mann Hann,Terminal 3,restaurant,Airside,,,,,International Pre-Departure,,,24 HOURS,,,,,
Seattles Best Coffee,Terminal 3,restaurant,Airside,,,,,International Pre-Departure,,,,,,,,
Chatime,Terminal 3,restaurant,Airside,,,,,International Pre-Departure,,,24 HOURS,,,,,
Shake Shack,Terminal 3,restaurant,Airside,,,,,International Pre-Departure,,,12:30 AM TO 11:30 PM,,,,,
Kaishu Rice & Noodles Express,Terminal 3,restaurant,Airside,,,,,International Pre-Departure,,,2:00 AM TO 12:00 PM,,,,,
Sweet Ideas,Terminal 3,restaurant,Airside,,,,,International Pre-Departure,,,,,,,,
Café Tee Ree Ya,Terminal 3,restaurant,Airside,,,,,International Pre-Departure,,,,,,,,
Café Park & Stop,Terminal 3,restaurant,Landside,,,,,Parking Area,,,24 HOURS,,,,,
Acacia Tree Café,Terminal 3,restaurant,Landside,,,,,Parking Area,,,24 HOURS,,,,,
Henlin,Terminal 3,restaurant,Airside,,,,,Domestic Pre-Departure,,,1:00 AM TO 10:00 PM,,,,,
Kape Manila,Terminal 3,restaurant,Airside,,,,,Domestic Pre-Departure,,,4:00 AM TO 8:00 PM,,,,,
Tsim Sha Tsui,Terminal 3,restaurant,Airside,,,,,Domestic Pre-Departure,,,24 HOURS,,,,,
Busgate Goodies,Terminal 3,restaurant,Airside,,,,,"Domestic Busgate, Pre-Departure",,,24 HOURS,,,,,
Goto King,Terminal 3,restaurant,Airside,,,,,"Domestic Busgate, Pre-Departure",,,24 HOURS,,,,,
Global Topps & Noodles,Terminal 3,restaurant,Airside,,,,,International Pre-Departure,,,24 HOURS,,,,,
Chatime,Terminal 3,restaurant,Airside,,,,,"Domestic Busgate, Pre-Departure",,,24 HOURS,,,,,
Army Navy,Terminal 3,restaurant,Airside,,,,,"Domestic Busgate, Pre-Departure",,,12:00 AM TO 10:00 PM,,,,,
Airport Café,Terminal 3,restaurant,Airside,,,,,Domestic Pre-Departure,,,2:00 AM TO 7:00 PM,,,,,
Caffexpress,Terminal 3,restaurant,Airside,,,,,"Domestic Busgate, Pre-Departure",,,7:00 AM TO 1:00 AM,,,,,
Krispy Kreme,Terminal 3,restaurant,Airside,,,,,Domestic Pre-Departure,,,24 HOURS,,,,,
