name,terminal,amenity_type,airside,floor_level,cuisine,lat,lon,address,phone,website,opening_hours,wheelchair,takeaway,brand,osm_id,osm_type
GODIVA café,Terminal 1,cafe,Landside,4F,,,,,,,08:00-20:30,,,Godiva,,
SHAKE SHACK,Terminal 1,fast_food,Landside,4F,,,,,,,08:00-20:00,,,Shake Shack,,
caffe LAT.25° Terminal1,Terminal 1,cafe,Landside,1F,,,,,,,07:00-19:00,,,,,
Dashichazuke EN,Terminal 1,restaurant,Landside,4F,,,,,,,07:30-20:30,,,,,
DEAN & DELUCA CAFÉ Terminal1,Terminal 1,cafe,Landside,4F,,,,,,,07:30-20:00,,,Dean & DeLuca,,
FUJIYA RESTAURANT,Terminal 1,restaurant,Landside,5F,,,,,,,08:00-20:00,,,,,
Ginshari Hokkaido,Terminal 1,fast_food,Landside,5F,,,,,,,08:00-20:00,,,,,
Gong cha,Terminal 1,cafe,Landside,4F,,,,,,,08:00-20:30,,,Gong cha,,
HANBIJAE,Terminal 1,restaurant,Landside,4F,,,,,,,08:30-20:30,,,,,
Homemade Udon Noodles KINEYAMUGIMARU,Terminal 1,restaurant,Landside,4F,,,,,,,08:00-20:00,,,,,
JINROKU,Terminal 1,restaurant,Landside,4F,,,,,,,08:00-20:00,,,,,
Katsuichi,Terminal 1,restaurant,Landside,4F,,,,,,,08:00-20:00,,,,,
Kimukatsu,Terminal 1,restaurant,Landside,4F,,,,,,,08:00-20:30,,,,,
Kohantei Bifteck & Wine,Terminal 1,restaurant,Landside,4F,,,,,,,07:00-20:00,,,,,
KONATSU,Terminal 1,cafe,Landside,1F,,,,,,,07:00-20:00,,,,,
Kushitei,Terminal 1,restaurant,Landside,4F,,,,,,,08:00-20:00,,,,,
LA BETTOLA da Ochiai Terminal1,Terminal 1,restaurant,Landside,4F,,,,,,,07:30-20:30,,,,,
Lanzhou Ramen Daikokuya,Terminal 1,restaurant,Airside,3F,,,,,,,08:00-20:00,,,,,
Maisen,Terminal 1,restaurant,Landside,4F,,,,,,,07:30-20:30,,,,,
McDonald's Terminal1 4F,Terminal 1,fast_food,Landside,4F,,,,,,,06:30-21:30,,,McDonald's,,
KOMERAKU,Terminal 1,restaurant,Airside,3F,,,,,,,08:00-16:30,,,,,
Matsudo Tomitamendan,Terminal 1,restaurant,Landside,4F,,,,,,,08:00-20:30,,,,,
McDonald's Terminal1 3F,Terminal 1,fast_food,Airside,3F,,,,,,,07:00-21:30,,,McDonald's,,
MITSUMOTO TEI Terminal1,Terminal 1,restaurant,Airside,3F,,,,,,,07:30-20:30,,,,,
NAGASAKASARASINA NUNOYATAHEE,Terminal 1,restaurant,Landside,4F,,,,,,,10:00-19:30,,,,,
Nenrinya CAFÉ & DINER,Terminal 1,cafe,Airside,3F,,,,,,,08:00-19:45,,,,,
RAMEN ICHIKAKUYA,Terminal 1,restaurant,Landside,5F,,,,,,,08:00-20:00,,,,,
SEIYOKEN,Terminal 1,restaurant,Landside,4F,,,,,,,08:00-20:00,,,,,
STARBUCKS COFFEE Terminal1 4F,Terminal 1,cafe,Landside,4F,,,,,,,07:00-21:00,,,Starbucks,,
SUBWAY,Terminal 1,fast_food,Landside,4F,,,,,,,07:00-21:00,,,Subway,,
TANG DYNASTY TO-SHO-MEN,Terminal 1,restaurant,Landside,4F,,,,,,,08:15-20:15,,,,,
Thai Restaurant Jai Thai,Terminal 1,restaurant,Landside,5F,,,,,,,10:00-20:30,,,,,
Tokyo Food Bar,Terminal 1,restaurant,Airside,3F,,,,,,,07:45-21:00,,,,,
Sushi Kyotatsu Terminal1 North Wing,Terminal 1,restaurant,Airside,3F,,,,,,,09:00-17:00,,,,,
Sushiichiban Satellite,Terminal 1,restaurant,Airside,3F,,,,,,,09:00-19:30,,,,,
Tonkatsu shinjuku saboten,Terminal 1,restaurant,Landside,4F,,,,,,,09:00-20:30,,,,,
tsukiji - Sushiiwa,Terminal 1,restaurant,Landside,4F,,,,,,,08:00-20:00,,,,,
TULLY'S COFFEE Terminal1,Terminal 1,cafe,Landside,4F,,,,,,,07:00-21:00,,,Tully's Coffee,,
Williams,Terminal 1,restaurant,Landside,5F,,,,,,,09:00-19:30,,,,,
