"name","terminal","concourse","airside","gate","address","phone","website","cuisine","categories","description","opening_hours","wheelchair","takeaway","halal","vegetarian_options","vegan_options","verified_status","osm_id"
"AG1 - Vending Machine","Terminal 2","Concourse F","","F3","Terminal 2 near F3","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Always Fresh Always On","Terminal 2","","Landside","","Terminal 2 - Departures / Check-In","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"America's Dog","Terminal 1","Concourse C","Airside","C17","Terminal 1 near Gate C17","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Andiamo","","","Landside","","Hilton near Hilton","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Auntie Anne's","Terminal 1","Concourse C","Airside","C18","Terminal 1 near Gate C18","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Auntie Anne's","Terminal 2","Concourse E","Airside","E4","Terminal 2 near Gate E4","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"B-Smooth, Smoothies & Salads","Terminal 3","Concourse K","Airside","K4","Terminal 3 near Gate K4","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Bar Siena","Terminal 5","Concourse M","Airside","M30","Terminal 5 near Gate M30","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Baskin Robbins & Dunkin'","Terminal 5","","Landside","","Terminal 5 near Baggage Claim","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Beaudevin Wine Bar","Terminal 1","Concourse C","Airside","C17","Terminal 1 near Gate C17","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Berghoff Cafe","Terminal 1","Concourse C","Airside","C26","Terminal 1 near Gate C26","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Big Bowl","Terminal 5","Concourse M","Airside","M11","Terminal 5 near Gate M11","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Billy Goat Tavern and Grill","Terminal 1","Concourse C","Airside","C19","Terminal 1 near Gate C19","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"BJ's Gourmet Market","Terminal 3","Concourse K","Airside","K18","Terminal 3 near Gate K18","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Brioche Doree","Terminal 1","Concourse C","Airside","C21","Terminal 1 near Gate C21","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Brioche Doree","Terminal 2","Concourse F","Airside","F19","Terminal 2 near Gate F19","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Brioche Doree","Terminal 3","Concourse T","Airside","T3","Terminal 3 near T3 Rotunda near Gate G1","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Brioche Doree","Terminal 1","","Landside","","Terminal 1 near Departures/Check-in","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
