name,terminal,amenity_type,airside,floor_level,cuisine,lat,lon,address,phone,website,opening_hours,wheelchair,takeaway,brand,osm_id,osm_type
KFC,Main Terminal,fast_food,,1F,burger,,,,,,06:00-22:00,,,KFC,,
Starbucks,Main Terminal,cafe,,1F,coffee_shop,,,,,,06:00-22:00,,,Starbucks,,
Western Mahua,Main Terminal,restaurant,,1F,chinese,,,,,,06:00-22:00,,,,,
Master Kong Chef's Table,Main Terminal,restaurant,,1F,,,,,,,06:00-last flight,,,,,
KFC,Main Terminal,fast_food,,2F,burger,,,,,,24/7,,,KFC,,
McDonald's,Main Terminal,fast_food,,2F,burger,,,,,,24/7,,,McDonald's,,
Pizza Hut,Main Terminal,fast_food,,2F,pizza,,,,,,10:00-22:00,,,Pizza Hut,,
Starbucks,Main Terminal,cafe,,2F,coffee_shop,,,,,,06:00-22:00,,,Starbucks,,
AJISEN RAMEN,Main Terminal,restaurant,,2F,ramen,,,,,,24/7,,,,,
Boutique DaDong Restaurant,Main Terminal,restaurant,,2F,chinese,,,,,,10:00-21:00,,,,,
XIABUXIABU,Main Terminal,restaurant,,2F,chinese,,,,,,08:00-22:00,,,,,
HEYTEA,Main Terminal,cafe,,2F,tea,,,,,,08:00-22:00,,,,,
HOPE TREE,Main Terminal,fast_food,,2F,chinese,,,,,,08:00-22:00,,,,,
CoCo+Mr.Fruits,Main Terminal,cafe,,2F,,,,,,,06:00-22:00,,,,,
Dumplings loved by Xihe,Main Terminal,restaurant,,2F,chinese,,,,,,06:00-22:00,,,,,
Bridge Xiangyuan Rice Noodles,Main Terminal,restaurant,,2F,chinese,,,,,,06:00-22:00,,,,,
luckin coffee,Main Terminal,cafe,,2F,coffee_shop,,,,,,06:00-22:00,,,luckin coffee,,
Xishaoye,Main Terminal,fast_food,,2F,chinese,,,,,,06:00-22:00,,,,,
Xi Bei,Main Terminal,restaurant,,2F,chinese,,,,,,06:00-22:00,,,,,
Qing-Feng Steamed Dumpling Shop,Main Terminal,restaurant,,2F,chinese,,,,,,06:00-22:00,,,,,
CoCo,Main Terminal,cafe,,3F,,,,,,,06:00-22:00,,,,,
luckin coffee,Main Terminal,cafe,,3F,coffee_shop,,,,,,06:00-last flight,,,luckin coffee,,
Starbucks,Main Terminal,cafe,,4F,coffee_shop,,,,,,06:00-last flight,,,Starbucks,,
KFC,Main Terminal,fast_food,,5F,burger,,,,,,06:00-22:00,,,KFC,,
Quanjude Roast Duck Restaurant,Main Terminal,restaurant,,5F,chinese,,,,,,10:00-21:00,,,,,
And More Restaurant,Main Terminal,restaurant,,5F,mediterranean,,,,,,10:00-21:00,,,,,
Guangfangyuan,Main Terminal,restaurant,,5F,,,,,,,10:00-19:00,,,,,
Grandma's Home,Main Terminal,restaurant,,5F,chinese,,,,,,10:00-22:00,,,,,
Saboten,Main Terminal,restaurant,,5F,japanese,,,,,,10:00-22:00,,,,,
Hungry Korean,Main Terminal,restaurant,,5F,korean,,,,,,10:00-22:00,,,,,
Chee Kei,Main Terminal,restaurant,,5F,chinese,,,,,,10:00-22:00,,,,,
Taoyuan Village,Main Terminal,restaurant,,5F,chinese,,,,,,10:00-22:00,,,,,
LAOSHE TEAHOUSE,Main Terminal,restaurant,,5F,tea,,,,,,10:00-22:00,,,,,
