name,terminal,amenity_type,airside,floor_level,cuisine,lat,lon,address,phone,website,opening_hours,wheelchair,takeaway,brand,osm_id,osm_type
Harry's,Terminal 1,restaurant,,,,1.3554115,103.9854036,,,,,,,,364429944,way
Harry's Bar and Dining,Terminal 1,bar,,1,,1.3559272,103.9901486,,,,24/7,,,,4756117321,node
Hudsons Coffee,Terminal 2,cafe,,,coffee_shop,1.3574246,103.9862427,,,,,,yes,Hudsons Coffee,364429959,way
Dunkin',Terminal 3,fast_food,,1,"donut, coffee_shop",1.3620707,103.9914317,,,,,,yes,Dunkin',4455753709,node
Ippudo Express,Terminal 3,restaurant,,0,ramen,1.3617389,103.9920361,,,,,,,Ippudo,11142920452,node
O'Coffee Club Roastery,Terminal 3,cafe,,2,,1.3604264,103.9890776,,,,,,,,744297790,way
O'Coffee Club Xpress,Terminal 3,cafe,,-2,,1.3604115,103.989387,,,,,,,,744528867,way
Paradise Classic,Terminal 3,restaurant,,3,,1.3608345,103.9897122,,,,,,,,744347145,way
Shake Shack,Terminal 3,fast_food,,1,burger,1.3604,103.990009,"Airport Boulevard, Singapore, 819666",,https://www.shakeshack.com/,Mo-Su 11:00-20:00,,yes,Shake Shack,744315487,way
Starbucks,Terminal 3,cafe,,1,coffee_shop,1.3613131,103.9904139,,,,24/7,,yes,Starbucks,3891548629,node
The Coffee Bean & Tea Leaf,Terminal 3,cafe,,0,coffee_shop,1.3602993,103.9901555,"Jewel Changi Airport, Airport Boulevard, 819666",,,24/7,yes,yes,The Coffee Bean & Tea Leaf,743758480,way
A Noodle Story,Terminal 1,restaurant,,,singaporean,,,,,,,,,,,
Anjappar,Terminal 1,restaurant,,,indian,,,,,,,,,,,
Chatterbox Express,Terminal 1,restaurant,,,singaporean,,,,,,,,,,,
Crystal Jade La Mian Xiao Long Bao,Terminal 1,restaurant,,,chinese,,,,,,,,,,,
Kopikakis,Terminal 1,cafe,,,coffee_shop,,,,,,,,,,,
LiXin Teochew Fishball Noodle,Terminal 1,restaurant,,,singaporean,,,,,,,,,,,
MA MUM To Go,Terminal 1,restaurant,,,thai,,,,,,,,,,,
Mango Tree & Heineken World Bar,Terminal 1,restaurant,,,,,,,,,,,,,,
