name,terminal,amenity_type,airside,floor_level,cuisine,lat,lon,address,phone,website,opening_hours,wheelchair,takeaway,brand,osm_id,osm_type
1915 Lanzhou Beef Noodles,T1 International,restaurant,Landside,Before Security,chinese,,,,,,,,,,,
Atrium Dine,T1 International,restaurant,Airside,After Security,,,,,,,,,,,,
BARista,T1 International,cafe,Airside,Near Gate 31,,,,,,,,,,,,
Betty's Burgers,T1 International,fast_food,Landside,Food Court,burger,,,,,,,,,,,
Caffettino Espresso,T1 International,cafe,Landside,Near Check In Gate H,,,,,,,,,,,,
Campos Coffee,T1 International,cafe,Airside,Near Gate 24,coffee_shop,,,,,,,,,,,
EARL Dine,T1 International,cafe,Landside,Before Security,,,,,,,,,,,,
East x West Dine,T1 International,restaurant,Landside,Near Check In Counter H,,,,,,,,,,,,
Grand Cru,T1 International,cafe,Landside,Food Court,,,,,,,,,,,,
Gusto Pasta Bar,T1 International,restaurant,Landside,Food Court,pasta,,,,,,,,,,,
Heineken House,T1 International,cafe,Airside,Near Gate 10,,,,,,,,,,,,
Hikari Ramen & Donburi,T1 International,restaurant,Airside,Near Gate 10,japanese,,,,,,,,,,,
Hungry Jack's,T1 International,fast_food,Landside,Food Court,burger,,,,,,,,,Hungry Jack's,,
KFC,T1 International,fast_food,Airside,Near Gate 24,burger,,,,,,,,,KFC,,
Kitchen by Mike,T1 International,restaurant,Airside,Near Gate 30,,,,,,,,,,,,
Lilong by Taste of Shanghai,T1 International,restaurant,Airside,Near Gate 56,chinese,,,,,,,,,,,
Lumos Cafe,T1 International,cafe,Landside,Food Court,,,,,,,,,,,,
Mad Mex,T1 International,fast_food,Landside,Food Court,mexican,,,,,,,,,Mad Mex,,
McDonald's,T1 International,fast_food,Landside,Arrivals Exit A,burger,,,,,,,,,McDonald's,,
McDonald's,T1 International,fast_food,Airside,Near Gate 50,burger,,,,,,,,,McDonald's,,
McDonald's,T1 International,fast_food,Airside,Near Gate 24,burger,,,,,,,,,McDonald's,,
Ooosh Oregano Bakery,T1 International,fast_food,Landside,Arrivals Exit A,,,,,,,,,,,,
Oporto,T1 International,fast_food,Landside,Food Court,,,,,,,,,,Oporto,,
PappaRich,T1 International,restaurant,Airside,,asian,,,,,,,,,,,
Peroni Bar,T1 International,cafe,Airside,Near Gate 56,,,,,,,,,,,,
Sahara Grill,T1 International,fast_food,Airside,Near Gate 10,,,,,,,,,,,,
Sushia,T1 International,restaurant,Landside,Before Security,japanese,,,,,,,,,,,
Sushia,T1 International,restaurant,Airside,Near Gate 30,japanese,,,,,,,,,,,
Sydney Coffee Trader,T1 International,cafe,Landside,Near Gate B,,,,,,,,,,,,
Taste of Thai,T1 International,restaurant,Landside,Food Court,thai,,,,,,,,,,,
The Bistro by Wolfgang Puck,T1 International,restaurant,Airside,Near Gate 10,,,,,,,,,,,,
Toby's Estate,T1 International,cafe,Landside,Food Court,,,,,,,,,,Toby's Estate,,
Toby's Estate,T1 International,cafe,Airside,Towards Gates 50-63,,,,,,,,,,Toby's Estate,,
Top Juice,T1 International,fast_food,Landside,Before Security,juice,,,,,,,,,,,
Veloce Espresso,T1 International,cafe,Landside,Arrivals Exit A,,,,,,,,,,,,
Subway,T1 International,fast_food,Landside,Food Court,sandwich,,,,,,,,,Subway,,
SumoSalad Green on Green,T1 International,restaurant,Airside,Near Gate 24,,,,,,,,,,,,
1915 Lanzhou Beef Noodles,T2 Domestic,restaurant,Airside,After Security,chinese,,,,,,,,,,,
Allpress Espresso,T2 Domestic,cafe,Airside,Near Gate 40,,,,,,,,,,,,
Bistro 2020,T2 Domestic,cafe,Airside,Food Court,,,,,,,,,,,,
Brasserie Bread,T2 Domestic,fast_food,Airside,Food Court,,,,,,,,,,,,
Fat Yak Bar,T2 Domestic,cafe,Airside,After Security,,,,,,,,,,,,
Great Northern Dine,T2 Domestic,cafe,Airside,Near Gate 40,,,,,,,,,,,,
Inbound Café,T2 Domestic,cafe,Landside,Near Baggage Claim,,,,,,,,,,,,
KFC,T2 Domestic,fast_food,Airside,Food Court,burger,,,,,,,,,KFC,,
Krispy Kreme,T2 Domestic,fast_food,Airside,Food Court,donut,,,,,,,,,Krispy Kreme,,
Liv Eat,T2 Domestic,fast_food,Airside,Food Court,,,,,,,,,,,,
Loop Bagels,T2 Domestic,fast_food,Airside,After Security,,,,,,,,,,,,
Mad Mex,T2 Domestic,fast_food,Airside,Food Court,mexican,,,,,,,,,Mad Mex,,
McDonald's,T2 Domestic,fast_food,Airside,Food Court,burger,,,,,,,,,McDonald's,,
Mrs Fields Bakery Cafe,T2 Domestic,cafe,Airside,Food Court,,,,,,,,,,Mrs. Fields,,
Oporto,T2 Domestic,fast_food,Airside,Food Court,,,,,,,,,,Oporto,,
Pete's Pies,T2 Domestic,fast_food,Airside,Food Court,,,,,,,,,,,,
Pulp + Grind,T2 Domestic,cafe,Airside,Food Court,,,,,,,,,,,,
Roll'd,T2 Domestic,fast_food,Airside,Food Court,vietnamese,,,,,,,,,,,
Sahara Grill,T2 Domestic,fast_food,Airside,Food Court,,,,,,,,,,,,
Sol Bowl,T2 Domestic,restaurant,Airside,Near Gate 39,,,,,,,,,,,,
Soul Origin,T2 Domestic,cafe,Airside,Food Court,,,,,,,,,,,,
Sushi Sushi,T2 Domestic,fast_food,Airside,Near Gate 35,japanese,,,,,,,,,,,
Taste of Thai,T2 Domestic,restaurant,Airside,After Security,thai,,,,,,,,,,,
Toby's Estate,T2 Domestic,cafe,Airside,Food Court,,,,,,,,,,Toby's Estate,,
Veloce Espresso,T2 Domestic,cafe,Airside,Near Gate 49,,,,,,,,,,,,
Yo! Sushi,T2 Domestic,restaurant,Airside,Food Court,japanese,,,,,,,,,Yo! Sushi,,
Icebergs,T3 Domestic,restaurant,Airside,After Security,,,,,,,,,,,,
Lotus Dumpling Bar,T3 Domestic,restaurant,Airside,After Security,chinese,,,,,,,,,,,
Loulou,T3 Domestic,cafe,Airside,After Security,,,,,,,,,,,,
Luke's Bistro & Bar,T3 Domestic,cafe,Airside,Near Gate 3,,,,,,,,,,,,
Maggio's,T3 Domestic,restaurant,Airside,After Security,,,,,,,,,,,,
Slim's Quality Burger,T3 Domestic,fast_food,Airside,After Security,burger,,,,,,,,,,,
Stitch Coffee,T3 Domestic,cafe,Airside,After Security,,,,,,,,,,,,
Stone & Wood Dine,T3 Domestic,cafe,Airside,Near Gate 8,,,,,,,,,,,,
Taste of Thai,T3 Domestic,restaurant,Airside,After Security,thai,,,,,,,,,,,
The Sushi Platter,T3 Domestic,fast_food,Airside,Near Gate 6,japanese,,,,,,,,,,,
Top Juice,T3 Domestic,fast_food,Airside,After Security,juice,,,,,,,,,,,
Tres Tacos,T3 Domestic,fast_food,Airside,After Security,mexican,,,,,,,,,,,
Viaggio Espresso + Bar,T3 Domestic,cafe,Landside,Near Baggage Claim,,,,,,,,,,,,
