name,terminal,amenity_type,airside,floor_level,cuisine,lat,lon,address,phone,website,opening_hours,wheelchair,takeaway,brand,osm_id,osm_type,description,logo_url
Chatime,Terminal 1,,Landside,B1,"Asian, Café",,,,+886-3-3833087,,09:00-20:00,,,,,,"Chatime is a Taiwanese bubble tea chain offering a vast range of freshly brewed teas, milk teas, and bubble drink creations with customisable sweetness and ice levels.",https://img.logo.dev/chatime.ca?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
7-11,Terminal 1,,Landside,,Grab & Go,,,,+886-3-393-1733,,00:00~24:00,,,,,,"A convenience store chain stocking packaged snacks, drinks, hot foods, and travel essentials around the clock.",
Airport Corner,Terminal 2,,Landside,B2,"Café, Taiwanese, Asian",,,,+886-3-3982108,,11:00~20:00,,,,,,"A casual café and snack bar serving Taiwanese light meals, coffee, and snacks for departing travellers.",
Barista Premium,Terminal 1,,Landside,B1,Café,,,,+886-3-393-2900,,07:00~20:00,,,,,,A premium coffee café serving carefully brewed espresso drinks and specialty coffees with light pastries.,
Bistro:D,Terminal 1,,Landside,,"Taiwanese, Asian",,,,+886-3-398-3266,,06:00~23:00,,,,,,"A bistro serving a mix of Taiwanese and Western dishes including pasta, rice plates, and sandwiches.",
Burger King,Terminal 1,,Landside,,Fast Food,,,,+886-3-398-9906,,06:00-21:00,,,,,,Burger King is a global American fast food chain best known for the flame-grilled Whopper burger and its 'Have It Your Way' customisation philosophy.,https://img.logo.dev/bk.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Burger Land,Terminal 2,,Airside,3F,Burgers,,,,+886-03-383-3133#616,,06:00~22:00,,,,,,"A casual burger restaurant serving beef burgers, chicken burgers, and fast-food style sides.",https://img.logo.dev/burgerland.de?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
C'est Bon Café,Terminal 2,,Landside,1F,"Café, French, European",,,,+886-3-275-4582,,05:00~23:00,,,,,,"A French-inspired café chain serving coffee, light pastries, sandwiches, and quiches.",
Chengmeng,Terminal 2,,Landside,1F,"Taiwanese, Asian",,,,+886-3-275-4576,,07:00-20:00,,,,,,A Taiwanese restaurant specialising in traditional Chengmeng-style braised dishes and regional comfort food.,https://img.logo.dev/chengmeng.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Chinese Herb Rib Stew,Terminal 2,,Landside,B2,"Chinese, Asian",,,,,,10:00-20:00,,,,,,A Taiwanese restaurant serving bak kut teh — slow-simmered pork ribs in a herbal broth — and Chinese herbal soups.,
COFFEE MAN,Terminal 2,,Landside,B2,Café,,,,+886-3-393-1735,,08:00~20:00,,,,,,"A coffee kiosk serving espresso drinks, iced coffees, and quick snacks for travellers.",
COLDSTONE,Terminal 1,,Landside,B1,Desserts,,,,+886-3-383-2498,,09:00-21:00,,,,,,A Cold Stone Creamery franchise serving hand-mixed ice cream creations blended on a frozen stone with mix-ins to order.,
Comebuy,Terminal 2,,Airside,3F,Café,,,,+886-3-393-1411,,07:00~21:00,,,,,,"A Taiwanese bubble tea brand serving hand-shaken teas, fruit teas, and fresh-brewed milk teas.",https://img.logo.dev/come4buy.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
D'Good Café,Terminal 2,,Airside,3F,Café,,,,+886-3-383-3133#611,,06:00~22:00,,,,,,"A lifestyle café serving specialty coffee, brunch dishes, and baked goods in a design-conscious setting.",
Dan Dan Noodles,Terminal 2,,Airside,3F,"Chinese, Asian",,,,+886-3-393-1411,,11:00-21:00,,,,,,"A noodle restaurant specialising in dan dan mian — Sichuan-style spicy noodles with sesame paste, chilli oil, and minced pork.",
DAZZLING Café,Terminal 1,,Airside,3F,"Taiwanese, Asian, Desserts",,,,+886-3-398-3266,,07:00~22:00,,,,,,"A Taiwanese Instagram-famous café known for honey toast, fluffy soufflé pancakes, and photogenic desserts.",
