name,terminal,amenity_type,airside,floor_level,cuisine,lat,lon,address,phone,website,opening_hours,wheelchair,takeaway,brand,osm_id,osm_type
SUBWAY,Main Terminal,fast_food,,Level 0,sandwich,,,,,,05:30-22:00,,,Subway,,
Ted & Rose,Main Terminal,cafe,,Level 0,,,,,,,06:00-17:00,,,,,
Good Day,Main Terminal,restaurant,,Level 1,,,,,,,04:00-20:00,,,,,
Best Ugly Bagels,Main Terminal,fast_food,,Level 1,,,,,,,06:30-16:00,,,,,
Mojo,Main Terminal,cafe,,Level 1,,,,,,,06:00-18:00,,,,,
Three Quarter Society,Main Terminal,cafe,,Level 1,,,,,,,05:30-17:00,,,,,
TJ Katsu Sushi,Main Terminal,restaurant,,Level 1,japanese,,,,,,06:30-19:00,,,,,
TJ Katsu Dumplings and Noodles,Main Terminal,restaurant,,Level 1,japanese,,,,,,09:00-19:00,,,,,
United Brew Works,Main Terminal,cafe,,Level 1,,,,,,,06:00-19:30,,,,,
Haha Chicken,Main Terminal,fast_food,,Level 1,korean,,,,,,09:00-19:00,,,,,
Emporio Express,Main Terminal,cafe,,Level 1,,,,,,,06:00-18:00,,,,,
Three Quarter Society Junior,Main Terminal,cafe,,Level 1,,,,,,,07:00-16:00,,,,,
Peloton Bar & Eatery,Main Terminal,restaurant,,Level 2,,,,,,,07:00-19:00,,,,,
Whiskey Lima Golf,Main Terminal,restaurant,,Level 2,,,,,,,06:30-21:00,,,,,
Mojo,International Departures,cafe,,Level 1,,,,,,,International departures hours,,,,,
SUBWAY,International Departures,fast_food,,Level 1,sandwich,,,,,,International departures hours,,,Subway,,
