name,terminal,airside,gate,lat,lon,phone,categories,description,opening_hours,wheelchair,takeaway,halal,vegetarian_options,vegan_options,verified_status,osm_id
"Auntie Anne's","Terminal A","Airside","Gate A21","32.905069","-97.035562","","Pretzels; Lemonade; Breakfast","Enjoy tasty freshly baked pretzels for breakfast or as a snack. Choose from Cinnamon Sugar, Pepperoni, Almond, or Jalapeno.",,,,,,"OPEN — on official DFW Airport website",
"California Pizza Kitchen","Terminal A","Airside","Gate A28","32.902856","-97.036314","","Italian/Pizza; Bar; Restaurant; Breakfast","Innovative cuisine with a signature twist that's globally inspired yet distinctly California.",,,,,,"OPEN — on official DFW Airport website",
"Dallas Cowboys Club","Terminal A","Airside","Gate A21","32.90468","-97.035528","","Bar; Tex Mex; Burger; Quesadilla; Brisket; Sandwiches","Enjoy Tex-Mex and other great pub fare at the Dallas Cowboys Club.",,,,,,"OPEN — on official DFW Airport website",
"Einstein Bros. Bagels","Terminal A","Airside","Gate A9","32.907012","-97.038149","","Bagels; Coffee; Pastries; Muffins; Breakfast","Fresh bagels with signature shmear and specialty coffees.",,,,,,"OPEN — on official DFW Airport website",
"Einstein Bros. Bagels","Terminal A","Airside","Gate A11","32.90688","-97.037186","","Bagels; Coffee; Pastries; Muffins; Breakfast","Fresh bagels with signature shmear and specialty coffees.",,,,,,"OPEN — on official DFW Airport website",
"La Crème Coffee & Tea","Terminal A","Airside","Gate A34","32.902263","-97.037157","","Coffee; Tea","Specialty coffees and teas in a relaxed airport setting.",,,,,,"OPEN — on official DFW Airport website",
"La Madeleine","Terminal A","Airside","Gate A25","32.903764","-97.036012","","Breakfast; Coffee; French; Soup; Sandwiches","La Madeleine is a little piece of France you can call your own — salads, sandwiches, soups, pastries, and all-day breakfast.",,,,,,"OPEN — on official DFW Airport website",
"Lorena Garcia Tapas y Cocina","Terminal A","Airside","Gate A33","32.902612","-97.036774","","Restaurant; Mexican/Southwest; Tapas; Small Plates; Coffee","Award-winning chef Lorena Garcia brings authentic Latin flavours and tapas-style dining to DFW.",,,,,,"OPEN — on official DFW Airport website",
"McDonald's","Terminal A","Airside","Gate A17","32.906074","-97.03627","+1 (972) 973-7312","Fast Food; Burger; Fries; Breakfast; Coffee","McDonald's is known around the globe for their fast food, from Egg McMuffins to Big Macs and Happy Meals.",,,,,,"OPEN — on official DFW Airport website",
"McDonald's","Terminal A","Airside","Gate A35","32.902372","-97.037324","","Fast Food; Burger; Fries; Breakfast; Coffee","McDonald's is known around the globe for their fast food.",,,,,,"OPEN — on official DFW Airport website",
"Panera Bread","Terminal A","Airside","Gate A33","32.902397","-97.037047","","Sandwich; Deli; Soup; Salads; Bakery","Whether it's breakfast, lunch or dinner, Panera offers food you can feel good about — freshly baked breads, crisp salads, soups and sandwiches.",,,,,,"OPEN — on official DFW Airport website",
