name,terminal,airside,floor_level,lat,lon,address,phone,website,cuisine,categories,description,opening_hours,wheelchair,takeaway,halal,vegetarian_options,vegan_options,verified_status,osm_id
Azusa,Terminal 1,Landside,1F,,,,,,Japanese,,,,,,,,OPEN — on official Haneda website,
CuRRy Smile,Terminal 1,Landside,1F,,,,,,Indian/Curry,,"Curry restaurant",,,,,,OPEN — on official Haneda website,
GINZA LION,Terminal 1,Landside,1F,,,,,,Beer Hall/Japanese,,"Beer hall and dining",,,,,,OPEN — on official Haneda website,
MARUFUKU COFFEE,Terminal 1,Landside,1F,,,,,,Cafe/Coffee,,,,,yes,,,OPEN — on official Haneda website,
PRONTO,Terminal 1,Landside,1F,,,,,,Cafe/Coffee,,,,,yes,,,OPEN — on official Haneda website,
YUKIAKARI,Terminal 1,Landside,1F,,,,,,Japanese,,,,,,,,OPEN — on official Haneda website,
Caffe & Beer Restaurant MIYA,Terminal 1,Landside,2F,,,,,,Cafe/Bar,,,,,yes,,,OPEN — on official Haneda website,
caffe LAT.25° HANEDA,Terminal 1,Landside,2F,,,,,,Cafe,,,,,yes,,,OPEN — on official Haneda website,
cuud,Terminal 1,Landside,2F,,,,,,Cafe,,,,,,,,OPEN — on official Haneda website,
Gokoku Hojo Kuraichi,Terminal 1,Airside,2F,,,,,,Japanese,,,,,,,,OPEN — on official Haneda website,
Haneda Sanchokukan,Terminal 1,Landside,2F,,,,,,Japanese,,,,,,,,OPEN — on official Haneda website,
Haneda Taishoken,Terminal 1,Landside,2F,,,,,,Ramen,,,,,yes,,,OPEN — on official Haneda website,
Hitoshinaya,Terminal 1,Landside,2F,,,,,,Japanese,,,,,,,,OPEN — on official Haneda website,
"Isetan Haneda Store (Men's) Terminal1 TRAVELER'S COFFEE",Terminal 1,Airside,2F,,,,,,Cafe,,,,,yes,,,OPEN — on official Haneda website,
Ishiusuhiki soba AZUMINO,Terminal 1,Airside,2F,,,,,,Soba/Noodles,,,,,yes,,,OPEN — on official Haneda website,
JAL PLAZA Haneda Airport Domestic Terminal Gate 11 Shop,Terminal 1,Airside,2F,,,,,,Cafe/Snack,,,,,yes,,,OPEN — on official Haneda website,
JAL PLAZA Haneda Airport Domestic Terminal Gate 14 Shop,Terminal 1,Airside,2F,,,,,,Cafe/Snack,,,,,yes,,,OPEN — on official Haneda website,
JAL PLAZA Haneda Airport Domestic Terminal Gate 7 Snack,Terminal 1,Airside,2F,,,,,,Cafe/Snack,,,,,yes,,,OPEN — on official Haneda website,
Japan Gourmet Port,Terminal 1,Airside,2F,,,,,,Japanese,,,,,,,,OPEN — on official Haneda website,
Matakoiya,Terminal 1,Airside,2F,,,,,,Japanese,,,,,,,,OPEN — on official Haneda website,
MITSUMOTO COFFEE TEN HANEDA Terminal North Wing,Terminal 1,Airside,2F,,,,,,Cafe/Coffee,,,,,yes,,,OPEN — on official Haneda website,
MITSUMOTO COFFEE TEN HANEDA Terminal South Wing,Terminal 1,Airside,2F,,,,,,Cafe/Coffee,,,,,yes,,,OPEN — on official Haneda website,
NANADASHIYA,Terminal 1,Airside,2F,,,,,,Japanese,,,,,,,,OPEN — on official Haneda website,
RonHerman ISETAN HANEDA STORE,Terminal 1,Airside,2F,,,,,,Cafe,,,,,yes,,,OPEN — on official Haneda website,
Shin-yamato,Terminal 1,Landside,2F,,,,,,Japanese,,,,,,,,OPEN — on official Haneda website,
Soba restaurant SORA North wing,Terminal 1,Airside,2F,,,,,,Soba/Noodles,,,,,yes,,,OPEN — on official Haneda website,
Soba restaurant SORA South wing,Terminal 1,Airside,2F,,,,,,Soba/Noodles,,,,,yes,,,OPEN — on official Haneda website,
Tully's Coffee,Terminal 1,Airside,2F,,,,,,Cafe/Coffee,,,,,yes,,,OPEN — on official Haneda website,
Tully's Coffee,Terminal 1,Airside,2F,,,,,,Cafe/Coffee,,,,,yes,,,OPEN — on official Haneda website,
Foot Bath Cafe & Body Care LUCK,Terminal 1,Landside,3F,,,,,,Cafe,,,,,yes,,,OPEN — on official Haneda website,
Haneda Sushiko,Terminal 1,Landside,3F,,,,,,Sushi,,,,,,,,OPEN — on official Haneda website,
Ichinoi,Terminal 1,Landside,3F,,,,,,Japanese,,,,,,,,OPEN — on official Haneda website,
Ikyutyaya,Terminal 1,Landside,3F,,,,,,Japanese,,,,,,,,OPEN — on official Haneda website,
Kyozen,Terminal 1,Landside,3F,,,,,,Japanese,,,,,,,,OPEN — on official Haneda website,
MACHIDASHOTEN GANSOABURADOU NAGAOKA SHOKUDOU,Terminal 1,Landside,3F,,,,,,Japanese,,,,,,,,OPEN — on official Haneda website,
NORTHCAFE & BEER,Terminal 1,Landside,3F,,,,,,Cafe/Bar,,,,,yes,,,OPEN — on official Haneda website,
Ristorante Mitsumoto coffee ten,Terminal 1,Landside,3F,,,,,,Italian,,,,,yes,,,OPEN — on official Haneda website,
Saiho Chinese Restaurant,Terminal 1,Landside,3F,,,,,,Chinese,,,,,,,,OPEN — on official Haneda website,
STARBUCKS COFFEE Haneda Airport Terminal 1 Station MarketPlace 3F,Terminal 1,Landside,3F,,,,,,Cafe/Coffee,,,,,yes,,,OPEN — on official Haneda website,
YOSHINOYA Haneda Airport Domestic Terminal Gate 1 Shop,Terminal 1,Landside,3F,,,,,,Fast Food/Japanese,,,,,yes,,,OPEN — on official Haneda website,
KOGANEIRO NO BUTA,Terminal 1,Landside,4F,,,,,,Japanese,,,,,,,,OPEN — on official Haneda website,
Musashi No Mori Coffee HANEDA Terminal Shop,Terminal 1,Landside,4F,,,,,,Cafe/Coffee,,,,,yes,,,OPEN — on official Haneda website,
ROYAL HOST haneda airport,Terminal 1,Landside,4F,,,,,,Family Restaurant,,,,,yes,,,OPEN — on official Haneda website,
(temporarily closed) GINZA LION HANEDA MARKET PLACE,Terminal 1,Landside,5F,,,,,,Beer Hall/Japanese,,,"Temporarily closed",,,,,,OPEN — on official Haneda website,
LDH kitchen THE TOKYO HANEDA,Terminal 1,Landside,5F,,,,,,Japanese,,,,,,,,OPEN — on official Haneda website,
Shinshu soba AZUMINO,Terminal 1,Landside,5F,,,,,,Soba/Noodles,,,,,,,,OPEN — on official Haneda website,
STARBUCKS COFFEE Haneda Airport Terminal 1 Station THE HANEDA HOUSE 5F,Terminal 1,Landside,5F,,,,,,Cafe/Coffee,,,,,yes,,,OPEN — on official Haneda website,
Sushi Den,Terminal 1,Landside,5F,,,,,,Sushi,,,,,,,,OPEN — on official Haneda website,
yakiniku shinjyuku kouei,Terminal 1,Landside,5F,,,,,,Yakiniku/BBQ,,,,,,,,OPEN — on official Haneda website,
Badiani,Terminal 1,Landside,B1F,,,,,,Gelato/Cafe,,,,,yes,,,OPEN — on official Haneda website,
Café & Bar BAR RAGE,Terminal 1,Landside,B1F,,,,,,Cafe/Bar,,,,,yes,,,OPEN — on official Haneda website,
DEAN & DELUCA HANEDA AIRPORT,Terminal 1,Landside,B1F,,,,,,Cafe/Deli,,,,,yes,,,OPEN — on official Haneda website,
Gangnam Gimbap,Terminal 1,Landside,B1F,,,,,,Korean,,,,,yes,,,OPEN — on official Haneda website,
Kaisendon Ginza Onodera Haneda Airport Terminal 1 Store,Terminal 1,Landside,B1F,,,,,,Seafood/Japanese,,,,,,,,OPEN — on official Haneda website,
Krung Siam,Terminal 1,Landside,B1F,,,,,,Thai,,,,,,,,OPEN — on official Haneda website,
Kuriya Kurogi Junchan,Terminal 1,Landside,B1F,,,,,,Japanese,,,,,,,,OPEN — on official Haneda website,
Ningyochoimahan HANEDA Terminal1 Shop,Terminal 1,Landside,B1F,,,,,,Japanese/Sukiyaki,,,,,,,,OPEN — on official Haneda website,
Ramen Honda Noodles Haneda Airport Terminal 1 Branch,Terminal 1,Landside,B1F,,,,,,Ramen,,,,,yes,,,OPEN — on official Haneda website,
ringerhut Premium haneda terminal Shop,Terminal 1,Landside,B1F,,,,,,Japanese/Champon,,,,,yes,,,OPEN — on official Haneda website,
SOBA AZUMINO,Terminal 1,Landside,B1F,,,,,,Soba/Noodles,,,,,yes,,,OPEN — on official Haneda website,
Sora chika (food court / Restaurants),Terminal 1,Landside,B1F,,,,,,Food Court,,,,,,,,OPEN — on official Haneda website,
SUBWAY,Terminal 1,Landside,B1F,,,,,,Sandwiches/Fast Food,,,,,yes,yes,,OPEN — on official Haneda website,
TENDON TENYA Haneda Airport Shop,Terminal 1,Landside,B1F,,,,,,Tempura/Japanese,,,,,yes,,,OPEN — on official Haneda website,
TENHO,Terminal 1,Landside,B1F,,,,,,Japanese,,,,,,,,OPEN — on official Haneda website,
Western-style Restaurant Ginza Grill Cardinal Express,Terminal 1,Landside,B1F,,,,,,Western/Japanese,,,,,,,,OPEN — on official Haneda website,
WithGreen Haneda Airport Terminal 1 Store,Terminal 1,Landside,B1F,,,,,,Salad/Healthy,,,,,yes,,yes,OPEN — on official Haneda website,
Yuupaimu,Terminal 1,Landside,B1F,,,,,,Japanese,,,,,,,,OPEN — on official Haneda website,
ANA Hangar bay Kitchen,Terminal 2,Airside,1F,,,,,,Cafe/Japanese,,,,,,,,OPEN — on official Haneda website,
BLUE SEAL,Terminal 2,Landside,1F,,,,,,Ice Cream/Cafe,,,,,yes,,,OPEN — on official Haneda website,
Gyoza and Tanmen TEN,Terminal 2,Landside,1F,,,,,,Gyoza/Chinese,,,,,yes,,,OPEN — on official Haneda website,
Soba Sakedokoro TSUKIJIAN,Terminal 2,Landside,1F,,,,,,Soba/Japanese,,,,,,,,OPEN — on official Haneda website,
TULLY'S COFFEE,Terminal 2,Landside,1F,,,,,,Cafe/Coffee,,,,,yes,,,OPEN — on official Haneda website,
(Vending Machine) Haneda Airport Original Matcha Baumkuchen (Near Gate 70) [Halal-Certified],Terminal 2,Airside,2F,,,,,,Snack/Vending,,,,,yes,,yes,OPEN — on official Haneda website,
"ANA FESTA Haneda Gate 53 Food Shop (soba & udon noodles)",Terminal 2,Airside,2F,,,,,,Soba/Noodles,,,,,yes,,,OPEN — on official Haneda website,
ANA FESTA Haneda Gate 60 Food Shop,Terminal 2,Airside,2F,,,,,,Cafe/Snack,,,,,yes,,,OPEN — on official Haneda website,
CAFÉ nenrinya,Terminal 2,Airside,2F,,,,,,Cafe/Sweets,,,,,yes,,,OPEN — on official Haneda website,
COMEL Haneda Gate 63 Shop,Terminal 2,Airside,2F,,,,,,Cafe/Snack,,,,,yes,,,OPEN — on official Haneda website,
GINZA KIYA,Terminal 2,Airside,2F,,,,,,Japanese,,,,,,,,OPEN — on official Haneda website,
