"name","terminal","airside","gate","address","phone","website","cuisine","categories","description","opening_hours","wheelchair","takeaway","halal","vegetarian_options","vegan_options","verified_status","osm_id"
"Jack in the Box","Terminal A","Airside","Gate A7","Gate A7","","","","","","Mo-Su 04:30-20:30","","","","","","OPEN — on official Houston IAH website",""
"Blaze Pizza","Terminal A","Airside","Gate A7","Gate A7","","","","","","Mo-Fr 08:00-20:30; Sa 08:00-19:30; Su 08:00-20:30","","","","","","OPEN — on official Houston IAH website",""
"Hubcap Grill & Beer Yard","Terminal A","Airside","Gate A7","Gate A7","","","","","","Mo-Su 05:00-20:00","","","","","","OPEN — on official Houston IAH website",""
"Panda Express","Terminal A","Airside","Gate A17","Gate A17","","","","","","Mo-Su 06:00-22:00","","","","","","OPEN — on official Houston IAH website",""
"The Breakfast Klub","Terminal A","Airside","Gate A17","Gate A17","","","","","","Mo-Fr 04:30-20:30; Sa 04:30-19:30; Su 04:30-20:30","","","","","","OPEN — on official Houston IAH website",""
"The Great American Bagel","Terminal A","Airside","Gate A17","Gate A17","","","","","","Mo-Su 04:00-21:00","","","","","","OPEN — on official Houston IAH website",""
"City Crepes","Terminal A","Airside","Gate A25","Gate A25","","","","","","","","","","","","OPEN — on official Houston IAH website",""
"Jamba Juice","Terminal A","Airside","Gate A8","Gate A8","","","","","","Mo-Su 05:00-20:00","","","","","","OPEN — on official Houston IAH website",""
"Chick-fil-A","Terminal A","Airside","Security Checkpoint","Security Checkpoint","","","","","","","","","","","","OPEN — on official Houston IAH website",""
"Chili's","Terminal A","Airside","","","","","","","","","","","","","","OPEN — on official Houston IAH website",""
"Starbucks","Terminal A","Airside","","","","","","","","","","","","","","OPEN — on official Houston IAH website",""
"Bullritos","Terminal B","Airside","Gate B1","Gate B1","","","","","","Mo-Su 06:00-20:00","","","","","","OPEN — on official Houston IAH website",""
"Panda Express","Terminal B","Airside","Gate B1","Gate B1","","","","","","Mo-Su 08:00-20:00","","","","","","OPEN — on official Houston IAH website",""
"Sugarland Beer Garden","Terminal B","Airside","Gate B11","Gate B11","","","","","","Mo-Su 07:00-22:00","","","","","","OPEN — on official Houston IAH website",""
"Q Bar","Terminal B","Airside","Gate B11","Gate B11","","","","","","Mo-Su 07:00-22:00","","","","","","OPEN — on official Houston IAH website",""
"Starbucks","Terminal B","Airside","","","","","","","","Mo-Su 05:00-21:00","","","","","","OPEN — on official Houston IAH website",""
"Alchemy Cocktail Lounge","Terminal C","Airside","Gate C33","Gate C33","","","","","","Mo-Su 07:00-22:00","","","","","","OPEN — on official Houston IAH website",""
"CIBO Express Gourmet Market","Terminal C","Airside","Gate C34","Gate C34","","","","","","Mo-Su 00:00-24:00","","","","","","OPEN — on official Houston IAH website",""
"Forno Magico Neapolitan Pizza","Terminal C","Airside","Gate C5","Gate C5","","","","","","Mo-Su 06:00-22:00","","","","","","OPEN — on official Houston IAH website",""
"George's International Market","Terminal C","Airside","","","","","","","","","","","","","","OPEN — on official Houston IAH website",""
"Green Mango","Terminal C","Airside","Gate C22","Gate C22","","","","","","","","","","","","OPEN — on official Houston IAH website",""
"Harvest Table","Terminal C","Airside","Gate C2","Gate C2","","","","","","Mo-Su 06:00-21:00","","","","","","OPEN — on official Houston IAH website",""
"Manchu Wok","Terminal C","Airside","Gate C22","Gate C22","","","","","","Mo-Su 07:00-21:00","","","","","","OPEN — on official Houston IAH website",""
"Panda Express","Terminal C","Airside","Gate C22","Gate C22","","","","","","Mo-Su 05:00-22:00","","","","","","OPEN — on official Houston IAH website",""
"Pappasito's Cantina","Terminal C","Airside","Gate C14","Gate C14","","","","","","Mo-Su 07:00-20:00","","","","","","OPEN — on official Houston IAH website",""
