name,terminal,concourse,airside,gate,address,phone,website,cuisine,categories,description,opening_hours,wheelchair,takeaway,halal,vegetarian_options,vegan_options,verified_status,osm_id
"Moe's Southwest Grill","Terminal 1","Concourse A","Airside","A15","Near Gate A15 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Dunkin' Express","Terminal 1","Concourse A","Airside","A7","Near Gate A7 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"The B Lounge","Terminal 1","Concourse A","Airside","A7","Near Gate A7 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Snack Shack","Terminal 1","","Landside","","24/7 open","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Port of Subs/Mrs. Fields","Terminal 1","Concourse B","Airside","B25","Near Gate B25 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Starbucks","Terminal 1","Concourse B","Airside","B17","Near Gate B17 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Fresh Attractions","Terminal 1","","Landside","","24/7 open","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Tacos Locos","Terminal 1","Concourse B","Airside","B15","Near Gate B15 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Einstein Bros. Bagels","Terminal 1","Concourse B","Airside","B9","Near Gate B9 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Barney's Lounge","Terminal 1","Concourse C","Airside","C25","Near Gate C25 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Jamba Juice","Terminal 1","Concourse C","Airside","C25","Near Gate C25 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"The Coffee Bean & Tea Leaf","Terminal 1","Concourse C","Airside","C25","Near Gate C25 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Sammy's Beach Bar & Grill","Terminal 1","Concourse C","Airside","C24","Near Gate C24 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Villa Fresh Italian Kitchen","Terminal 1","Concourse C","Airside","C23","Near Gate C23 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Popeye's","Terminal 1","Concourse C","Airside","C23","Near Gate C23 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Wendy's","Terminal 1","Concourse C","Airside","C23","Near Gate C23 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Fresh Market On The Go","Terminal 1","Concourse C","Airside","C23","Near Gate C23 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Jersey Mike's Subs","Terminal 1","Concourse C","Airside","C22","Near Gate C22 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Nathan's Famous Hot Dogs","Terminal 1","Concourse C","Airside","C22","Near Gate C22 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Lucky Streak Cocktail Lounge","Terminal 1","Concourse C","Airside","C22","Near Gate C22 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Corcoran's Irish Pub","Terminal 1","Concourse C","Airside","C2","Near Gate C2 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Quiznos Sub","Terminal 1","Concourse C","Airside","C18","Near Gate C18 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Chick-fil-A","Terminal 1","Concourse C","Airside","C16","Near Gate C16 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Starbucks","Terminal 1","Concourse C","Airside","C15","Near Gate C15 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Margaritaville","Terminal 1","Concourse C","Airside","C14","Near Gate C14 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Poke Poke","Terminal 1","Concourse C","Airside","C14","Near Gate C14 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Dunkin' Express","Terminal 1","Concourse C","Airside","C10","Near Gate C10 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Subway","Terminal 1","Concourse C","Airside","C10","Near Gate C10 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Hudson News","Terminal 1","Concourse C","Airside","C10","Near Gate C10 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Koi Kitchen","Terminal 1","Concourse C","Airside","C9","Near Gate C9 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Shake Shack","Terminal 1","Concourse C","Airside","C7","Near Gate C7 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Auntie Anne's","Terminal 1","Concourse C","Airside","C21","Near Gate C21 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Tequileria Grille","Terminal 1","Concourse C","Airside","C5","Near Gate C5 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Jose Cuervo Tequileria","Terminal 1","Concourse C","Airside","C5","Near Gate C5 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Vegas Baby Bar","Terminal 1","Concourse C","Airside","C5","Near Gate C5 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"BRB Boba Tea","Terminal 1","","Landside","","24/7 open","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Esplanade Bar","Terminal 1","","Landside","","Near Esplanade • Before Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Modelo Cantina","Terminal 3","Concourse D","Airside","D7","Near Gate D7 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Dunkin' Express","Terminal 3","Concourse D","Airside","D6","Near Gate D6 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Rachel's Kitchen","Terminal 3","Concourse D","Airside","D6","Near Gate D6 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Burger King","Terminal 3","Concourse D","Airside","D6","Near Gate D6 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Sammy's Woodfired Pizza","Terminal 3","Concourse D","Airside","D6","Near Gate D6 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Port of Subs","Terminal 3","Concourse D","Airside","D4","Near Gate D4 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Wolfgang Puck Express","Terminal 3","Concourse D","Airside","D17","Near Gate D17 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Starbucks","Terminal 3","Concourse D","Airside","D36","Near Gate D36 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Chili's","Terminal 3","Concourse D","Airside","D35","Near Gate D35 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
