name,terminal,airside,categories,lat,lon,phone,website,opening_hours,floor_level,wheelchair,takeaway,description,verified_status,osm_id
Costa,Terminal 2,Landside,Coffee,,,,,,,,,Wide range of Italian coffees specialty teas and hot chocolate.,OPEN — on official MAN website,
Greggs,Terminal 2,Landside,"Fast Food, Coffee",,,,,,,,,Freshly baked pastries rolls and sausage rolls on the go.,OPEN — on official MAN website,
KFC,Terminal 2,Landside,Fast Food,,,,,,,,,Crispy fried chicken buckets and burgers before you check in.,OPEN — on official MAN website,
Pret A Manger,Terminal 2,Landside,"Coffee, Fast Food",,,,,,,,,Freshly made sandwiches salads and organic coffee.,OPEN — on official MAN website,
Starbucks,Terminal 2,Landside,Coffee,,,,,,,,,Customised coffee handcrafted beverages sandwiches and snacks.,OPEN — on official MAN website,
Wrapchic,Terminal 2,Landside,"Fast Food, Restaurant",,,,,,,,,Indian-inspired street food wraps and rolls to grab before your flight.,OPEN — on official MAN website,
Amber Alehouse,Terminal 2,Airside,"Bar, Pub",,,,https://www.manchesterairport.co.uk/at-the-airport/restaurants/amber-alehouse/,,,,,Seven Bro7hers craft beer bar with Haçienda-era Manchester flair. Microbrewed ales craft beers and comfort food.,OPEN — on official MAN website,
Apiary,Terminal 2,Airside,"Bar, Restaurant",,,,,,,,,High-energy bar and restaurant with seasonal breakfast lunch and dinner menus. Elegant décor expertly crafted cocktails and locally sourced ingredients designed to entertain and impress.,OPEN — on official MAN website,
Archie's,Terminal 2,Airside,"Restaurant, Fast Food",,,,,,,,,Manchester-born American-style comfort food. Burgers fried chicken wraps and loaded fries.,OPEN — on official MAN website,
Barburrito,Terminal 2,Airside,"Restaurant, Fast Food",,,,,,,,,Mexican fast-casual with burritos tacos loaded bowls and fresh salsas.,OPEN — on official MAN website,
Costa,Terminal 2,Airside,Coffee,,,,,,,,,Wide range of Italian coffees specialty teas and hot chocolate.,OPEN — on official MAN website,
Fever-Tree Cocktail & Champagne Bar,Terminal 2,Airside,Bar,,,,,,,,,Celebrate your departure with premium cocktails and champagne using Fever-Tree mixers.,OPEN — on official MAN website,
Giraffe,Terminal 2,Airside,Restaurant,,,,,,,,,World-food menu with flavours from around the globe including burgers salads and egg-based breakfasts.,OPEN — on official MAN website,
Great Northern Market,Terminal 2,Airside,"Food Hall, Restaurant",,,,https://www.manchesterairport.co.uk/at-the-airport/restaurants/great-northern-market/,,,,,Manchester's street food culture at the airport. Six kitchens: Nashville fried chicken smash burgers Greek Mediterranean Mexican pan-Asian and Neapolitan pizza. 470 seats.,OPEN — on official MAN website,
Grindsmith,Terminal 2,Airside,Coffee,,,,,,,,,Artisan coffee from Manchester's own Grindsmith roastery using ethically sourced beans from Ancoats.,OPEN — on official MAN website,
Joe & The Juice,Terminal 2,Airside,"Coffee, Fast Food",,,,https://www.manchesterairport.co.uk/at-the-airport/restaurants/joe-the-juice/,,,,,Speciality coffee matcha teas and fresh juices in the T2 departure lounge.,OPEN — on official MAN website,
KFC,Terminal 2,Airside,Fast Food,,,,,,,,,Crispy fried chicken buckets burgers and sides in the T2 departure lounge.,OPEN — on official MAN website,
Pasta Evangelists,Terminal 2,Airside,Restaurant,,,,,,,,,Premium freshly made pasta dishes inspired by Italy's best regional recipes.,OPEN — on official MAN website,
Pot Kettle Black,Terminal 2,Airside,Coffee,,,,,,,,,Manchester speciality coffee house serving expertly crafted brews and light bites.,OPEN — on official MAN website,
Pret A Manger,Terminal 2,Airside,"Coffee, Fast Food",,,,,,,,,Freshly made sandwiches salads and organic coffee.,OPEN — on official MAN website,
San Carlo,Terminal 2,Airside,Restaurant,,,,https://www.manchesterairport.co.uk/at-the-airport/restaurants/san-carlo/,,,,,Premium Italian restaurant with cicchetti small plates pasta pizza and seasonal specials.,OPEN — on official MAN website,
The Bridgewater Exchange,Terminal 2,Airside,"Bar, Pub",,,,https://www.manchesterairport.co.uk/at-the-airport/restaurants/bridgewater/,,,,,Joseph Holt's traditional pub with the UK's first airside microbrewery. 36 keg beers real ales cask pumps and classic pub food.,OPEN — on official MAN website,
The Evergreen Bar and Brasserie,Terminal 2,Airside,"Bar, Restaurant",,,,https://www.manchesterairport.co.uk/at-the-airport/restaurants/evergreen-bar-and-brasserie/,,,,,Seasonal British and international dishes alongside wines beers and cocktails.,OPEN — on official MAN website,
Upper Crust,Terminal 2,Airside,Fast Food,,,,,,,,,Freshly baked baguettes and pastries in the T2 departure lounge.,OPEN — on official MAN website,
Costa,Terminal 3,Landside,Coffee,,,,,,,,,Wide range of Italian coffees specialty teas and hot chocolate.,OPEN — on official MAN website,
KFC,Terminal 3,Landside,Fast Food,,,,,,,,,Crispy fried chicken buckets and burgers before you check in.,OPEN — on official MAN website,
Pret A Manger,Terminal 3,Landside,"Coffee, Fast Food",,,,,,,,,Freshly made sandwiches salads and organic coffee.,OPEN — on official MAN website,
Brew'd,Terminal 3,Airside,"Bar, Coffee",,,,,,,,,All-day fusion of coffee and beer. Freshly brewed coffee artisanal teas and crisp draught beers alongside bakery items hearty sandwiches and delicious bites.,OPEN — on official MAN website,
Costa,Terminal 3,Airside,Coffee,,,,,,,,,Wide range of Italian coffees specialty teas and hot chocolate.,OPEN — on official MAN website,
KFC,Terminal 3,Airside,Fast Food,,,,,,,,,Crispy fried chicken buckets burgers and sides in the T3 departure lounge.,OPEN — on official MAN website,
